ID,Var_ID,Name,Description,ord
CARNEIRO4_001-0,CARNEIRO4_001,absent,absent,0
CARNEIRO4_001-1,CARNEIRO4_001,present,present,1
CARNEIRO4_002-0,CARNEIRO4_002,absent,absent,0
CARNEIRO4_002-1,CARNEIRO4_002,present,present,1
CARNEIRO4_003-0,CARNEIRO4_003,absent,absent,0
CARNEIRO4_003-1,CARNEIRO4_003,present,present,1
CARNEIRO4_004-0,CARNEIRO4_004,absent,absent,0
CARNEIRO4_004-1,CARNEIRO4_004,present,present,1
CARNEIRO4_005-0,CARNEIRO4_005,absent,absent,0
CARNEIRO4_005-1,CARNEIRO4_005,present,present,1
CARNEIRO4_006-0,CARNEIRO4_006,absent,absent,0
CARNEIRO4_006-1,CARNEIRO4_006,present,present,1
CARNEIRO4_007-0,CARNEIRO4_007,absent,absent,0
CARNEIRO4_007-1,CARNEIRO4_007,present,present,1
CARNEIRO4_008-0,CARNEIRO4_008,absent,absent,0
CARNEIRO4_008-1,CARNEIRO4_008,present,present,1
CARNEIRO4_009-0,CARNEIRO4_009,absent,absent,0
CARNEIRO4_009-1,CARNEIRO4_009,present,present,1
CARNEIRO4_010-0,CARNEIRO4_010,absent,absent,0
CARNEIRO4_010-1,CARNEIRO4_010,present,present,1
CARNEIRO4_011-0,CARNEIRO4_011,absent,absent,0
CARNEIRO4_011-1,CARNEIRO4_011,present,present,1
CARNEIRO4_012-0,CARNEIRO4_012,absent,absent,0
CARNEIRO4_012-1,CARNEIRO4_012,present,present,1
CARNEIRO4_013-0,CARNEIRO4_013,absent,absent,0
CARNEIRO4_013-1,CARNEIRO4_013,present,present,1
CARNEIRO4_014-0,CARNEIRO4_014,absent,absent,0
CARNEIRO4_014-1,CARNEIRO4_014,present,present,1
CARNEIRO4_015-0,CARNEIRO4_015,absent,absent,0
CARNEIRO4_015-1,CARNEIRO4_015,present,present,1
CARNEIRO4_016-0,CARNEIRO4_016,absent,absent,0
CARNEIRO4_016-1,CARNEIRO4_016,present,present,1
CARNEIRO4_017-0,CARNEIRO4_017,absent,absent,0
CARNEIRO4_017-1,CARNEIRO4_017,present,present,1
CARNEIRO4_018-0,CARNEIRO4_018,absent,absent,0
CARNEIRO4_018-1,CARNEIRO4_018,present,present,1
CARNEIRO4_019-0,CARNEIRO4_019,absent,absent,0
CARNEIRO4_019-1,CARNEIRO4_019,present,present,1
CARNEIRO4_020-0,CARNEIRO4_020,absent,absent,0
CARNEIRO4_020-1,CARNEIRO4_020,present,present,1
CARNEIRO4_021-0,CARNEIRO4_021,absent,absent,0
CARNEIRO4_021-1,CARNEIRO4_021,present,present,1
CARNEIRO4_022-0,CARNEIRO4_022,absent,absent,0
CARNEIRO4_022-1,CARNEIRO4_022,present,present,1
CARNEIRO4_023-0,CARNEIRO4_023,absent,absent,0
CARNEIRO4_023-1,CARNEIRO4_023,present,present,1
CARNEIRO4_024-0,CARNEIRO4_024,absent,absent,0
CARNEIRO4_024-1,CARNEIRO4_024,present,present,1
CARNEIRO4_025-0,CARNEIRO4_025,absent,absent,0
CARNEIRO4_025-1,CARNEIRO4_025,present,present,1
CARNEIRO4_026-0,CARNEIRO4_026,absent,absent,0
CARNEIRO4_026-1,CARNEIRO4_026,present,present,1
CARNEIRO4_027-0,CARNEIRO4_027,absent,absent,0
CARNEIRO4_027-1,CARNEIRO4_027,present,present,1
CARNEIRO4_028-0,CARNEIRO4_028,absent,absent,0
CARNEIRO4_028-1,CARNEIRO4_028,present,present,1
CARNEIRO4_029-0,CARNEIRO4_029,absent,absent,0
CARNEIRO4_029-1,CARNEIRO4_029,present,present,1
CARNEIRO4_030-0,CARNEIRO4_030,absent,absent,0
CARNEIRO4_030-1,CARNEIRO4_030,present,present,1
CARNEIRO4_031-0,CARNEIRO4_031,absent,absent,0
CARNEIRO4_031-1,CARNEIRO4_031,present,present,1
CARNEIRO4_032-0,CARNEIRO4_032,absent,absent,0
CARNEIRO4_032-1,CARNEIRO4_032,present,present,1
CARNEIRO4_033-0,CARNEIRO4_033,absent,absent,0
CARNEIRO4_033-1,CARNEIRO4_033,present,present,1
CARNEIRO4_034-0,CARNEIRO4_034,absent,absent,0
CARNEIRO4_034-1,CARNEIRO4_034,present,present,1
CARNEIRO4_035-0,CARNEIRO4_035,absent,absent,0
CARNEIRO4_035-1,CARNEIRO4_035,present,present,1
CARNEIRO4_036-0,CARNEIRO4_036,absent,absent,0
CARNEIRO4_036-1,CARNEIRO4_036,present,present,1
CARNEIRO4_037-0,CARNEIRO4_037,absent,absent,0
CARNEIRO4_037-1,CARNEIRO4_037,present,present,1
CARNEIRO4_038-0,CARNEIRO4_038,absent,absent,0
CARNEIRO4_038-1,CARNEIRO4_038,present,present,1
CARNEIRO4_039-0,CARNEIRO4_039,absent,absent,0
CARNEIRO4_039-1,CARNEIRO4_039,present,present,1
CARNEIRO4_040-0,CARNEIRO4_040,absent,absent,0
CARNEIRO4_040-1,CARNEIRO4_040,present,present,1
CARNEIRO4_041-0,CARNEIRO4_041,absent,absent,0
CARNEIRO4_041-1,CARNEIRO4_041,present,present,1
CARNEIRO4_042-0,CARNEIRO4_042,absent,absent,0
CARNEIRO4_042-1,CARNEIRO4_042,present,present,1
CARNEIRO4_043-0,CARNEIRO4_043,absent,absent,0
CARNEIRO4_043-1,CARNEIRO4_043,present,present,1
CARNEIRO4_044-0,CARNEIRO4_044,absent,absent,0
CARNEIRO4_044-1,CARNEIRO4_044,present,present,1
CARNEIRO4_045-0,CARNEIRO4_045,absent,absent,0
CARNEIRO4_045-1,CARNEIRO4_045,present,present,1
CARNEIRO4_046-0,CARNEIRO4_046,absent,absent,0
CARNEIRO4_046-1,CARNEIRO4_046,present,present,1
CARNEIRO4_047-0,CARNEIRO4_047,absent,absent,0
CARNEIRO4_047-1,CARNEIRO4_047,present,present,1
CARNEIRO4_048-0,CARNEIRO4_048,absent,absent,0
CARNEIRO4_048-1,CARNEIRO4_048,present,present,1
CARNEIRO4_049-0,CARNEIRO4_049,absent,absent,0
CARNEIRO4_049-1,CARNEIRO4_049,present,present,1
CARNEIRO4_050-0,CARNEIRO4_050,absent,absent,0
CARNEIRO4_050-1,CARNEIRO4_050,present,present,1
CARNEIRO4_051-0,CARNEIRO4_051,absent,absent,0
CARNEIRO4_051-1,CARNEIRO4_051,present,present,1
CARNEIRO4_052-0,CARNEIRO4_052,absent,absent,0
CARNEIRO4_052-1,CARNEIRO4_052,present,present,1
CARNEIRO4_053-0,CARNEIRO4_053,absent,absent,0
CARNEIRO4_053-1,CARNEIRO4_053,present,present,1
CARNEIRO4_054-0,CARNEIRO4_054,absent,absent,0
CARNEIRO4_054-1,CARNEIRO4_054,present,present,1
CARNEIRO4_055-0,CARNEIRO4_055,absent,absent,0
CARNEIRO4_055-1,CARNEIRO4_055,present,present,1
CARNEIRO4_056-0,CARNEIRO4_056,absent,absent,0
