ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
CARNEIRO4_001,Ancient Egyptians,30,31,egyp1246,New Kingdom Egypt,,,-1350,,,,,,,Northern Africa
CARNEIRO4_002,Ancient Romans,41.9,12.5,lati1261,Roman Empire,,,100,Imperial Romans (EI09),EI09,,,,,Southeastern Europe
CARNEIRO4_003,Assyrian Empire,36.36,43.15,assy1242,Assyrian Empire,,,-650,,,,,Coordinates based on the capital city Nineveh,,Western Asia
CARNEIRO4_004,Aztec,19,-99,clas1250,Aztecs (pre-conquest),,,1500,Aztecs (NU07),NU07,,,,,Mexico
CARNEIRO4_005,China (Han Dynasty),34.31,108.86,oldc1244,China (Han Dynasty),,,-100,Han Chinese (AE15),AE15,,,Coordinates based on the capital city Chang'an,,China
CARNEIRO4_006,Inca,-13,-72,cusc1236,Incas,,,1500,Inka (SE13),SE13,,,,,Western South America
CARNEIRO4_007,Kingdom of León,42.6,-5.57,leon1250,Kingdom of León,,,950,,,,,Coordinates based on the capital city Leon,,Southwestern Europe
CARNEIRO4_008,Vikings,59,11.1,oldn1244,Vikings,,,,,,,,,,Northern Europe
CARNEIRO4_009,Fon,7,2,fonn1241,Dahomey,,,,Fon (FA18),FA18,,,,,West Tropical Africa
CARNEIRO4_010,Ashanti,7,-2,asan1239,Ashanti,,,,Akan (FE12),FE12,,,,,West Tropical Africa
CARNEIRO4_011,Ganda,1,32,gand1255,Baganda,,,,Ganda (FK07),FK07,,,,,East Tropical Africa
CARNEIRO4_012,Marquesans,-8.90,-140.08,nort2845,Marquesans,,,,Marquesas (OX06),OX06,,,,,South-Central Pacific
CARNEIRO4_013,Tahitians,-17.71,-149.54,tahi1242,Tahitians,,,,,,,,,,South-Central Pacific
CARNEIRO4_014,Hawaiians,19.89,-155.83,hawa1245,Hawaiians,,,,Hawaiians (OV05),OV05,,,,,North-Central Pacific
CARNEIRO4_015,Mano,7.05,-8.86,mann1248,Mano,,,,,,,,,,West Tropical Africa
CARNEIRO4_016,Venda,-23,30,vend1245,Bavenda,,,,,,,,,,Southern Africa
CARNEIRO4_017,Batak,2,98.5,toba1265,Batak,,,,,,,,"Probably more general than Toba Batak (Ib4, xd753) but there should be overlap between them",,Malesia
CARNEIRO4_018,Mbau Fijians,-17.81,178.32,bauu1243,Fijians,,,,Bau Fijians (OQ12),OQ12,,,,,Southwestern Pacific
CARNEIRO4_019,Bemba,-11,31,town1238,Bemba,,,,Bemba (FQ05),FQ05,,,,,South Tropical Africa
CARNEIRO4_020,Suku,-6,18,suku1259,Suku,,,,Suku (FO46),FO46,,,,,West-Central Tropical Africa
CARNEIRO4_021,Tanala,-22,47,tana1285,Tanala,,,,Tanala (FY08),FY08,,,,,Western Indian Ocean
CARNEIRO4_022,Māori,-38.41,176.31,maor1246,Maori,,,,Maori (OZ04),OZ04,,,,,New Zealand
CARNEIRO4_023,Pokot,1.57,35.23,poko1263,Pokot,,,,,,,,Coordinates from glottolog poko1263; not specified whether East = Plains (xd399) or West = Hill (xd402),,East Tropical Africa
CARNEIRO4_024,Acoma,35,-108,acom1246,Acoma,,,,,,,,,,South-Central U.S.A.
CARNEIRO4_025,Rwala,33,37,east2690,Rwala,,,,Rwala Bedouin (MD04),MD04,,,,,Western Asia
CARNEIRO4_026,Muscogee,33,-84,cree1270,Creek,,,,Creek (NN11),NN11,,,,,Southeastern U.S.A.
CARNEIRO4_027,Tuareg Ahaggar,23,6,hogg1238,Tuareg (Ahaggar),,,,Tuareg (MS25),MS25,,,,,Northern Africa
CARNEIRO4_028,Kayan,2.72,114.17,reja1241,Kayan,,,,,,,,Coordinates from glottolog reja1241,,Malesia
CARNEIRO4_029,Futunans,-14.31,-178.11,east2447,Futunans,,,,,,,,,,Southwestern Pacific
CARNEIRO4_030,Kofyar,8.80,9.15,kofy1242,Kofyar,,,,,,,,Coordinates from glottolog kofy1242,,West Tropical Africa
CARNEIRO4_031,Tsonga,-24,32,tson1249,Thonga,,,,Tsonga (FT06),FT06,,,,,South Tropical Africa
CARNEIRO4_032,Seneca,43,-77,sene1264,Iroquois,,,,Iroquois (NM09),NM09,,,"Probably match to Seneca, based on reference (Morgan 1901)",,Northeastern U.S.A.
CARNEIRO4_033,Bontok,17,121,cent2292,Bontoc,,,,,,,,,,Malesia
CARNEIRO4_034,Boloki,0.83,18.46,bolo1262,Boloki,,,,,,,,Coordinates from glottolog bolo1262; cross-id matched to Ngala (Ae28),,West-Central Tropical Africa
CARNEIRO4_035,Kwakwaka'wakw,51,-127.49,kwak1269,Kwakiutl,,,,,,,,,,Western Canada
CARNEIRO4_036,Molima,-10,151,moli1248,Molima,,,,,,,,,,Papuasia
CARNEIRO4_037,Keyu,0,36,keiy1238,Elgeyo,,,,,,,,,,East Tropical Africa
CARNEIRO4_038,Kiga,-3,30,chig1238,Chiga,,,,,,,,,,West-Central Tropical Africa
CARNEIRO4_039,Karen,17.99,97.71,sgaw1245,Karen (S'gaw),,,,Karen (AP07),AP07,,,Coordinates from glottolog sgaw1245 (S'gaw Karen),,Indo-China
CARNEIRO4_040,Lango,2,33,lang1324,Lango,,,,,,,,,,East Tropical Africa
CARNEIRO4_041,Ao,27,94,aona1235,Ao Naga,,,1800,,,,,,,Indian Subcontinent
CARNEIRO4_042,Mandan,47,-101,mand1446,Mandan,,,,Mandan (NQ17),NQ17,,,,,North-Central U.S.A.
CARNEIRO4_043,Omaha,41,-96,omah1248,Omaha,,,,Omaha (NQ21),NQ21,,,,,North-Central U.S.A.
CARNEIRO4_044,Ifaluk,7.25,144.46,nucl1479,Ifaluk,,,,Woleai Region (OR21),OR21,,,,,Northwestern Pacific
CARNEIRO4_045,Nama,-26,18,nama1265,Nama Hottentots,,,,Khoi (FX13),FX13,,,,,Southern Africa
CARNEIRO4_046,Menominee,46,-88,meno1252,Menomini,,,,,,,,,,Northeastern U.S.A.
