ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,main_focal_year,HRAF_name_ID,HRAF_ID,region,comment,,,
CARNEIRO4_001,Ancient Egyptians,30,31,egyp1246,New Kingdom Egypt,xd524,-1350,,,Northern Africa,,,,
CARNEIRO4_002,Ancient Romans,41.9,12.5,lati1261,Roman Empire,xd530,100,Imperial Romans (EI09),EI09,Southeastern Europe,,,,
CARNEIRO4_003,Assyrian Empire,36.36,43.15,assy1242,Assyrian Empire,,-650,,,Western Asia,Coordinates based on the capital city Nineveh,,,
CARNEIRO4_004,Aztec,19,-99,clas1250,Aztecs (pre-conquest),xd1301,1500,Aztecs (NU07),NU07,Mexico,,,,
CARNEIRO4_005,China (Han Dynasty),34.31,108.86,oldc1244,China (Han Dynasty),,-100,Han Chinese (AE15),AE15,China,Coordinates based on the capital city Chang'an,,,
CARNEIRO4_006,Inca,-13,-72,cusc1236,Incas,xd1374,1500,Inka (SE13),SE13,Western South America,,,,
CARNEIRO4_007,Kingdom of León,42.6,-5.57,leon1250,Kingdom of León,,950,,,Southwestern Europe,Coordinates based on the capital city Leon,,,
CARNEIRO4_008,Vikings,59,11.1,oldn1244,Vikings,,,,,Northern Europe,,,,
CARNEIRO4_009,Fon,7,2,fonn1241,Dahomey,xd186,,Fon (FA18),FA18,West Tropical Africa,,,,
CARNEIRO4_010,Ashanti,7,-2,asan1239,Ashanti,xd208,,Akan (FE12),FE12,West Tropical Africa,,,,
CARNEIRO4_011,Ganda,1,32,gand1255,Baganda,xd124,,Ganda (FK07),FK07,East Tropical Africa,,,,
CARNEIRO4_012,Marquesans,-8.90,-140.08,nort2845,Marquesans,xd892,,Marquesas (OX06),OX06,South-Central Pacific,,,,
CARNEIRO4_013,Tahitians,-17.71,-149.54,tahi1242,Tahitians,xd897,,,,South-Central Pacific,,,,
CARNEIRO4_014,Hawaiians,19.89,-155.83,hawa1245,Hawaiians,xd895,,Hawaiians (OV05),OV05,North-Central Pacific,,,,
CARNEIRO4_015,Mano,7.05,-8.86,mann1248,Mano,,,,,West Tropical Africa,,,,
CARNEIRO4_016,Venda,-23,30,vend1245,Bavenda,xd29,,,,Southern Africa,,,,
CARNEIRO4_017,Batak,2,98.5,toba1265,Batak,xd753,,,,Malesia,"Probably more general than Toba Batak (Ib4, xd753) but there should be overlap between them",,,
