Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Erman 1894: 127,,
005,1,"Erman 1894: 123,427",,
006,1,Erman 1894: 427,,
007,1,Petrie 1923: 183,(+); letting just enough mud settle – opening ditches just right length of time,
008,0,,,
009,1,Erman 1894: 496,,
010,1,Petrie 1923: 181,,
011,1,,,
012,1,Petrie 1923: 22,,
013,0,,?; dikes and dams to prevent damage of arable land by inundation (?),
014,1,Petrie 1923: 69,,
015,1,Petrie 1923: 8,,
016,0,,,
017,0,,,
018,1,,(+) ?,
019,1,,(+) ?,
020,1,,,
021,1,,,
022,1,,,
023,1,,,
024,1,,,
025,1,Erman 1894: 431,,
026,1,Erman 1894: 430,,
027,1,"Erman 1894: 138,492",,
028,1,,,
029,1,,,
030,1,,,
031,1,,,
032,1,,,
033,1,,,
034,1,,,
035,1,,,
036,1,,"Memphis, Thebes",
037,1,,,
038,1,,?,
039,1,Cottrell 1960: 52,?; but planned towns,
040,1,,,
041,1,,,
042,1,Wilson 1951: 188; Erman 1894: 476,good roads (Erman 1894: 476),
043,0,Petrie 1923: 167,for hauling blocks,
044,1,Petrie 1923: 185,?,
045,1,,(+) ?,
046,1,,,
047,0,Erman 1894: 245,“arena” ?,
048,1,,,
049,1,,(+) ?,
050,1,Petrie 1923: 159,,
051,1,,(+),
052,1,Cottrell 1960: 53,,
053,0,Cottrell 1960: 55,cesspit [unreadable],
054,1,Erman 1894: 170,,
055,1,,,
056,0,Erman 1894: 537,,
057,1,,,
058,1,,,
059,1,Erman 1894: 168,,
060,1,,,
061,1,,,
062,1,,tho not many,
063,1,,,
064,1,,yes!,
065,1,Erman 1894: 469,,
066,1,,,
067,1,Petrie 1923: 192,,
068,0,"Erman 1894: 167,174; Brodrick and Morton 1902: 36","(-) ?; not fired but sun dried (Erman 1894: 167,174); glazed brick (Brodrick and Morton 1902: 36)",
069,1,Cottrell 1960: 180-181,,
070,1,,,
071,1,,,
072,1,,,
073,1,,any arch,
074,1,,Waterhouse [?]: 8,
075,1,,,
076,1,,p. 115 [unreadable],
077,1,,,
078,1,,,
079,1,Erman 1894: 525,,
080,1,Erman 1894: 525,,
081,1,,,
082,1,,,
083,1,,,
084,1,,,
085,1,Erman 1894: 112,,
086,1,Cottrell 1960: 67,female line,
087,1,Erman 1894: 147; Cottrell 1960: 42; Petrie 1923: 78,tho limited,
088,1,,,
089,1,,,
090,1,,,
091,1,,,
092,1,,,
093,1,,,
094,1,Erman 1894: 123-125,,
095,1,,,
096,1,,,
097,1,,,
098,1,Erman 1894: 121,,
099,1,Erman 1894: 497,copper pieces – uten = 91 grammes of Cu,
100,0,Erman 1894: 496,,
101,1,Cottrell 1960: 201; Petrie 1923: 77,,
102,1,Erman 1894: 103,,
103,1,,,
104,1,Erman 1894: 129,,
105,1,Erman 1894: 494,,
106,1,Erman 1894: 494,(+),
107,1,"Petrie 1923: 157,163; Erman 1894: 494","supervising, markets [underlined]; taxed foreign traders (Petrie 1923: 163); “public weighers appointed to certify the amount of goods bought and sold” (Petrie 1923: 157)",
108,1,Cottrell 1960: 42,,
109,1,,,
110,1,Erman 1894: 112,,
111,1,,,
112,1,Petrie 1923: 21,,
113,1,,,
114,1,Wilson 1951: 82,,
115,1,Wilson 1951: 82,,
116,1,Petrie 1923: 19,,
117,0,,,
118,1,,,
119,0,,?; foreign traders coming up the river[?] had to pay fees,
120,1,Petrie 1923: 13,on temple lands,
121,1,,,
122,1,Petrie 1923: 24,(+),
123,1,,,
124,1,,,
125,1,Erman 1894: 154,royal lineages [underlined],
126,1,Erman 1894: 121,,
127,1,,,
128,1,,,
129,1,,,
130,1,Erman 1894: 210,M. Kingdom,
131,1,,,
132,1,,,
133,0,Cottrell 1960: 207,but scribes don’t need to pay,
134,1,,,
135,1,,,
136,1,Erman 1894: 245,,
137,1,Cottrell 1960: 77,,
138,1,,,
139,1,,,
140,1,,,
141,0,,,
142,1,Erman 1894: 310,,
143,1,,,
144,1,,,
145,1,,,
146,1,,,
147,1,,,
148,1,,,
149,1,Erman 1894: 106,first[?] speaker,
150,1,,,
151,1,,,
152,1,,,
153,1,,,
154,1,,,
155,1,,,
156,1,Petrie 1923: 19,prefect,
157,1,,,
158,1,Petrie 1923: 8; Erman 1894: 108,,
159,1,,,
160,1,Petrie 1923: 11,vizier,
161,1,,,
162,1,Cottrell 1960: 33,“The Eyes and Ears of the King”,
163,1,Cottrell 1960: 129,,
164,0,Wilson 1951: 138,(-),
165,1,,,
166,1,Erman 1894: 106,,
167,1,Erman 1894: 103,,
168,1,Petrie 1923: 81,,
169,1,"Erman 1894: 104,107",,
170,1,,,
171,1,,,
172,1,,,
173,1,Erman 1894: 103,,
174,1,,,
175,1,,,
176,1,,,
177,1,Erman 1894: 65,,
178,1,,,
179,1,,,
180,1,,,
181,0,,(-); (sub-chiefs),
182,1,"Petrie 1923: 9-10,33",,
183,1,,,
184,1,,,
185,1,,,
186,0,,statues of them buried in tomb,
187,1,,,
188,1,,,
189,1,,,
190,1,Erman 1894: 534; Wilson 1951: 230,,
191,1,Erman 1894: 499; Wilson 1951: 188,Nubian ambassadors (Erman 1894: 499),
192,1,Erman 1894: 164,,
193,1,Erman 1894: 164,,
194,1,,,
195,1,,,
196,1,,,
197,1,,,
198,1,Petrie 1923: 19,,
199,1,,,
200,1,Petrie 1923: 15; Erman 1894: 107,,
201,1,,(+) ?,
202,1,Erman 1894: 141,,
203,1,Erman 1894: 141,,
204,1,Wilson 1951: 269,altho ideally not so,
205,1,,,
206,1,Petrie 1923: 15,,
207,1,Petrie 1923: 83,,
208,1,"Erman 1894: 141,144",,
209,1,Wilson 1951: 242-243,terms at hard labor [underlined]; can sell oneself into slavery if completely in debt,
210,1,Erman 1894: 141,,
211,1,Wilson 1951: 242; Erman 1894: 141,,
212,1,"Petrie 1923: 15,19; Erman 1894: 130",,
213,1,Petrie 1923: 77,,
214,1,,,
215,1,,,
216,1,Erman 1894: 128,,
217,1,Erman 1894: 128,,
218,1,,,
219,1,,,
220,0,,(-),
221,1,Erman 1894: 103,,
222,1,Erman 1894: 103,,
223,1,,?,
224,1,"Erman 1894: 121,529,545",,
225,1,Erman 1894: 527,,
226,1,,,
227,1,Erman 1894: 546,,
228,1,Erman 1894: 529,,
229,1,Erman 1894: 103,,
230,1,"Erman 1894: 170,525-526; Petrie 1923: 8",Fortresses (Petire 1923: 8),
231,1,Erman 1894: 533,,
232,0,,,
233,1,,,
234,1,Petrie 1923: 199,property [underlined],
235,1,Erman 1894: 103,,
236,1,Erman 1894: 539,hands [underlined],
237,1,Erman 1894: 128,slaves,
238,1,,see human sacrifice,
239,0,,(-),
240,1,,,
241,1,,,
242,1,,?,
243,1,Erman 1894: 102,,
244,1,Wilson 1951: 198,,
245,1,Erman 1894: 259,,
246,1,"Erman 1894: 139,329",,
247,1,Petrie 1923: 88; Wilson 1951: 169-170,,
248,0,,,
249,1,Erman 1894: 163,,
250,1,Erman 1894: 260-261,,
251,1,,,
252,1,Erman 1894: 273-274,,
253,1,Erman 1894: 272,,
254,1,Cottrell 1960: 218,,
255,1,Erman 1894: 273,,
256,1,,,
257,1,,,
258,1,Erman 1894: 104,,
259,1,,,
260,1,,,
261,1,Erman 1894: 104,,
262,1,,,
263,1,,,
264,1,Petrie 1923: 13,,
265,1,Erman 1894: 291,priestesses [underlined],
266,1,,,
267,1,,,
268,1,,,
269,1,Erman 1894: 273,,
270,1,,,
271,1,,(+),
272,0,,"Priests of Isis[?], in initiation?",
273,0,,,
274,1,,,
275,1,Erman 1894: 260,,
276,1,Erman 1894: 264,,
277,1,,,
278,1,Erman 1894: 457,,
279,1,,"?; Canopic jars, etc.?",
280,1,,,
281,1,Erman 1894: 457,,
282,1,Erman 1894: 457,,
283,1,Erman 1894: 457,,
284,1,,,
285,1,,,
286,1,,,
287,1,,,
288,1,,,
289,1,Erman 1894: 397,,
290,1,,,
291,1,Erman 1894: 457,,
292,1,Cottrell 1960: 167; Erman 1894: 462,glass [underlined] – Cottrell (1960: 167); cloisonne? (Erman 1894: 462),
293,0,,,
294,1,Erman 1894: 121,,
295,0,,by hand in large mortars,
296,1,,shadoof [underlined],
297,1,,,
298,1,,,
299,1,,,
300,1,Cottrell 1960: 185; Erman 1894: 448,Heddle “[unreadable]” (Cottrell 1960: 185),
301,1,Cottrell 1960: 123; Brodrick and Morton 1902: 91; Petrie 1923: 100,wool [underlined]; “woollen” (Cottrell 1960: 123),
302,1,Erman 1894: 448,,
303,1,,,
304,1,Petrie 1923: 152,,
305,1,,,
306,1,Erman 1894: 459,,
307,1,Erman 1894: 463,,
308,1,Erman 1894: 464,,
309,1,Erman 1894: 459,,
310,1,Erman 1894: 468,,
311,1,"Erman 1894: 460-461,463",,
312,1,Erman 1894: 461,,
313,1,Erman 1894: 460,,
314,1,"Erman 1894: 121,460",,
315,1,Erman 1894: 461,,
316,1,Petrie 1923: 151,,
317,1,Cottrell 1960: 174,for Cu [?],
318,1,Erman 1894: 457,,
319,1,,,
320,1,,,
321,1,,,
322,1,,,
323,1,,,
324,1,Erman 1894: 119,,
325,1,Erman 1894: 137,,
326,1,,,
327,1,,,
328,1,,,
329,1,,,
330,1,Erman 1894: 481,,
331,1,Erman 1894: 481,,
332,1,"Erman 1894: 483,487",,
333,1,"Erman 1894: 499,540-542",warship,
334,1,,,
335,1,Erman 1894: 487; Cottrell 1960: 44,,
336,1,Erman 1894: 488,(+) ?; to incense countries and to Syria; commercial relations with Crete,
337,1,,,
338,1,"Erman 1894: 464,48[?]",weights; measure,
339,1,,,
340,1,Erman 1894: 333,,
341,1,,,
342,1,,,
343,1,Erman 1894: 333,alphabet,
344,1,,,
345,1,"Erman 1894: 155,163-164; Cottrell 1960: 125",,
346,1,,,
347,1,Erman 1894: 348-350,,
348,1,"Erman 1894: 146,351",,
349,1,Cottrell 1960: 42,,
350,1,"Cottrell 1960: 27,191",trepanning etc.,
351,1,Erman 1894: 123,,
352,1,,"beer, wine (many kinds of each)",
353,1,Petrie 1923: 161; Wilson 1951: 182,royal messenger (Petrie 1923: 161),
354,1,Cottrell 1960: 82,,
