Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,Maspero 1892: 221; Olmstead 1923: 521,,
004,1,,,
005,1,Rawlinson 1871: 567,plow,
006,1,Rawlinson 1871: 567,,
007,1,,(+),
008,0,Olmstead 1923: 521,(-),
009,1,"Maspero 1892: 254,328,341",,
010,1,Drower 1954: 554,(+); destroyed Babylon was reclaimed in this way,
011,1,"Maspero 1892: 254,328,341; Rawlinson 1871: 215",,
012,1,Maspero 1892: 342; Rawlinson 1871: 563,,
013,0,,(-),
014,1,Maspero 1892: 225; Olmstead 1923: 554,,
015,1,"Olmstead 1923: 513,553",,
016,0,Olmstead 1923: 511,,
017,0,Olmstead 1923: 513,(-),
018,0,,,
019,0,,not farmers in general; only those who work for state or church estates,
020,1,,,
021,1,,,
022,1,Olmstead 1923: 522-523,"vinyards; one orchard of 2,400 fruit trees cited (p. 522); another with 10,000 (p. 523)",
023,1,Maspero 1892: 199,,
024,1,"Maspero 1892: 199,258[?]","cattle, sheep, goats",
025,1,"Maspero 1892: 205,256",pack donkeys,
026,1,Olmstead 1923: 521,oxen pull plows; horses pull chariots,
027,1,,cavalry,
028,1,,,
029,1,,,
030,1,"Olmstead 1923: 528,555",Babylon had checker ground plan,
031,1,,,
032,1,,,
033,1,,,
034,1,,,
035,1,Maspero 1892: 202,,
036,1,Maspero 1892: 202; Olmstead 1923: 527,,
037,1,"Olmstead 1923: 524,528,531,555; Rawlinson 1871: 252,256","but cf. Olmstead (1923: 555); Nineveh - 120,000 probably fair estimate (Rawlinson 1871: 252); Rawlinson (1871: 256) estimates 175,000 for Nineveh",
038,1,Olmstead 1923: 559,metalworkers located in NW corner of the city of Ashur,
039,1,Maspero 1892: 195-196,Dur-Sarginu formed an almost perfect square,
040,1,Maspero 1892: 201,,
041,1,Maspero 1892: 199; Olmstead 1923: 559,,
042,1,"Maspero 1892: 197,319",,
043,1,Maspero 1892: 197,"good stone road, ca. 12 yards wide",
044,1,Olmstead 1923: 112; Rawlinson 1871: 545,,
045,1,Maspero 1892: 201,inns,
046,1,Maspero 1892: 202,,
047,0,,no mention of any such,
048,1,Rawlinson 1871: 484,,
049,1,Maspero 1892: 361,,
050,1,Olmstead 1923: 558; Rawlinson 1871: 563,,
051,1,"Maspero 1892: 195; Olmstead 1923: 521,557","(+); ""bath house"" (Olmstead 1923: 521)",
052,1,Olmstead 1923: 557; Rawlinson 1871: 329,,
053,1,Olmstead 1923: 565,"""underground drains which displayed a sense for the need of sanitation""",
054,1,Maspero 1892: 202,,
055,1,Maspero 1892: 198,,
056,1,Maspero 1892: 360,,
057,1,,,
058,1,,,
059,1,Maspero 1892: 194,tower,
060,1,Maspero 1892: 196; Rawlinson 1871: 257,,
061,1,"Maspero 1892: 196; Olmstead 1923: 495,556",,
062,1,Olmstead 1923: 556,mud bricks for common dwellings,
063,1,Maspero 1892: 362,,
064,1,Maspero 1892: 362,,
065,1,"Maspero 1892: 196,200",,
066,1,"Rawlinson 1871: 257,279,325",of bricks,
067,1,Maspero 1892: 198; Rawlinson 1871: 279,"""earth or rubbish"" (Rawlinson 1871: 279)",
068,1,"Maspero 1892: 196,198; Olmstead 1923: 563",,
069,0,Maspero 1892: 198; Olmstead 1923: 564,only bitumen to hold fired brick in place (Olmstead 1923: 564),
070,1,"Maspero 1892: 199,207,218",enamelling of bricks (Maspero 1892: 199); interior of walls covered with fine plaster (Maspero 1892: 218); stucco (Maspero 1892: 207),
071,1,"Olmstead 1923: 557; Rawlinson 1871: 301-302,322","wood, probably (Rawlinson 1871: 301-302)",
072,1,,(+),
073,1,"Maspero 1892: 199,205",corbeled [stricken]; used in construction,
074,1,"Maspero 1892: 199,205",,
075,1,Olmstead 1923: 565,"""Assyria used it sparingly""",
076,1,"Maspero 1892: 199,204,217",,
077,1,,,
078,1,Rawlinson 1871: 215,dams cut in solid rock,
079,1,"Maspero 1892: 198-199,202",,
080,1,Maspero 1892: 198,towers crenellations,
081,1,"Maspero 1892: 196,326",military engineers,
082,1,,,
083,1,,,
084,1,Maspero 1892: 195; Olmstead 1923: 517,,
085,1,Maspero 1892: 195,title deeds,
086,1,"Maspero 1892: 195,205","""patrimony""",
087,1,Olmstead 1923: 552,,
088,1,Maspero 1892: 206,,
089,1,Maspero 1892: 206,,
090,1,,,
091,1,,,
092,1,"Maspero 1892: 228,275,320","draper (Maspero 1892: 228), goldsmiths (Maspero 1892: 275), blacksmith, armorer (Maspero 1892: 320)",
093,1,Olmstead 1923: 601,physician,
094,1,"Olmstead 1923: 559,538","each craft had its patron saint and its chief, who was its direct representative with the government",
095,1,,,
096,1,Rawlinson 1871: 479,,
097,1,"Olmstead 1923: 268,513,516,519",but see Olmstead (1923: 516),
098,1,Olmstead 1923: 519,,
099,1,Maspero 1892: 221,,
100,1,Maspero 1892: 291; Olmstead 1923: 537-538,metal currency was weighed (Maspero 1892: 291); coined money used (Olmstead 1923: 537-538),
101,1,Maspero 1892: 221,,
102,1,Olmstead 1923: 520,,
103,1,"Maspero 1892: 201,215",,
104,1,"Maspero 1892: 201; Olmstead 1923: 519,559",shopkeepers (Olmstead 1923: 519),
105,1,Maspero 1892: 195,,
106,1,Olmstead 1923: 559,each street had different kinds of good sold,
107,1,Maspero 1892: 222; Olmstead 1923: 281,scaling of contracts before a judge (Maspero 1892: 222); standardized weight of the mana used in commerce (Olmstead 1923: 281),
108,1,"Maspero 1892: 222,224",,
109,1,Olmstead 1923: 542,deeds on clay tablets filed in archive,
110,1,,,
111,1,"Maspero 1892: 205,370",,
112,1,,,
113,1,Maspero 1892: 271,,
114,0,,apparently all in private hands; the ruling class looked down on commerce,
115,0,,,
116,1,"Maspero 1892: 205,287; Olmstead 1923: 513","grain tax, straw tax (Olmstead 1923: 513)",
117,1,Maspero 1892: 205; Olmstead 1923: 516-517,"""regular taxes"", for which taxes in kind could be substituted (Olmstead 1923: 516)",
118,1,Olmstead 1923: 516,,
119,1,"Maspero 1892: 216; Olmstead 1923: 516,526",quay and bridge dues (Olmstead 1923: 526),
120,1,"Olmstead 1923: 268,518",,
121,1,"Maspero 1892: 200,335",,
122,1,"Maspero 1892: 217; Olmstead 1923: 539,543,549",family pledged by borrower in default of payment (Olmstead 1923: 543); self pledge (Olmstead 1923: 549),
123,1,"Maspero 1892: 217,335; Olmstead 1923: 519",,
124,1,,,
125,1,,royal lineages [underlined],
126,1,Maspero 1892: 251,,
127,1,Maspero 1892: 251,,
128,1,Maspero 1892: 277-278,,
129,1,Maspero 1892: 278; Olmstead 1923: 553,,
130,1,Olmstead 1923: 553,veiling out of one's class was severly punished,
131,1,"Maspero 1892: 202,217; Olmstead 1923: 555",,
132,1,"Maspero 1892: 221,228,272; Olmstead 1923: 555",,
133,1,"Olmstead 1923: 513,517","yes, by royal charter in certain cases (Olmstead 1923: 513); apparently common (Olmstead 1923: 517)",
134,1,"Maspero 1892: 217,221,229","slaves (Maspero 1892: 217,229), servants (Maspero 1892: 221)",
135,1,"Olmstead 1923: 539,553,624",,
136,0,,none cited,
137,0,,none cited,
138,1,"Maspero 1892: 231,241",,
139,1,,,
140,1,Maspero 1892: 246,(+),
141,0,Maspero 1892: 245,(-),
142,1,Maspero 1892: 245; Olmstead 1923: 625,(+),
143,1,Maspero 1892: 201,,
144,1,Maspero 1892: 282,,
145,1,,,
146,1,Maspero 1892: 283,,
147,1,,,
148,1,,,
149,1,Maspero 1892: 278,,
150,1,,,
151,1,Maspero 1892: 254,,
152,1,Maspero 1892: 197,"Nineveh, Dur-Saginu",
153,1,"Olmstead 1923: 516,530,561",,
154,1,"Maspero 1892: 215,253",,
155,1,Olmstead 1923: 606-607,,
156,1,"Olmstead 1923: 525,529,547,554","council of elders municipally chosen, and governor appointed by the king (Olmstead 1923: 529); mayor (Olmstead 1923: 547,554)",
157,1,Olmstead 1923: 605,"began as palace hierarchy, evolved unto something more; it was hierarichal because there was a defnite order of protocol",
158,1,"Maspero 1892: 209,278",,
159,0,Maspero 1892: 278,(-),
160,1,Maspero 1892: 270; Olmstead 1923: 605,grand vizier (Maspero 1892: 270),
161,1,,"sub-governor, governor, king",
162,1,"Olmstead 1923: 547,609","""there was close inspection from above"" (Olmstead 1923: 609)",
163,0,,,
164,1,"Maspero 1892: 202,335; Olmstead 1923: 509",,
165,1,Maspero 1892: 252,,
166,1,Olmstead 1923: 606-607,,
167,1,,,
168,1,"Maspero 1892: 205,209",,
169,1,Maspero 1892: 207,"""he is the supreme head of the national religions""",
170,1,Maspero 1892: 205,"""thousands of persons are attached to the sovereign's household""",
171,1,"Maspero 1892: 206,365; Rawlinson 1871: 505",,
172,1,"Maspero 1892: 197,365",eunuch in charge,
173,1,"Maspero 1892: 205,254; Olmstead 1923: 603-604","soldiers attached to soveriegn's household (Maspero 1892: 205); bodyguards (Olmstead 1923: 603); ""1,000 picked soldiers"" (Olmstead 1923: 604)",
174,1,"Maspero 1892: 197,271,373",court poet,
175,1,"Maspero 1892: 194,202",palace,
176,1,"Maspero 1892: 262,361",,
177,1,Olmstead 1923: 490,"crown princes were installed, so...",
178,1,"Maspero 1892: 204,209,272","royal standard (Maspero 1892: 204), throne (Maspero 1892: 209), mitre (Maspero 1892: 272)",
179,1,Olmstead 1923: 513,seal,
180,1,"Maspero 1892: 209,280","bowing low (Maspero 1892: 209), kissing ground before the king's feet (Maspero 1892: 280)",
181,0,,(-); no info,
182,1,Maspero 1892: 211; Olmstead 1923: 602,on New Year's day he must fast for the good of his people until the New Moon appears (Olmstead 1923: 602),
183,1,Maspero 1892: 211; Olmstead 1923: 600-601,,
184,1,,,
185,1,"Maspero 1892: 242,246; Olmstead 1923: 625",,
186,0,,(-),
187,0,Maspero 1892: 240,,
188,0,Maspero 1892: 211,,
189,1,"Maspero 1892: 282,287; Olmstead 1923: 606",although a governor or qepu (resident) might oversee them (Olmstead 1923: 606),
190,1,Maspero 1892: 359; Olmstead 1923: 507,,
191,1,Maspero 1892: 270; Rawlinson 1871: 497,,
192,0,,,
193,0,,not mentioned,
194,1,Olmstead 1923: 551,"""self help is legally confined to violations of family honour""",
195,1,,,
196,1,,,
197,1,Maspero 1892: 201,,
198,1,Maspero 1892: 206; Olmstead 1923: 547,,
199,1,Olmstead 1923:  602,"(+); ""chief judge or sartennu""",
200,1,Olmstead 1923:  602,"""the King always remained the ultimate court of appeal""",
201,1,,(+),
202,0,,(-),
203,1,Olmstead 1923: 550,,
204,0,"Maspero 1892: 206; Olmstead 1923: 545,551",,
205,1,,,
206,1,Maspero 1892: 228,,
207,0,Olmstead 1923: 554,(-); encroachment of property meant triple restitution,
208,1,Olmstead 1923: 546,pulling out the tongue,
209,1,"Olmstead 1923: 539-540,602","slave by debt (Olmstead 1923: 539); ""enslaved for crime"" (Olmstead 1923: 540); had to work for the state (Olmstead 1923: 602)",
210,1,"Maspero 1892: 367; Olmstead 1923: 549,554",some criminals tortured to death (Maspero 1892: 367); for sorcery (Olmstead 1923: 554); if family not turned over as composition (Olmstead 1923: 549),
211,0,Maspero 1892: 301,(-),
212,1,Maspero 1892: 216,,
213,1,"Maspero 1892: 362; Olmstead 1923: 547,554","there were prisons (Maspero 1892: 362); ""a month in the king's service"" (Olmstead 1923: 554)",
214,1,"Maspero 1892: 205,270",,
215,1,"Maspero 1892: 197,252,277,319","sometimes, ruler leads, e.g., Sargon led Armenian campaign (Maspero 1892: 197); the Tartan (Maspero 1892: 277,319)",
216,1,"Maspero 1892: 252,319",,
217,1,Olmstead 1923: 604,"rab kisir, captain in charge of a kisru of 50-200 men, the normal tactical unit",
218,1,,,
219,1,"Maspero 1892: 282-283,321; Olmstead 1923: 510",,
220,0,,(-); never mentioned,
221,1,Maspero 1892: 282; Olmstead 1923: 603,,
222,0,Olmstead 1923: 604,defeated enemy warriors incorporated into Assyrian army,
223,1,,(+),
224,1,Maspero 1892: 320-321,,
225,1,Rawlinson 1871: 467,,
226,1,Maspero 1892: 321,,
227,1,Maspero 1892: 322,,
228,1,"Maspero 1892: 320-322,352","spearmen, bowmen, slingers cavalry [underlined] (Maspero 1892: 321-2); infantry (Maspero 1892: 320); charioteers (Maspero 1892: 322); sappers (Maspero 1892: 352)",
229,1,"Maspero 1892: 259,322",,
230,1,"Maspero 1892: 283,319",,
231,1,Maspero 1892: 348,,
232,1,Maspero 1892: 354; Rawlinson 1871: 472-473,moveable battering ram (Maspero 1892: 354),
233,0,"Maspero 1892: 330,332","(-); ""every head cut off brings praise and part of the spoil to the soldier who brings it in"" ?",
234,1,"Maspero 1892: 330,332; Olmstead 1923: 518,627; Rawlinson 1871: 476",or military commanders,
235,1,,(+),
236,1,"Maspero 1892: 330,332",heads [underlined] (Maspero 1892: 330); scribes register all the heads cut off (Maspero 1892: 332),
237,1,"Maspero 1892: 200,335",,
238,1,Maspero 1892: 368,"sacrificed to Ishtar, goddess of war",
239,0,,(-),
240,1,Maspero 1892: 364,,
241,1,Maspero 1892: 364,,
242,1,Olmstead 1923: 606,see [trait] No. 189,
243,1,Maspero 1892: 283,,
244,1,"Maspero 1892: 282,292","Ishtar, queen of battles",
