Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,,,
005,1,"Palomeque Torres [?]: 29,31",hoe,
006,1,Palomeque Torres [?]: 31,,
007,1,,,
008,1,,(+),
009,0,,,
010,0,,,
011,0,,,
012,1,Palomeque Torres [?]: 25,,
013,0,,,
014,1,,,
015,1,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,not farmers in general; just those who work for the church or state,
020,1,"Palomeque Torres [?]: 31,39",,
021,1,"Palomeque Torres [?]: 31,112",church granaries; lords had granaries to store grain paid them by their vassals,
022,1,"Palomeque Torres [?]: 39,42,112-113n",vinyards,
023,1,Palomeque Torres [?]: 30,,
024,1,Palomeque Torres [?]: 35,"pigs, sheep",
025,1,"Palomeque Torres [?]: 35n,91",armies used many donkeys,
026,1,Palomeque Torres [?]: 35,yoke of oxen,
027,1,Palomeque Torres [?]: 30,,
028,1,,,
029,1,,,
030,1,,,
031,1,,,
032,1,,,
033,1,,,
034,1,,,
035,1,Palomeque Torres [?]: 134n,,
036,0,,,
037,0,,,
038,0,Palomeque Torres [?]: 38,(-); León's market was outside the walls of the city,
039,0,,,
040,1,"Palomeque Torres [?]: 27,30",,
041,1,"Palomeque Torres [?]: 56,75n",,
042,1,,,
043,1,"Palomeque Torres [?]: 30,86n,111n","Roman; ""4Palomeque Torres [?] great Roman roads""",
044,1,"Palomeque Torres [?]: 23,111","stone bridges, prob. of Roman construction",
045,0,,(-),
046,1,,,
047,0,,,
048,0,,(-),
049,0,,(-),
050,1,,(+),
051,1,"Palomeque Torres [?]: 124n,161","for public use, but admitance fee charged, in Zamora",
052,1,,(+),
053,0,,,
054,1,Palomeque Torres [?]: 87,,
055,1,Palomeque Torres [?]: 25,,
056,0,,(-),
057,1,,(+),
058,1,Palomeque Torres [?]: 122,only superior reisdences,
059,1,"Palomeque Torres [?]: 123n, 155",monastries were often two-storied; a three-stories house shown photo ca. p. 155,
060,1,,,
061,1,,,
062,1,Palomeque Torres [?]: 118,not common dwellings; wattle-and-daub common,
063,1,,,
064,1,,,
065,1,,,
066,1,,,
067,1,,(+),
068,0,Urbel and Arco y Garay 1956: 162,"(-); the ""ábside"" and ""torre mudéjar"" of San Tiiso in León is made of fired brick. Is this contemporary?",
069,1,,(+),
070,1,,stucco,
071,1,Palomeque Torres [?]: 121-122,of palaces; thatch for ordinary houses,
072,1,,,
073,1,Palomeque Torres [?]: 54,Corbeled [stricken],
074,1,Palomeque Torres [?]: 54,,
075,1,Urbel and Arco y Garay 1956: 125,,
076,1,,,
077,1,,,
078,0,,(-),
079,1,,,
080,1,Palomeque Torres [?]: 25,towers [underlined],
081,1,"Palomeque Torres [?]: 62,62n",built churches,
082,1,,(+),
083,1,"Palomeque Torres [?]: 80,125n",(+),
084,1,Palomeque Torres [?]: 34n,,
085,1,"Palomeque Torres [?]: 27n,64,74",King had record of villas chartered by him,
086,1,"Palomeque Torres [?]: 29,36",,
087,1,"Palomeque Torres [?]: 29,36",,
088,1,"Palomeque Torres [?]: 39,142",,
089,1,"Palomeque Torres [?]: 39,142",,
090,1,,,
091,1,,,
092,1,"Palomeque Torres [?]: 39,40-41,47-49,50n,53,125n","shoemakers, bakers, horticulturalists, smiths, potters, saddler, butcher, weavers, tailors, carpenters, cooks, swineherd, mare keeper",
093,1,Palomeque Torres [?]: 149,prostitute? full-time?,
094,0,"Palomeque Torres [?]: 65,65n","(-); some extent, grouped together in towns; towns of Rotarios, Torneros, Olleros near León indicate that makers of wheels, turners and potters lived, [unreadable]; silk weavers, tapesters, may (?) qualify",
095,1,"Palomeque Torres [?]: 43,65","had a monopoly of windmills for grain grinding in some parts of León; monarch brought silk weavers, tapesters, etc. to León and settled them there under his aegis",
096,1,Palomeque Torres [?]: 65,"monarch brought silk weavers, tapesters, etc. to León and settled them there under his aegis",
097,1,Palomeque Torres [?]: 31,,
098,1,"Palomeque Torres [?]: 29,65,65n",once a year the pretium laborantium or wage scale of artisans and wage laborers was fixed,
099,1,Palomeque Torres [?]: 35,,
100,1,"Palomeque Torres [?]: 35,51,51n","sueldos; not coined in León, but in wide circulation there; mostly Moorish, some Roman coins, perhaps some Galician",
101,1,"Palomeque Torres [?]: 54-55,54n-55n",by Jewish moneylenders; forbidden in the market from sunup to sundown,
102,1,"Palomeque Torres [?]: 112,118n,130",,
103,1,"Palomeque Torres [?]: 32-33,54n",Jewish merchants who may or may not have been Leónese; very probably some did reside at León,
104,1,"Palomeque Torres [?]: 39,64",within the walls of León; most sold luxury goods,
105,1,"Palomeque Torres [?]: 33,54n",every Wednesday; Villavicencio had one too,
106,0,Palomeque Torres [?]: 38,,
107,1,"Palomeque Torres [?]: 29,43,50","tax on marketed goods; zabazoque (market judge); ""inspector del mercado""",
108,1,Palomeque Torres [?]: 29,,
109,1,,(+),
110,1,,(+),
111,1,"Palomeque Torres [?]: 115,115n","apotecas or cellarios, where food was kept; the merino or majordomo probably kept track. Yes",
112,1,Palomeque Torres [?]: 43,,
113,1,"Palomeque Torres [?]: 32,44,64",,
114,0,,all trade seems to have been in the hands of private merchants,
115,0,,,
116,1,Palomeque Torres [?]: 43,e.g. small farmers taxed a bunch of turnips from those they were carrying in a bag if going to market on foot,
117,1,Palomeque Torres [?]: 43,e.g. three denars exacted for each cartful of turnips brought to market,
118,1,Palomeque Torres [?]: 114n,"the sayón, a ""kind of judge"" [Appleton's Dictionary] collected taxes in the market; sayones did this in the towns or districts where they were stationed; but they were there permanently",
119,1,Palomeque Torres [?]: 45,on goods carried rather than per capita,
120,1,"Palomeque Torres [?]: 112,125n",,
121,1,,,
122,1,Palomeque Torres [?]: 133n,"slavery - debt servitude, a more polite term; ""per deuda se sometian a la servidumbre los que habiendo cometido un delito no podian pagar la composición"" (Palomeque Torres [?]: 133n)",
123,0,,,
124,1,,social classes,
125,1,,royal lineages [underlined],
126,1,,,
127,1,Palomeque Torres [?]: 28,,
128,1,,,
129,1,Palomeque Torres [?]: 78-79,,
130,0,,,
131,1,Palomeque Torres [?]: 39-40,estates - of nobles and other wealthy men,
132,1,Palomeque Torres [?]: 39-40,,
133,1,Palomeque Torres [?]: 89n,a count might be granted immunity from military draft of his subjects,
134,1,"Palomeque Torres [?]: 28,63",escuderos,
135,0,,,
136,0,,,
137,0,,,
138,1,Urbel and Arco y Garay 1956: 176,(+); a contemporary (?) relief in stone shows some acrobatic games,
139,1,,,
140,1,,,
141,0,,,
142,1,Palomeque Palomeque Torres [?]: 56,,
143,1,,,
144,1,"Palomeque Torres [?]: 89,90n","comitatos, mandationes, commissos were districts; several of these were in a condado",
145,1,,,
146,0,,,
147,1,,,
148,1,,,
149,1,Palomeque Torres [?]: 57n,consiliarii regis,
150,1,,,
151,1,"Palomeque Torres [?]: 25,67n",,
152,1,"Palomeque Torres [?]: 25,43n,57n,59,90,164","but cf. p 43,57n; but King had his palace in León (p. 59); there was a count of León (p. 90,164)",
153,1,Palomeque Torres [?]: 90n,"""se ilamaban mandamenta de ordinario a las pequeñas circunscripciones en que ejercian su cargo los sayones [a kind of judge]""; presumably each lived in an administrative center",
154,1,"Palomeque Torres [?]: 71,90n,94,114n","or nobles?; Sayones administered small districts directly under the King; some sayones may have been appointed by counts; yes, some were appointed by the kings, some by the counts",
155,1,,"commitatos, county, kingdom",
156,0,"Palomeque Torres [?]: 92,93","(-); ""gobernador de la ciudad"" of León may have been the count of León (Palomeque Torres [?]: 93); maybe not (Palomeque Torres [?]: 92)",
157,0,Palomeque Torres [?]: 89n,,
158,0,,,
159,0,,,
160,0,,,
161,1,Palomeque Torres [?]: 89n,,
162,0,,(-),
163,0,,,
164,1,Palomeque Torres [?]: 95n,"servants, serfs, etc., offered their freedom if they would settle in areas recently devasted by Almanzor",
165,1,,primogenitive pretty well established,
166,1,Palomeque Torres [?]: 67n,,
167,1,"Palomeque Torres [?]: 64,89n",lands were granted in exchange for obligation to fight for the king,
168,1,,(+),
169,1,Palomeque Torres [?]: 60,establishes new bishoperies,
170,1,,see [trait] No. 174,
171,0,,,
172,0,,,
173,1,Palomeque Torres [?]: 77,"archers and lancers ""de su guardia""",
174,1,"Palomeque Torres [?]: 63,73,73n","steward [underlined] - majordomo; pucri regis, servants of the King [trait] No. 170; cubiculari, valet-de-chambre [triat] No. 170",
175,1,Palomeque Torres [?]: 26,palace,
176,1,Palomeque Torres [?]: 115,royal vinyards; royal lands,
177,1,,,
178,1,"Palomeque Torres [?]: 27,73,75-76","throne; special garments; ermine lining of cape; crown, scepter",
179,1,"Palomeque Torres [?]: 67,135","(+); the words iussio regis, applied to orders and decrees of the King, which could not be disobeyed; arm of accused sealed after ordeal",
180,1,Palomeque Torres [?]: 59,kissing the King's hand - not reported till 1000A.D.+,
181,1,,,
182,0,,,
183,0,,,
184,1,,,
185,1,,,
186,0,,,
187,0,,,
188,0,,,
189,1,,,
190,1,,,
191,1,"Palomeque Torres [?]: 136n,139-141n,148","Count of Castille sent embassies to Córdoba in Aug. & Oct. 971, June, Jul., 994; the count of Monzón, did not recognize the authority of Ramiro III, and sent embassies to Córdoba as an independent lord; Queen Elvira sent a diplomatic delegation, headed by a bishop, to Córdoba in 976",
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,"Palomeque Torres [?]: 114,114n","sayones, judges, did this",
198,1,"Palomeque Torres [?]: 82,83",royal court - Tribunal of the King - convened by the King,
199,1,Chapman 1918: 62,"""the right of appeal to the royal authority from the cases in seigniorial courts""",
200,1,Palomeque Torres [?]: 67n,,
201,1,,(+),
202,1,Palomeque Torres [?]: 67n,his orders and decress on administrative matters and his legal precepts had the force of law,
203,1,Palomeque Torres [?]: 43,"fueros, charters granted to towns detailing their priviliges, and obligations to the King, etc.",
204,1,"Palomeque Torres [?]: 75n,114n",(+); a noble had a wergild of 500 sueldos,
205,1,,(+),
206,1,Palomeque Torres [?]: 56,for violating the rules of the market (such as moneylending) or causing a disturbance or fighting,
207,0,"Palomeque Torres [?]: 119,132","(-); on the occasion of the murder of a monk, the family of the murderer was ordered by the King to turn over all its worldly goods to the monastery; the monastery then gave the King a fine horse - (this last was a common practice); giving short weight of merchandise (second offense)",
208,1,"Palomeque Torres [?]: 71n,75n,114,119",King had some rebelious nobles blinded; whipping for stealing fish or meat on the streets of León; whipping for ginving short weight of merchandise (fist offense),
209,1,Palomeque Torres [?]: 133n,"debt service, but not to state",
210,1,Palomeque Torres [?]: 71n,King of León had the sons of Finela put to death,
211,1,Palomeque Torres [?]: 157,"""Dios castiga con razón nuestros pecados""",
212,0,,,
213,1,"Palomeque Torres [?]: 71n,96-97,137","incarceration in the castle of León, which probably had a dungeon for criminals; ""ingresan en la cárcel del castillo""; monastries had jails",
214,1,"Palomeque Torres [?]: 87,87n","""warfare in this form is a productive enterprise and a clear source of income for the national treasury""; In Castile in the 12th century, the King paid his knights from the booty won in war",
215,0,,,
216,0,,,
217,0,,,
218,1,,,
219,1,"Palomeque Torres [?]: 86,89n",fonsade,
220,1,,(+),
221,0,,,
222,0,,,
223,1,,(+),
224,1,"Palomeque Torres [?]: 37,98",,
225,1,,,
226,1,,,
227,1,"Palomeque Torres [?]: 92,109n,110",a priest was designated to carry the cros on the campaign; probably carried into battle,
228,1,"Palomeque Torres [?]: 37,90n,99-100",bowmen [underlined]; cavalry [underlined]; infantry (Palomeque Torres [?]: 99),
229,0,,,
230,1,Palomeque Torres [?]: 86-87,,
231,1,,,
232,0,,(-),
233,1,,(+),
234,1,,,
235,1,,(+),
236,0,,,
237,1,,,
238,0,,,
239,1,Urbel and Arco y Garay 1956: 115,,
240,1,,,
241,1,,,
242,1,,,
243,1,"Palomeque Torres [?]: 59-60,60n,71n,163",Castile revolted and became independent,
244,0,Palomeque Torres [?]: 108-109,God beseeched for success in war by the King in a special ceremony,
245,1,,,
246,1,,patron saints,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,1,Palomeque Torres [?]: 164,,
253,1,,,
254,0,,,
255,1,Palomeque Torres [?]: 103,,
256,1,,,
257,1,,,
258,1,,,
259,1,,,
260,0,"Palomeque Torres [?]: 53,156-157","to a certain extent, yes; abbots, scribes, painters",
261,1,"Palomeque Torres [?]: 38,102","bishops, archbisops, priests, prelates, deacons, presbyters, abbots",
262,1,Palomeque Torres [?]: 27,,
263,1,"Palomeque Torres [?]: 38,40",,
264,1,"Palomeque Torres [?]: 103-104,159",,
265,1,"Palomeque Torres [?]: 149,155n","mencion of an abbess, so there must have been nuns; yes, there were",
266,1,Palomeque Torres [?]: 62,,
267,1,,bishops certainly did,
268,1,"Palomeque Torres [?]: 31,34n",,
269,1,Palomeque Torres [?]: 160,"""las cuantiosas donaciones""",
270,0,Palomeque Torres [?]: 31,corvée on church-owned (?) lands,
271,0,,(-),
272,1,Palomeque Torres [?]: 158,"in theory; in fact, lechery was rampant among the clergy",
273,1,Palomeque Torres [?]: 27,,
274,1,,"there were a lot of churches and monasteries in the city of León - Santiago de Compostela, but they do not seem to have been integrated into a complex",
275,1,,,
276,1,"Palomeque Torres [?]: 29,107n",Old and New Testament; Liber Ordinum,
