Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,,,
005,1,,plow,
006,1,Harding 1948: 417,,
007,1,Williams 1920: 167,animal manure [underlined],
008,1,Williams 1920: 167,(+),
009,1,Williams 1920: 167,,
010,0,,?,
011,1,Williams 1920: 167,,
012,1,Williams 1920: 167,irrigation [underlined],
013,0,,?,
014,1,,(+) ?,
015,1,,?; This is always community land as much as private,
016,0,,,
017,0,,,
018,0,,?,
019,0,,?,
020,1,,,
021,0,,?,
022,1,Williams 1920: 170,,
023,1,,,
024,1,,,
025,1,,,
026,1,,,
027,1,,,
028,1,,,
029,1,,,
030,1,"Du Chaillu 1889, vol. 2: 241",,
031,1,,,
032,1,,,
033,1,,,
034,1,,,
035,0,,?,
036,0,,?,
037,0,,?,
038,0,,?,
039,0,,?,
040,1,Brondsted 1960: 138,(+),
041,1,,(+) ?,
042,1,Williams 1920: 192,,
043,0,,,
044,1,[?]: 306,,
045,0,,?,
046,1,,,
047,0,"Du Chaillu 1889, vol. 2: 377",(-); large halls for the games,
048,1,,,
049,0,Williams 1920: 139,?; stone aqueducts for bath water,
050,1,,,
051,1,Williams 1920: 139,,
052,0,,?; lined [underlined],
053,0,,?,
054,1,,,
055,1,,,
056,0,,?,
057,1,,,
058,1,,,
059,1,,lofts – but used as bedrooms – had balconies,
060,0,,,
061,0,,,
062,0,"Du Chaillu 1889, vol. 2: 243",stoe buildings; cut stone?,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,1,,,
068,0,,,
069,0,,,
070,0,,,
071,1,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,wooden,
076,1,,(+) ?,
077,0,,,
078,0,,,
079,1,Williams 1920: 243,,
080,1,Williams 1920: 243,,
081,1,Brondsted 1960: 162,?,
082,0,,?,
083,1,,,
084,1,,,
085,0,,,
086,1,,,
087,1,,,
088,1,,,
089,1,,,
090,1,,,
091,1,,,
092,1,,,
093,1,,scald,
094,0,,?,
095,0,,?,
096,1,,,
097,1,,,
098,1,Williams 1920: 175,,
099,1,,gold rings,
100,1,Brondsted 1960: 179-180,,
101,0,,(-),
102,0,,,
103,1,,,
104,0,,(-) ?,
105,1,,,
106,0,Williams 1920: 235,,
107,0,,,
108,0,,,
109,0,,,
110,1,,?,
111,0,,,
112,1,,,
113,1,,,
114,0,,,
115,1,,,
116,1,Williams 1920: 56,,
117,0,,,
118,0,,?; tribute collectors ... periodically [underlined],
119,0,,,
120,1,Harding 1948: 427,,
121,1,,,
122,1,"Du Chaillu 1889, vol. 2: 236","thralls, but not common thralls!",
123,1,,,
124,1,Mallet 1859: 198,Guilds,
125,0,,,
126,1,,,
127,1,,,
128,1,,,
129,1,Williams 1920: 81-82,(+),
130,1,,,
131,1,,,
132,1,,,
133,0,,,
134,1,,,
135,1,Mallet 1859: 202,"(+); ""Two or more"" … ""a number""",
136,1,,competitive games at the Thing at which only upper classes would be attending,
137,0,,where do scalds go?,
138,1,,where do scalds go?,
139,1,,,
140,1,,,
141,1,,,
142,1,,ship graves,
143,1,,,
144,1,,,
145,1,,(+),
146,0,,temporary,
147,1,,,
148,1,,,
149,1,,Thing,
150,1,,?,
151,1,Brondsted 1960: 43,some strong [unreadable]; king didn’t have that much power – there was democracy within the aristocracy,
152,1,,,
153,0,,?; Godi,
154,0,,?,
155,1,"Du Chaillu 1889, vol. 1: 519",,
156,0,,?,
157,0,,,
158,0,,,
159,1,,,
160,0,,?,
161,1,,,
162,0,,,
163,0,,,
164,1,Brondsted 1960: 33,,
165,1,"Du Chaillu 1889, vol. 1: 517",election,
166,0,,,
167,1,,(+),
168,1,,,
169,0,,,
170,1,,,
171,1,,(+) ?,
172,0,,?,
173,1,Harding 1948: 422,,
174,1,,,
175,1,Williams 1920: 283,other [underlined],
176,1,Williams 1920: 54,,
177,1,Williams 1920: 279,,
178,1,,?,
179,1,,?,
180,0,,?,
181,1,"Du Chaillu 1889, vol. 2: 253",,
182,0,,he has to be extra extra zealous in his worship or everything goes to pot – and he could be dethroned,
183,0,,,
184,1,,,
185,1,,,
186,1,"Du Chaillu 1889, vol. 2: 320",retainers or slaves [underlined],
187,0,,,
188,1,,,
189,1,Williams 1920: 56,,
190,1,,,
191,0,,?,
192,0,,,
193,0,,,
194,1,,(+); designated agent,
195,1,Harding 1948: 422,"there was machinery for making a decision about who was guilty, but the winner of the case had to carry out the sentence",
196,1,,,
197,1,,,
198,1,,,
199,1,"Du Chaillu 1889, Vol. 1: 519",,
200,1,,,
201,1,,,
202,0,,(-),
203,1,Williams 1920: 278,,
204,1,Williams 1920: 293,,
205,1,,,
206,1,,,
207,1,,,
208,0,,,
209,0,,(-),
210,1,,(+) ?,
211,0,,,
212,0,,,
213,0,,,
214,1,,(+); economic considerations or prestige - both!,
215,0,,,
216,0,,,
217,0,,,
218,1,,skilled [underlined],
219,1,"Du Chaillu 1889, vol. 2: 187",leidangr was a levy of men to man warships,
220,0,,,
221,0,,,
222,1,,,
223,0,,(-); who pass for natives [underlined],
224,1,,,
225,1,,,
226,1,,,
227,1,,,
228,0,,,
229,0,,,
230,1,Brondsted 1960: 165,,
231,1,,,
232,1,Williams 1920: 244,,
233,0,,,
234,1,,,
235,1,,,
236,0,,,
237,1,,,
238,1,Williams 1920: 389,"""regularly"" -> at crises",
239,1,,(+),
240,1,,,
241,1,,,
242,1,,?,
243,1,,(+),
244,1,,Odin,
245,1,,,
246,1,,hunters [underlined],
247,0,,"oracles all right, but priest or priestess doesn’t fit",
248,0,,,
249,0,,,
250,1,,,
251,1,,"(+); Odin, Thor, and Frey sometimes seen fairly equal",
252,1,,,
253,1,,,
254,1,,,
255,1,,,
256,1,,,
257,1,,,
258,1,,,
259,0,,"buy their office, then invest themselves in a ceremony",
260,0,,?,
261,0,,?; [p.?] 39 priests – Godi,
262,1,,,
263,0,,?,
264,0,,?,
265,1,,priestesses [underlined],
266,1,,,
267,0,,?,
268,0,,?,
269,0,,?,
270,0,,?; temple is also judicial – administrative exacts a part of all fees,
271,0,,,
272,0,,?,
273,0,,?,
274,0,,?,
275,1,,,
276,0,,(-); northern[?] little later,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,1,,sculptors [underlined],
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,(-),
292,0,,(-),
293,1,,(+),
294,1,,,
295,0,,?,
296,0,,?,
297,1,,,
298,1,,,
299,1,,,
300,1,"Du Chaillu 1889, vol. 2: 366",,
301,1,,,
302,1,,,
303,1,,,
304,1,,,
305,0,,women,
306,1,,,
307,1,,,
308,1,,,
309,1,Williams 1920: 178,,
310,1,,,
311,1,,,
312,1,,,
313,1,,,
314,1,,,
315,1,,,
316,1,,,
317,1,,,
318,1,,,
319,1,,,
320,0,,?,
321,1,,,
322,1,,,
323,1,,,
324,1,,,
325,1,,,
326,1,,,
327,1,,,
328,1,,,
329,1,,,
330,1,,,
331,1,,,
332,1,,,
333,1,,,
334,1,,,
335,1,,,
336,1,,,
337,1,,,
338,1,"Du Chaillu 1889, vol. 2: 214",,
339,1,,,
340,1,Williams 1920: 356,,
341,1,,,
342,1,,,
343,1,,alphabet,
344,1,,,
345,0,Williams 1920: 68,,
346,1,Brondsted 1960: 163,,
347,0,,?,
348,0,Keyser 1854: 140,(-); 12 mo. divided into 5 day periods,
349,1,"Du Chaillu 1889, vol. 1: 517",,
350,1,Williams 1920: 358,,
351,0,,?,
352,1,Williams 1920: 160,"mead, ale",
353,0,,(-),
354,1,,,
