Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,"Herskovits 1938, vol. 1: 31",,
005,1,"Herskovits 1938, vol. 1: 30",hoe [underlined],
006,0,,,
007,1,,,
008,1,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,"Herskovits 1938, vol. 2: 4",(+),
015,1,,reverts to sib,
016,0,,(-),
017,0,,(-),
018,0,"Herskovits 1938, vol. 1: 73",,
019,0,,,
020,1,,,
021,1,,,
022,1,,palm groves,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,"(horses were occasionally reported by early travelers, but were very rare)",
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,1,,,
034,1,,(+); Abomey and Whydah (?),
035,0,,"(-); 10,000 residents [underlined]",
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,1,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,,,
055,1,,beaten earth [underlined],
056,0,,,
057,1,,,
058,0,,(-),
059,0,,(-),
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,"Herskovits 1938, vol. 2: 363",,
084,1,"Herskovits 1938, vol. 2: 4",(+),
085,0,,but all inheritance of property is supervised by king’s officials,
086,1,,,
087,1,,,
088,1,,,
089,1,,,
090,1,,"Every Dahomean man must perform work in the fields as a member of his local work group (dokpwe), except that artisans attached to the Royal court are presumably exempt, + for full-time craft specialization seems justified anyway",
091,1,,,
092,1,,"Every Dahomean man must perform work in the fields as a member of his local work group (dokpwe), except that artisans attached to the Royal court are presumably exempt, + for full-time craft specialization seems justified anyway",
093,1,,,
094,1,,,
095,1,,brass and silver working,
096,1,,"Every Dahomean man must perform work in the fields as a member of his local work group (dokpwe), except that artisans attached to the Royal court are presumably exempt, + for full-time craft specialization seems justified anyway",
097,1,,"Every Dahomean man must perform work in the fields as a member of his local work group (dokpwe), except that artisans attached to the Royal court are presumably exempt, + for full-time craft specialization seems justified anyway",
098,0,,,
099,1,,cowry shells,
100,0,,(French coinage circulated even before conquest),
101,1,,(+),
102,0,,,
103,1,,,
104,0,,,
105,1,,,
106,0,"Herskovits 1938, vol. 1: 58",(-),
107,1,,,
108,0,,,
109,0,,,
110,1,,,
111,1,,,
112,1,,,
113,1,,,
114,1,,,
115,0,,,
116,1,,,
117,1,,(cowry shells),
118,1,"Herskovits 1938, vol. 1: 124",,
119,0,"Herskovits 1938, vol. 1: 124",(-); charges made on inter-distinct transportation of pepper,
120,0,,,
121,1,,,
122,1,,,
123,1,,,
124,1,,,
125,1,,,
126,1,,,
127,1,,,
128,1,,,
129,1,,,
130,1,"Herskovits 1938, vol. 1: 107",,
131,1,,,
132,1,,,
133,0,,,
134,1,,,
135,1,,,
136,0,,,
137,0,,,
138,0,,(-),
139,1,,,
140,1,,,
141,0,,,
142,1,,,
143,1,,,
144,1,,,
145,1,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,1,,,
152,1,,,
153,1,,,
154,1,,,
155,1,,"district, province .. kingdom [underlined]",
156,0,,,
157,1,,,
158,1,,minister of agriculture [underlined],
159,0,,,
160,1,"Herskovits 1938, vol. 1: 67",,
161,1,,,
162,1,,,
163,0,,,
164,0,,,
165,1,,,
166,1,,,
167,1,,,
168,1,,,
169,1,,,
170,1,,,
171,1,,2000+!,
172,1,,,
173,1,,,
174,1,,,
175,1,,,
176,1,,,
177,1,,,
178,1,,,
179,0,,(-),
180,1,,,
181,1,"Herskovits 1938, vol. 1: 68-69",,
182,1,,,
183,0,,,
184,1,,,
185,1,,,
186,1,,,
187,0,,(-),
188,1,,,
189,1,,,
190,1,,(+),
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,,,
198,1,,,
199,1,,,
200,1,,,
201,1,,,
202,1,,,
203,0,,,
204,0,,(-),
205,1,,,
206,1,,,
207,1,,,
208,1,,,
209,1,,,
210,1,,,
211,1,,,
212,0,,,
213,0,,,
214,1,,,
215,1,,,
216,1,,,
217,0,,,
218,1,,,
219,1,,,
220,1,,,
221,1,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,1,,,
227,1,,,
228,1,,,
229,0,,,
230,0,,,
231,1,,,
232,0,,,
233,1,,(+),
234,1,,,
235,1,,,
236,1,,,
237,1,,,
238,1,,,
239,0,,(-),
240,1,,,
241,1,,,
242,1,,,
243,0,,,
244,1,,,
245,1,,,
246,0,,,
247,0,,divination by casting lots,
248,0,,,
249,1,,,
250,1,,,
251,1,,,
252,1,,,
253,1,,,
254,1,,"especially by the king, to his ancestors",
255,1,,,
256,1,,,
257,1,"Herskovits 1938, vol. 1: 102",,
258,1,,,
259,1,,higher priests [underlined],
260,1,,,
261,1,,,
262,1,,,
263,1,,,
264,0,,,
265,1,,,
266,1,,,
267,0,,,
268,0,,,
269,1,,,
270,0,,,
271,1,,each major cult has its own training organization,
272,0,,,
273,0,,,
274,0,,,
275,0,,(-),
276,0,,,
277,1,,,
278,1,,,
279,1,,,
280,0,,,
281,0,,,
282,1,,,
283,0,,,
284,1,,,
285,0,,,
286,0,,(-),
287,0,,,
288,0,,,
289,0,,bas reliefs in clay an indication of rank,
290,1,,,
291,0,,,
292,0,,,
293,0,,(-),
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,(-),
299,1,,,
300,1,,,
301,0,,,
302,1,,,
303,1,,,
304,0,,,
305,1,,,
306,1,,,
307,1,,,
308,1,,not practiced recently because it is more economical to use European scrap iron,
309,1,,,
310,0,,(-),
311,1,,,
312,1,,,
313,0,,(-),
314,0,,"(-); brass-casting is very old, but the metal may always have been imported, from Benin or elsewhere",
315,1,,,
316,1,,,
317,1,,(+),
318,1,,,
319,1,,,
320,0,,,
321,0,,,
322,1,,,
323,1,,,
324,1,,,
325,1,,,
326,0,,,
327,1,,,
328,1,,"(+); No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
329,0,,No data in Herskovits,
330,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
331,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
332,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
333,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
334,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
335,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
336,0,,"No data in Herskovits; before conquering Whydah (1726), Dahomey was land-locked and without major waterways",
337,1,,,
338,0,,,
339,1,,,
340,0,,(-),
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,1,,,
347,0,,,
348,0,,,
349,1,,,
350,0,,,
351,0,,,
352,1,,,
353,1,,,
354,0,,,
