Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Bowdich 1819: 325,,
005,1,,hoe [underlined],
006,0,,,
007,0,,(-),
008,0,,(-),
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,Bowdich 1819: 325,,
015,1,Rattray 1923: 221,,
016,0,,,
017,0,,,
018,0,Rattray 1923: 215,(-),
019,0,,,
020,1,,,
021,1,,,
022,1,Rattray 1929: 301,(+),
023,1,,,
024,1,,,
025,0,,(-),
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,1,,,
034,1,Bowdich 1819:  323,,
035,1,Bowdich 1819: 323-324,"10,000 [underlined]",
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,1,Bowdich 1819: 309,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,(-),
055,0,,,
056,0,,,
057,1,,,
058,1,Rattray 1929: 57,,
059,1,Bowdich 1819: 306,,
060,0,,,
061,1,,,
062,0,,,
063,0,,,
064,0,Bowdich 1819: 303-304,clay on pole foundations,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,Bowdich 1819: 305,,
075,0,,,
076,1,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,,,
084,1,"Rattray 1923: 222,231",,
085,0,,,
086,1,,,
087,1,Rattray 1923: 238-239,,
088,1,,,
089,1,,gold ornaments,
090,1,,,
091,1,,,
092,1,Rattray 1923: 301,goldsmiths,
093,0,,(-),
094,1,Rattray 1927: 310; Rattray 1923: 301,,
095,1,Rattray 1929: 112,restricts private mining [underlined]; gold mining,
096,1,Rattray 1927: 310,,
097,1,,,
098,0,,,
099,1,,"cowries, formerly ""iron money"" (?), gold dust",
100,0,,,
101,1,Rattray 1923: 233,,
102,1,Rattray 1923: 225-226,,
103,0,,,
104,0,,,
105,1,,,
106,1,Bowdich 1819: 324,,
107,1,Rattray 1929: 111,,
108,1,Rattray 1923: 236,verbal contracts,
109,0,,,
110,1,Rattray 1929: 117,pebbles [underlined]; cowrie shells,
111,1,Rattray 1929: 118,,
112,1,,,
113,1,,,
114,1,Rattray 1929: 109,,
115,0,,,
116,1,,,
117,1,,(gold dust),
118,0,,?; (excluding local chiefs),
119,1,Rattray 1929: 110; Tordoff 1962,,
120,0,,,
121,1,,,
122,1,,,
123,1,,,
124,1,,,
125,1,Rattray 1923: 45ff,"ntoro – patr., exogamous",
126,1,,,
127,1,,,
128,0,,,
129,1,Rattray 1927: 234-235,,
130,1,Rattray 1923: 301,adornment [underlined],
131,1,,,
132,1,,,
133,0,,,
134,1,,,
135,1,,,
136,0,,(-),
137,0,,(-),
138,0,,(-),
139,1,,,
140,1,Rattray 1927: 149-150,,
141,0,,(-),
142,0,,(-),
143,1,,,
144,1,,,
145,1,,,
146,0,,,
147,1,,,
148,1,,,
149,1,Rattray 1923: 81; Tordoff 1962: 399-400,Queen mother (Rattray 1923: 81),
150,1,,,
151,1,,,
152,1,Rattray 1923: 224,Coomassie,
153,0,,(-),
154,1,Tordoff 1962: 403,,
155,1,Rattray 1929: 2,,
156,0,,,
157,0,,,
158,0,,,
159,1,Bowdich 1819: 252,,
160,1,Tordoff 1962: 409,,
161,1,Rattray 1929: 2,,
162,1,Tordoff 1962: 409,,
163,0,,,
164,0,,,
165,1,Rattray 1923: 82,,
166,1,Tordoff 1962: 403,,
167,1,Rattray 1923: 221,,
168,1,Rattray 1923: 82,,
169,0,,(-),
170,1,,,
171,1,Bowdich 1819: 290,"300, according to Bowdich (1819: 290)",
172,1,Rattray 1923: 83,,
173,1,Rattray 1929: 122,,
174,1,Rattray 1923: 103,,
175,1,Rattray 1929: 55ff,,
176,0,,(-),
177,1,Rattray 1923: 82,,
178,1,Rattray 1923: 82,,
179,0,,(-),
180,1,Rattray 1923: 103-104,,
181,1,Rattray 1923: 82,,
182,1,Rattray 1927: ch. XII,,
183,0,,,
184,1,,,
185,1,Rattray 1923: 133,,
186,1,Rattray 1923: 134,,
187,0,Bowdich 1819: 284,(-); bones preserved in brass pot,
188,1,Rattray 1923: 92,,
189,1,Tordoff 1962: 402,,
190,1,Rattray 1929: 135,,
191,1,Bowdich 1819: 294,(?),
192,1,Bowdich 1819: 295,(+),
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,,,
198,0,,,
199,0,,,
200,1,,,
201,1,Rattray 1929: 139,,
202,1,Tordoff 1962: 410,,
203,0,,,
204,1,,(+); chiefs exempt from capital punishment at one time,
205,1,,,
206,1,,,
207,1,Rattray 1923: 227,only for capital offenses,
208,1,,,
209,1,Rattray 1929: 289,,
210,1,Rattray 1923: 131,,
211,0,,(-),
212,0,,(-),
213,0,,(-),
214,1,,,
215,1,Rattray 1929: 120,,
216,0,,,
217,0,,,
218,0,,(-),
219,1,Tordoff 1962: 405,,
220,1,Rattray 1929: 123,,
221,0,,,
222,0,,,
223,0,,(-),
224,0,,,
225,1,,,
226,1,Tordoff 1962: 400,but these described are post-contact,
227,1,Rattray 1929: 122,,
228,1,Tordoff 1962: 400,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,,(+),
234,1,Rattray 1923: 221,,
235,1,Bowdich 1819: 295,,
236,1,Bowdich 1819: 299,,
237,1,,,
238,0,,,
239,0,,(-),
240,1,,,
241,1,,,
242,1,Tordoff 1962: 402,,
243,1,Tordoff 1962: 407,(+); Periodic [underlined] - ?,
244,0,,,
245,1,,,
246,0,,,
247,1,Rattray 1923: 190,,
248,0,,,
249,0,,,
250,1,,,
251,1,"Rattray 1923: 117,141",(+) ?,
252,1,Rattray 1923: 141,,
253,1,Rattray 1923: 51,(ntoro),
254,1,Rattray 1923: 100,,
255,1,"Rattray 1923: 58,116",,
256,1,,,
257,1,,,
258,1,,,
259,1,Rattray 1923: 47,higher priests [underlined],
260,1,,(+); interpreters of oracles [underlined],
261,1,,,
262,1,,,
263,0,,(-),
264,0,,,
265,1,,priestesses [underlined],
266,1,,,
267,0,,,
268,0,,(-),
269,1,Rattray 1923: 185,,
270,0,,,
271,0,,"not a school, but a rigorous 3 yr. novitiate",
272,1,Rattray 1927: 40-48,especially as novices,
273,0,,,
274,0,,,
275,1,,(+),
276,0,,,
277,1,,,
278,0,,(-),
279,1,Rattray 1927: 301,,
280,0,,,
281,0,,,
282,0,,,
283,0,Rattray 1927: 301,,
284,1,Rattray 1927: 301-302,,
285,0,,(-),
286,1,Rattray 1927: fig. 251,,
287,0,,(-),
288,0,,,
289,1,Rattray 1923: 184,Reliefs [underlined],
290,1,Rattray 1923: 184,,
291,0,,,
292,0,,,
293,1,Rattray 1923: 328,,
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,1,Rattray 1923: 305,,
299,1,Rattray 1927: 221,,
300,1,,,
301,0,,"silk [underlined]; silk obtained from Dutch, unravelled and re-woven",
302,1,,,
303,1,,,
304,1,Rattray 1927: 304,,
305,1,,,
306,1,,,
307,1,,,
308,1,,,
309,1,Rattray 1923: 307,,
310,1,,(+),
311,1,,,
312,1,Rattray 1923: 324-325; Rattray 1927: 309-310,(+),
313,1,Bowdich 1819: 312,,
314,1,Bowdich 1819: 312,,
315,1,Rattray 1923: 306-307,,
316,1,Rattray 1923: 306-307,,
317,1,,(+),
318,0,,(-),
319,1,Rattray 1927: 310,,
320,0,,,
321,1,,,
322,0,,,
323,1,,,
324,1,,,
325,1,,,
326,0,,,
327,1,,,
328,1,Rattray 1923: 62,,
329,0,Rattray 1923: 62,(-),
330,0,Rattray 1923: 62,,
331,1,Rattray 1923: 62,(+),
332,0,Rattray 1923: 62,(-),
333,0,Rattray 1923: 62,,
334,0,Rattray 1923: 62,,
335,0,Rattray 1923: 62,,
336,0,Rattray 1923: 62,,
337,1,Rattray 1927: 165,,
338,1,Rattray 1923: 303-304,,
339,1,,,
340,0,,(-),
341,0,,(-),
342,0,,,
343,0,,,
344,0,,,
345,0,,(-),
346,1,,(+),
347,0,,(-),
348,0,,,
349,0,,,
350,0,,(-),
351,0,,,
352,1,Rattray 1927: 314,,
353,0,,(-),
354,0,,(-),
