Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Roscoe 1911: 428,planting in rows [underlined],
005,1,,hoe [underlined],
006,0,,,
007,1,,,
008,0,Roscoe 1911: 433,"alternation of potatoes and semsem ""not (for) rotation of crops"", but because semsem requires weed-free land",
009,1,,,
010,0,,,
011,0,,,
012,0,,,
013,1,,,
014,1,,,
015,1,Roscoe 1911: 268,,
016,0,,,
017,1,,,
018,0,,,
019,0,,,
020,1,,,
021,1,,,
022,1,,plantains,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,1,,only the capital,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,1,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,,high woven-matting fence around capital,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,Roscoe 1911: 406,(+); ivory-carvers; canoe and shield makers; cf. (Roscoe 1911: 406),
084,0,,all land the King’s,
085,0,,,
086,1,,,
087,0,,,
088,1,,,
089,1,,,
090,1,,,
091,1,,,
092,1,,,
093,1,,for the king only,
094,0,,,
095,0,,,
096,1,"Roscoe 1911: 382,399,409",,
097,1,Roscoe 1911: 258,,
098,0,,,
099,1,Roscoe 1911: 456-457,"cow, cowry shell; blue bead; ivory disc",
100,0,,,
101,0,,,
102,0,,"sub-infeudation, all land ultimately the King’s",
103,0,Roscoe 1911: 452,illegal to trade outside marketplaces,
104,0,,,
105,1,,,
106,1,,,
107,1,,,
108,0,,,
109,0,,,
110,1,,,
111,1,,,
112,1,,,
113,1,,,
114,0,,,
115,0,,,
116,1,,,
117,1,,cowry shells,
118,1,,,
119,0,Roscoe 1911: 204,only outside the king’s gate,
120,0,,,
121,1,,,
122,1,,,
123,1,,,
124,1,,,
125,1,,,
126,1,,,
127,1,,"kings ... commoners, slaves [underlined]",
128,0,,,
129,1,Roscoe 1911: 442,not highly developed,
130,0,,,
131,1,,,
132,1,,,
133,0,,,
134,1,,,
135,1,,,
136,0,,,
137,0,,,
138,1,Roscoe 1911: 35,,
139,1,,,
140,0,,,
141,0,,,
142,1,,,
143,1,,,
144,1,,,
145,1,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,1,,,
152,1,,,
153,1,Roscoe 1911: 233,local chiefs [underlined],
154,1,,,
155,1,,,
156,0,,,
157,0,,,
158,0,,,
159,1,,,
160,1,,,
161,1,,,
162,1,Roscoe 1911: 209,,
163,0,,,
164,0,,,
165,1,,,
166,1,,,
167,1,,,
168,1,,,
169,1,Roscoe 1911: 271,,
170,1,,,
171,1,,,
172,0,,,
173,1,,,
174,1,,,
175,1,,,
176,1,,,
177,1,,,
178,1,,,
179,0,,(-),
180,1,,,
181,1,Roscoe 1911: 199,(+),
182,1,Roscoe 1911: 298,,
183,1,,,
184,0,Roscoe 1911: 283,,
185,1,,,
186,1,Roscoe 1911: 106-107,,
187,1,,,
188,1,,,
189,1,,,
190,0,,(-),
191,0,,,
192,1,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,,,
198,1,,,
199,1,,,
200,1,,,
201,1,,,
202,0,,"(-); he virtually a law unto himself, but there is no evidence that general laws were promulgated by him",
203,0,,,
204,0,,(slaves),
205,1,,,
206,1,,,
207,1,,,
208,1,,,
209,1,,,
210,1,,,
211,1,,,
212,0,,,
213,1,,stocks [underlined],
214,1,,"[for pre-Mutesa period, i.e. before 1854]",
215,0,Roscoe 1911: 348,"chosen ad hoc with advice of war gods; [for pre-Mutesa period, i.e. before 1854]",
216,0,,"King Mutesa (1854-1884) instituted a standing army with professional officers. Roscoe makes no comment on the extent of stimulus from European contacts, but to minimize diffused traits this is scored for the period pre-Mutesa",
217,0,,"King Mutesa (1854-1884) instituted a standing army with professional officers. Roscoe makes no comment on the extent of stimulus from European contacts, but to minimize diffused traits this is scored for the period pre-Mutesa",
218,0,,"King Mutesa (1854-1884) instituted a standing army with professional officers. Roscoe makes no comment on the extent of stimulus from European contacts, but to minimize diffused traits this is scored for the period pre-Mutesa",
219,1,,"[for pre-Mutesa period, i.e. before 1854]",
220,1,,"[for pre-Mutesa period, i.e. before 1854]",
221,0,,"King Mutesa (1854-1884) instituted a standing army with professional officers. Roscoe makes no comment on the extent of stimulus from European contacts, but to minimize diffused traits this is scored for the period pre-Mutesa",
222,0,,"[for pre-Mutesa period, i.e. before 1854]",
223,0,,"[for pre-Mutesa period, i.e. before 1854]",
224,0,,"[for pre-Mutesa period, i.e. before 1854]",
225,1,,"[for pre-Mutesa period, i.e. before 1854]",
226,1,,"reserve [underlined]; [for pre-Mutesa period, i.e. before 1854]",
227,1,,"fetishes; [for pre-Mutesa period, i.e. before 1854]",
228,1,,"Bahima troops are bowmen; others fight with spears; [for pre-Mutesa period, i.e. before 1854]",
229,0,,"[for pre-Mutesa period, i.e. before 1854]",
230,0,,"[for pre-Mutesa period, i.e. before 1854]",
231,0,,"[for pre-Mutesa period, i.e. before 1854]",
232,0,,"[for pre-Mutesa period, i.e. before 1854]",
233,1,,"[for pre-Mutesa period, i.e. before 1854]",
234,1,,"[for pre-Mutesa period, i.e. before 1854]",
235,1,Roscoe 1911: 357,"[for pre-Mutesa period, i.e. before 1854]",
236,0,,"[for pre-Mutesa period, i.e. before 1854]",
237,1,,"[for pre-Mutesa period, i.e. before 1854]",
238,1,,"[for pre-Mutesa period, i.e. before 1854]",
239,0,,"[for pre-Mutesa period, i.e. before 1854]",
240,1,,"[for pre-Mutesa period, i.e. before 1854]",
241,1,,"[for pre-Mutesa period, i.e. before 1854]",
242,1,,"[for pre-Mutesa period, i.e. before 1854]",
243,0,,"[for pre-Mutesa period, i.e. before 1854]",
244,1,,"[for pre-Mutesa period, i.e. before 1854]",
245,1,,,
246,1,Roscoe 1911: 312,god of hunters [underlined],
247,1,,,
248,0,,,
249,0,,,
250,1,,,
251,1,,,
252,0,,,
253,1,,,
254,1,,,
255,1,,,
256,1,,,
257,1,,,
258,1,,,
259,1,,,
260,1,,interpreters of oracles [underlined],
261,1,,,
262,1,,,
263,1,,,
264,1,,,
265,1,,,
266,1,,,
267,0,,,
268,0,,,
269,1,,,
270,0,,,
271,0,,,
272,1,,,
273,0,,,
274,1,,Bubembe,
275,1,,,
276,0,,,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,1,,,
284,1,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,1,,,
307,1,,,
308,1,,,
309,1,,,
310,0,,,
311,0,,,
312,1,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,0,,,
318,1,,riveting [underlined],
319,1,,,
320,0,,,
321,0,,,
322,1,,,
323,1,,,
324,0,,,
325,1,,,
326,0,,,
327,1,,,
328,1,,,
329,1,,,
330,0,,,
331,0,,,
332,0,,,
333,1,,,
334,1,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,1,,,
340,1,,"""10%"" calculated frequently",
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,(-),
346,1,,,
347,0,,,
348,0,,,
349,1,,,
350,1,,,
351,0,,,
352,1,,,
353,1,,,
354,0,,,
