Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,,,
005,1,,,
006,0,,,
007,0,,,
008,0,,?,
009,1,,,
010,0,,,
011,1,,,
012,1,,,
013,1,,,
014,0,,,
015,1,,,
016,0,,,
017,1,,,
018,1,,,
019,0,,,
020,1,,,
021,1,,,
022,1,,,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,,
031,1,,(?); Marquesan settlement pattern = house cluster (extended families) with population of perhaps 40-50 people. These clusters in close proximity in valleys populated by several thousand people,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,1,,(+) ?,
045,0,,,
046,1,,,
047,1,,,
048,1,,,
049,1,,,
050,1,,,
051,1,,(high prestige females only),
052,1,,,
053,0,,,
054,1,,,
055,1,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,1,,,
061,1,,,
062,0,,,
063,0,,,
064,0,,,
065,1,,,
066,1,,,
067,1,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,1,,,
078,0,,,
079,1,,,
080,1,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,1,,,
088,1,,cf. [trait] 132,
089,1,,,
090,1,,,
091,1,,,
092,1,,,
093,1,,,
094,1,,,
095,0,,,
096,0,,,
097,1,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,1,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,,,
114,0,,,
115,0,,,
116,1,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,1,,,
127,0,,?,
128,0,,,
129,1,,,
130,0,,,
131,1,,,
132,1,,,
133,0,,,
134,1,,,
135,0,,,
136,0,,,
137,0,,,
138,1,,(+); a part-time group (ka'ioi) performed during tribal festivities,
139,1,,,
140,1,,,
141,0,,,
142,1,,,
143,1,,,
144,1,,,
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,1,,,
167,1,,,
168,1,,,
169,0,,,
170,1,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,1,,,
176,0,,,
177,1,,,
178,1,,,
179,0,,,
180,1,,,
181,0,,,
182,1,,,
183,0,,,
184,1,,,
185,1,,see [trait] 142,
186,0,,,
187,0,,,
188,1,,,
189,1,,,
190,1,,,
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,Machinery exists but not always successful,
196,0,,"not ""customary"" but does occur",
197,0,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,1,,,
205,0,,,
206,0,,,
207,0,,,
208,1,,,
209,0,,,
210,0,,,
211,1,,(+),
212,0,,,
213,0,,,
214,1,,,
215,1,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,(-),
232,0,,,
233,1,,,
234,1,,,
235,1,,,
236,1,,,
237,1,,,
238,1,,,
239,1,,,
240,1,,,
241,1,,,
242,1,,,
243,0,,,
244,1,,,
245,1,,,
246,1,,,
247,1,,,
248,0,,,
249,0,,,
250,1,,,
251,0,,,
252,1,,,
253,1,,,
254,1,,,
255,1,,,
256,1,,,
257,1,,,
258,1,,,
259,0,,,
260,1,,,
261,1,,,
262,1,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,1,,,
268,0,,,
269,1,,,
270,0,,,
271,1,,,
272,1,,,
273,0,,,
274,1,,,
275,0,,,
276,0,,,
277,0,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,1,,,
288,1,,,
289,1,,,
290,0,,,
291,0,,,
292,0,,,
293,1,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,0,,,
307,0,,,
308,0,,,
309,0,,,
310,0,,,
311,0,,,
312,0,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,0,,,
318,0,,,
319,0,,,
320,0,,,
321,0,,,
322,0,,,
323,0,,,
324,0,,,
325,0,,,
326,0,,,
327,0,,,
328,1,,,
329,1,,,
330,0,,,
331,1,,,
332,1,,,
333,0,,,
334,1,,,
335,1,,,
336,1,,,
337,0,,,
338,0,,,
339,1,,,
340,0,,,
341,1,,,
342,0,,,
343,0,,,
344,0,,,
345,1,,,
346,1,,,
347,1,,,
348,0,,,
349,0,,,
350,1,,,
351,0,,,
352,1,,,
353,0,,,
354,1,,,
