Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Handy 1930: 21,,
005,0,,,
006,0,,,
007,1,Service 1958: 248,,
008,0,,,
009,1,Handy 1930: 20,terracing [underlined],
010,0,,,
011,1,,,
012,0,,,
013,1,,,
014,1,Handy 1930: 50,,
015,0,"Williamson 1924, vol. 3: 272",,
016,0,,,
017,0,,,
018,0,"Williamson 1924, vol. 3: 327",(-),
019,0,,(-),
020,1,,,
021,1,,(+),
022,1,"Williamson 1924, vol. 3: 328",,
023,1,,,
024,1,,pig and chicken,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,0,,(-); can find no account of settlement pattern,
030,0,,(-); can find no account of settlement pattern,
031,1,,(+); can find no account of settlement pattern,
032,0,,(-); can find no account of settlement pattern,
033,0,,(-),
034,0,,(-),
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,1,Emory 1933: 12,paved Marae floors sometimes,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,Handy 1930: 19,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,Henry 1928: 316,,
055,1,Emory 1933: 45,,
056,0,Emory 1933: 45,,
057,1,,(+),
058,0,"Ellis 1831, vol. 1: 141",,
059,0,,,
060,1,Emory 1933: 8-9,,
061,1,Emory 1933: 44,,
062,0,,,
063,0,,,
064,1,,pyramid [underlined] - step pyramid,
065,1,,"(+); They had great limestone megaliths that must, I think, have been quarried",
066,1,Emory 1933,Illustrated in Emory 1933,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,1,Williamson 1939: 28,,
080,0,,,
081,0,,,
082,0,,,
083,0,,(-),
084,1,,,
085,0,,,
086,1,,,
087,1,"Handy 1930: 51; Ellis 1831, vol. 3: 115",,
088,1,,,
089,1,,,
090,1,,,
091,1,,,
092,0,,(-),
093,0,Henry 1928: 287,(-); Full-time [underlined]; tattooer [underlined],
094,0,,,
095,0,,,
096,1,Handy 1930: 35,,
097,1,"Williamson 1924, vol. 3: 355",occasional,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,Service 1958: 253,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,(-),
112,1,,,
113,1,,,
114,0,,,
115,0,,,
116,1,"Williamson 1924, vol. 3: 353ff","(+); highly irregular – cf. Williamson (1924, vol. 3: 353ff)",
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,"Ellis 1831, vol. 3: 95",,
122,0,,,
123,0,,(-),
124,1,Handy 1930: 61,Arioi society,
125,1,Williamson 1937: 280,,
126,1,,,
127,1,Henry 1928: 229,,
128,1,Henry 1928: 229,,
129,1,Henry 1928: 229,,
130,0,,,
131,1,Henry 1928: 229,,
132,1,Henry 1928: 229,,
133,0,,,
134,1,Henry 1928: 229,,
135,1,Henry 1928: 285,(+),
136,0,,,
137,1,Handy 1930: 59,,
138,0,,,
139,1,,,
140,0,,(-),
141,0,,,
142,1,Emory 1933: 13,(+); cist graves [underlined],
143,1,,,
144,1,Handy 1930: 68,"(+); Handy (1930: 68) says that Tahiti had 3 great divisions, each subdivided into several politically autonymous districts. ""It was only traditionally, socially, and in war, that the great divisions evidenced solidarity."" But before contact, we know that Pomare I had made conquests in other districts",
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,Handy 1930: 35,,
150,1,,,
151,1,,,
152,0,,(-),
153,0,,these officials are hereditary chiefs,
154,0,,hereditary,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,1,"Williamson 1924, vol. 3: 50",,
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,1,"Williamson 1924, vol. 3: 211","only in cases of banishment for treason, rebellion, etc.",
167,1,,(+),
168,1,,,
169,1,Williamson 1937: 257,consecrates temple,
170,1,Handy 1930: 35,,
171,1,Williamson 1939: 181,(+),
172,0,,,
173,0,,,
174,0,,,
175,1,"Ellis 1831, vol. 1: 142",,
176,1,"Williamson 1924, vol. 3: 353",,
177,1,Handy 1930: 32,,
178,1,Handy 1930: 35,,
179,1,,(+); chief’s messengers carried broad coconut (?) leaves as symbols of being on royal business,
180,1,"Williamson 1924, vol. 3: 77ff",,
181,0,,(-),
182,1,"Williamson 1924, vol. 3: 61ff",,
183,1,,,
184,0,,(-),
185,1,,,
186,0,,(-),
187,1,Handy 1930: 30,,
188,1,Handy 1930: 33,,
189,1,,,
190,1,Henry 1928: 297,,
191,0,,,
192,0,,,
193,0,Henry 1928: 154,(-); but cf Henry (1928: 154),
194,1,"Williamson 1924, vol. 3: 16-24","(+) ?; Only crimes directly offending the chief (lese majeste, speaking disrespectfully of the administration) so punished. Other crimes answered also by the offended parties",
195,1,,,
196,1,,,
197,1,,,
198,0,,,
199,0,,,
200,1,"Williamson 1924, vol. 3: 16",,
201,1,,"(+); In view of his power as judge and since the offense is regarded as being against himself, I think he could do so",
202,0,,,
203,0,,,
204,0,,(-),
205,0,,,
206,0,,,
207,1,,implied by permanent banishment,
208,0,,,
209,0,,,
210,1,,,
211,0,,"on the contrary, there is a god of thieves",
212,0,,,
213,0,,,
214,1,Henry 1928: 297,,
215,0,,,
216,0,,,
217,0,,,
218,1,Henry 1928: 299,,
219,1,Williamson 1939: 3,(+); all men were soldiers if able-bodied,
220,0,,(-),
221,0,,,
222,0,,,
223,0,,(-),
224,1,Handy 1930: 52,,
225,1,Handy 1930: 54,,
226,1,Handy 1930: 55,,
227,1,Handy 1930: 56,,
228,1,Handy 1930: 56,,
229,0,,,
230,0,,,
231,1,Henry 1928: 316,,
232,0,,,
233,1,,(+),
234,1,,(+),
235,0,,,
236,1,Henry 1928: 55,,
237,1,,,
238,1,Henry 1928: 313,,
239,0,,(-),
240,1,Henry 1928: 315,,
241,1,Henry 1928: 315; Handy 1930: 82,(+); just before contact (Handy 1930: 82),
242,1,,,
243,1,,,
244,1,Handy 1930: 54,,
245,1,Handy 1930: 66,,
246,1,"Henry 1928: 179; Ellis 1831, vol. 3: 126; Williamson 1937: 181","Travelers are committed to Tane, god of beauty and fine weather (Henry 1928: 179); Hiro, God of thieves (Ellis 1831, vol. 3: 126); of healers (Williamson 1937: 181); of surgeons",
247,1,"Service 1958: 259; Ellis 1831, vol. 1: 285",,
248,0,,(-),
249,0,,,
250,1,,,
251,1,,Tanga’aroa,
252,1,Henry 1928: 125,,
253,1,,,
254,1,"Henry 1928: 124,196",These were obviously important,
255,1,"Henry 1928: 119,135",The Marae,
256,1,,,
257,1,Williamson 1937: 301,(+),
258,1,,,
259,1,Henry 1928: 155,,
260,0,,,
261,1,"Williamson 1924, vol. 3: 50",,
262,1,Henry 1928: 119ff,The Marae,
263,1,Henry 1928: 151,(+); priests and attendants,
264,0,,,
265,0,,,
266,0,,,
267,1,"Handy 1930: 35; Williamson 1924, vol. 3: 50",,
268,0,,,
269,1,,,
270,0,,,
271,1,Henry 1928: 154,,
272,0,,(-),
273,0,,,
274,0,Henry 1928: 119,"But NB the ""Internat’l Marae"" at Raiatea",
275,0,,,
276,0,Williamson 1937: 105,"no, but there are long chants which must be recited verbatim",
277,0,Service 1958: 248,"""No clay for pottery""",
278,0,Service 1958: 248,"""No clay for pottery""",
279,0,Service 1958: 248,"""No clay for pottery""",
280,0,Service 1958: 248,"""No clay for pottery""",
281,0,Service 1958: 248,"""No clay for pottery""",
282,0,Service 1958: 248,"""No clay for pottery""",
283,0,Service 1958: 248,"""No clay for pottery""",
284,0,Service 1958: 248,"""No clay for pottery""",
285,0,,(-),
286,0,Service 1958: 248,"""No clay for pottery""",
287,0,,,
288,0,,(-),
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,Service 1958: 248,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,0,Service 1958: 248,no metals on Tahiti,
307,0,Service 1958: 248,no metals on Tahiti,
308,0,Service 1958: 248,no metals on Tahiti,
309,0,Service 1958: 248,no metals on Tahiti,
310,0,Service 1958: 248,no metals on Tahiti,
311,0,Service 1958: 248,no metals on Tahiti,
312,0,Service 1958: 248,no metals on Tahiti,
313,0,Service 1958: 248,no metals on Tahiti,
314,0,Service 1958: 248,no metals on Tahiti,
315,0,Service 1958: 248,no metals on Tahiti,
316,0,Service 1958: 248,no metals on Tahiti,
317,0,Service 1958: 248,no metals on Tahiti,
318,0,Service 1958: 248,no metals on Tahiti,
319,0,Service 1958: 248,no metals on Tahiti,
320,0,Service 1958: 248,no metals on Tahiti,
321,0,Service 1958: 248,no metals on Tahiti,
322,0,Service 1958: 248,no metals on Tahiti,
323,0,Service 1958: 248,no metals on Tahiti,
324,0,Service 1958: 248,no metals on Tahiti,
325,0,Service 1958: 248,no metals on Tahiti,
326,0,,,
327,0,Service 1958: 248,no metals on Tahiti,
328,1,,,
329,1,"Service 1958: 249; Ellis 1831, vol. 1: 139",,
330,0,,,
331,1,"Service 1958: 249; Ellis 1831, vol. 1: 138",,
332,0,,,
333,1,Henry 1928: 21,,
334,1,,,
335,1,,(+),
336,1,,,
337,0,Service 1958: 250,,
338,0,,,
339,1,Henry 1928: 323,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,1,Henry 1928: 154,,
346,0,,(-),
347,0,,,
348,0,,,
349,0,,,
350,1,Henry 1928: 145; Williamson 1937: 18,,
351,0,,,
352,1,,kava,
353,0,,,
354,0,,,
