Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,Schwab 1947: 55,(+),
004,1,,,
005,1,Schwab 1947: 55,hoe [circled],
006,0,,,
007,0,"Schwab 1947: 55,57","wood ashes - ""which are recognized as being good for the crops""",
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,(-); Permanent [underlined]; dams built for fishing,
013,0,,,
014,0,Schwab 1947: 61,for animals,
015,1,,belongs to clan chief,
016,0,,,
017,0,,,
018,0,Schwab 1947: 67,"?; medicines used to [unreadable] success before the steps[?], but no mention of it for [unreadable] time. Because there are [unreadable] specialists",
019,0,,,
020,1,,,
021,0,,,
022,1,Schwab 1947: 58,banana,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,Schwab 1947: 31,,
031,1,,,
032,1,,,
033,1,Schwab 1947: 29,,
034,1,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,but towns are,
039,0,,,
040,0,,,
041,0,,(-),
042,0,,,
043,0,,,
044,0,Schwab 1947: 51-52,,
045,0,,hospitality in any house,
046,1,Schwab 1947: 37,,
047,0,,,
048,0,,(-); Stones on burials - but cairn-like,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,"Schwab 1947: 31,228",,
055,1,Schwab 1947: 228,,
056,0,,,
057,1,Schwab 1947: 147,(+),
058,0,,,
059,0,,lofts,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,Schwab 1947: 129,(+),
084,1,,,
085,0,,,
086,1,Schwab 1947: 420,,
087,1,,(+); Sometimes - inheritance is pretty well set by custom,
088,1,,,
089,1,,(+) ?,
090,1,,,
091,1,Schwab 1947: 121,significant [circled] - ?,
092,1,,,
093,1,,,
094,1,,cross clan + even[?] tribal lines,
095,0,,?,
096,0,,,
097,1,Schwab 1947: 170,,
098,1,,,
099,1,,irons,
100,0,,,
101,0,,?,
102,0,,?,
103,0,,(-),
104,0,,,
105,1,Schwab 1947: 67,,
106,0,,,
107,0,,?,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,,(+) ?; probably - for non-Kpelle,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,1,Schwab 1947: 166; Harley [?]: 346,"""serfs"" (Schwab 1947: 166)",
121,1,Schwab 1947: 164,,
122,0,,sold as bond servants - diff. from slaves,
123,1,,within [circled],
124,1,Schwab 1947: 24,,
125,1,Schwab 1947: 163,,
126,1,,,
127,1,,"chief; commoners, slaves [underlined]",
128,0,,?,
129,0,,?,
130,0,Schwab 1947: 111,?; wealth [circled] - or position?,
131,0,,?,
132,0,,?,
133,0,,,
134,1,,slaves or bondservants,
135,1,,?,
136,0,,,
137,0,,,
138,0,,?,
139,1,Schwab 1947: 247,,
140,0,,(-),
141,1,Schwab 1947: 164,,
142,0,,,
143,1,Schwab 1947: 168,,
144,0,,Districts or provinces [underlined],
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,0,,(-),
151,0,,,
152,0,,clan has a capital town,
153,0,,local chiefs [underlined],
154,0,,,
155,0,,,
156,0,,,
157,1,Schwab 1947: 168-169,,
158,0,,,
159,1,,,
160,1,,and appointed by him [crossed out],
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,hereditary,
166,1,,(+),
167,1,,slaves - after war,
168,1,,,
169,0,,they've got control over him - unless he is a high ranking member of the religious system,
170,1,,,
171,1,Schwab 1947: 33,,
172,0,,,
173,0,,,
174,0,,,
175,0,,?,
176,0,,,
177,1,,,
178,1,,,
179,1,Schwab 1947: 169,,
180,0,,?,
181,0,,?,
182,0,,?,
183,0,,,
184,0,,,
185,0,,,
186,1,Schwab 1947: 164,,
187,0,,,
188,0,,,
189,0,,,
190,1,Schwab 1947: 237,,
191,0,,,
192,1,,(+); training [circled]; in that they attend the central Poro - usually co-incident with the political head,
193,0,,,
194,1,Schwab 1947: 422,,
195,1,Schwab 1947: 418,,
196,1,,,
197,1,,,
198,1,,,
199,0,Schwab 1947: 426,(-),
200,1,,(+),
201,1,Schwab 1947: 171,,
202,0,,,
203,0,,,
204,0,,?,
205,1,Schwab 1947: 433,by custom,
206,1,,,
207,1,,,
208,1,,,
209,1,Harley [?]: 346,,
210,1,,,
211,1,,,
212,0,,,
213,1,,,
214,1,,altho it's about six of one + half a doz. of the other,
215,1,,,
216,1,Schwab 1947: 235,(+); Professional [underlined],
217,1,Schwab 1947: 235,(+),
218,0,,,
219,1,Schwab 1947: 235,"""All able-bodied males were required to go to war when necessary"" (Schwab 1947: 235)",
220,0,,,
221,0,,,
222,0,,,
223,0,,?,
224,0,,,
225,0,Schwab 1947: 228,only raids,
226,0,,,
227,0,,"drums, etc., as rallying pts., but no military units",
228,0,,,
229,0,,,
230,0,,only towns,
231,1,,,
232,0,,,
233,0,,?,
234,1,Schwab 1947: 239,,
235,1,,?,
236,0,,(-),
237,1,,,
238,1,,,
239,0,Schwab 1947: 239,(-),
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,,,
246,0,,,
247,0,Schwab 1947: 407,(-); priest [circled] - doesn't seem to be a real priest; priestess [circled] - just a woman,
248,0,,,
249,0,,,
250,0,,,
251,0,,no pantheon,
252,1,,(+); masks,
253,1,,,
254,1,,,
255,0,,offering generally made on medicines,
256,1,,,
257,0,,?,
258,1,,Zo's,
259,1,,,
260,1,,(+) ?; they are specialized in their more secular affairs,
261,0,,,
262,1,,Poro bush,
263,0,,this isn't permanently at the Poro,
264,0,,,
265,1,,"(+); wai - women who usually becomes a man, co-head of Poro",
266,1,,Poro cult,
267,1,,,
268,0,,,
269,1,,(+),
270,0,,,
271,0,,school [circled]; taught individually or by father,
272,0,,,
273,0,,live [circled] - NO,
274,0,,and associated buildings [underlined] - NO,
275,0,,only travelling to a distant Poro Bush to be initiated,
276,0,,,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,Schwab 1947: 129-131,"sculptors [underlined] - in wood perhaps; there may be professional woodworkers, who make everyday utensils and perhaps also cult masks, but no other type of non-utilitarian, representational carving is cited, and there is really no solid basis for scoring a + [presence] for this trait",
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,?,
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,?,
299,1,,,
300,1,,,
301,0,,,
302,1,,,
303,1,,weaving done only by men,
304,1,,,
305,0,,,
306,1,Schwab 1947: 138,,
307,0,,,
308,0,Schwab 1947: 136,"""smelting was never done by either Mano… The Mano obtained iron from the Kpelle."" (Schwab 1947: 136)",
309,1,Schwab 1947: 137,,
310,0,,mined - NO,
311,0,,mined [bracketed] - NO,
312,0,,mined [underlined] - NO; iron,
313,0,,(-); bronze,
314,0,,produced [underlined] - NO,
315,1,,,
316,1,,,
317,0,Schwab 1947: 138,,
318,1,Schwab 1947: 146,(+) ?,
319,0,,?,
320,0,,,
321,0,,ornaments,
322,1,,,
323,1,,"(+); arrow + spear heads, axes, but not pots",
324,1,Schwab 1947: 112,dilver from Mandingo,
325,1,,,
326,0,,,
327,1,,,
328,0,,rafts - w/ tow rope across river,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,?,
339,1,,,
340,0,,(-),
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,1,,in the Poro Bush - learn all secular subjects also from Zo's,
346,0,,?,
347,0,,,
348,0,,,
349,0,,,
350,1,Schwab 1947: 393,(+),
351,0,,,
352,0,Schwab 1947: 103,from oilpalm which grows everywhere,
353,0,,,
354,0,,,
