Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Stayt 1931: 34,,
003,1,Stayt 1931: 34,,
004,1,,(+),
005,1,Stayt 1931: 35,hoe .. footplow [underlined],
006,0,,,
007,0,,,
008,0,Stayt 1931: 34,,
009,1,,(+),
010,0,,,
011,1,Stayt 1931: 34,(+),
012,0,,,
013,0,,,
014,1,Stayt 1931: 35,,
015,1,,,
016,0,,,
017,0,,,
018,1,Stayt 1931: 202,,
019,0,,,
020,1,Stayt 1931: 75,mealies traded for iron ore,
021,0,,(-),
022,1,,,
023,1,,,
024,1,Stayt 1931: 37,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,(+),
030,0,,,
031,1,,,
032,0,Stayt 1931: 29,(-),
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,Stayt 1931: 31,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,Stayt 1931: 29,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,Stayt 1931: 53,(+),
084,0,,,
085,0,,,
086,1,Stayt 1931: 167,,
087,0,,,
088,1,,,
089,0,,,
090,1,,,
091,1,,,
092,1,,(+),
093,0,Stayt 1931: 40,"Cattle-slaughterer – hereditary, skilled, but probably not full-time",
094,0,,,
095,0,,,
096,1,Stayt 1931: 53,,
097,1,Stayt 1931: 217,,
098,0,,,
099,1,Stayt 1931: 61,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,Stayt 1931: 75,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,Stayt 1931: 75,,
113,1,,,
114,0,,,
115,0,,,
116,1,Stayt 1931: 217,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,Stayt 1931: 155ff,,
125,1,,,
126,1,,,
127,0,,,
128,0,,,
129,1,Stayt 1931: 26,,
130,0,,,
131,1,Stayt 1931: 31,,
132,1,,,
133,0,,,
134,1,,(+),
135,1,,,
136,0,,,
137,0,,,
138,0,,,
139,1,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,1,Stayt 1931: 214,,
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,0,,,
152,0,,(-); village,
153,0,,,
154,1,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,1,Stayt 1931:215,,
160,0,,,
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,1,Stayt 1931: 195,,
166,1,Stayt 1931: 198ff,(+),
167,1,,,
168,1,,,
169,0,,(-),
