Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Thomson 1908: 334,Fish a major staple,
003,1,,periods of fallow [underlined],
004,1,Williams and Calvert 1859: 47,"mounds .. rows, breaking of clods [underlined]",
005,1,Williams and Calvert 1859: 49,,
006,0,,,
007,0,,,
008,0,,,
009,1,,terracing,
010,1,Williams and Calvert 1859: 50,,
011,1,Williams and Calvert 1859: 47,,
012,0,,,
013,1,Williams and Calvert 1859: 47,,
014,1,,(+),
015,1,,(+),
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,Williams and Calvert 1859: 47,,
021,0,,(-),
022,1,Williams and Calvert 1859: 48,,
023,1,,,
024,1,Thomson 1908: 336,fowl and pig,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,0,,(-),
030,0,,,
031,1,,(+),
032,1,Thomson 1908: 62,(+),
033,0,,(-),
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,1,Williams and Calvert 1859: 72,NB; trading ground,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,Williams and Calvert 1859: 63,Temples,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,Williams and Calvert 1859: 37,,
055,1,Williams and Calvert 1859: 37,,
056,1,Williams and Calvert 1859: 37,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,1,Williams and Calvert 1859: 174,for the bure,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,Williams and Calvert 1859: 55,"(-); full-time [underlined]; ""carpenters constitute a caste"", But I don't think they were full-time.",
084,1,Thomson 1908: 357,,
085,0,,,
086,1,,,
087,1,,(+) ?,
088,1,,,
089,0,,,
090,1,Williams and Calvert 1859: 60,,
091,0,Williams and Calvert 1859: 60,"(-); ""little beyond the daily consumption""",
092,0,,(-); Full-time [underlined],
093,0,,,
094,0,,,
095,0,,,
096,1,,canoe-makers,
097,1,Williams and Calvert 1859: 30,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,a variety of goods [underlined],
106,0,,,
107,0,,,
