Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,0,,,
004,1,,breaking of clods [underlined?]; plowing [crossed out?],
005,1,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,"fences, rows or walls of stone [crossed out?]; sometimes paths",
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,,
021,0,,,
022,1,,,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,0,,some of 30-40 yrs.,
030,0,,,
031,1,,traditional average about 50 or so; range – 15 to 150-250,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,1,,,
087,0,,,
088,1,,,
089,0,,,
090,1,,,
091,1,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,1,,,
098,0,,,
099,1,,,
100,0,,,
101,1,,,
102,0,,,
103,1,,not full-time,
104,0,,,
105,1,,,
106,0,,every 4 days,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,(not clear); communities as units[?] = no,
113,1,,,
114,1,,king could + did [unreadable]; private trading parties,
115,0,,,
116,1,,not from land farmed for the state,
117,1,,,
118,1,,,
119,0,,,
120,0,,,
121,0,,,
122,1,,no wives and children; matril. nephews yes,
123,1,,,
124,1,,,
125,1,,,
126,1,,,
127,1,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,"but people do, in general",
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,1,,,
145,1,,centralized control [underlined] - needs defining,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,1,,,
152,0,,city or town [crossed out] - village yes,
153,0,,,
154,1,,,
155,1,,quarter [crossed out]; community -> sub-chieftainship -> chieftainship -> kingdom,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,0,,,
167,0,,,
168,1,,,
169,0,,,
170,1,,,
171,1,,,
172,0,,,
173,1,,,
174,0,,,
175,1,,,
176,0,,,
177,1,,,
178,1,,,
179,1,,,
180,1,,,
181,1,,,
182,0,,not he himself but his special “priest”,
183,0,,,
184,1,,?; inconsistent with [trait] 89? not necessarily,
185,1,,,
186,1,,"wives, concubines, retainers [underlined or crossed out?]",
187,0,,fingers + foot tendon kept,
188,0,,,
189,0,,,
190,1,,,
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,customarily [underlined]; both mechanisms present + fluctuated in importance,
197,1,,,
198,1,,,
199,1,,,
200,1,,,
201,1,,,
202,1,,,
203,0,,explicit [underlined] but not written; recorded [crossed out],
204,0,,,
205,1,,,
206,1,,,
207,1,,,
208,1,,,
209,1,,by terms at hard labor [crossed out],
210,1,,,
211,0,,gods [crossed out] - medicines,
212,1,,ideally; didn’t work too well,
213,1,,,
214,0,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,1,,or from sacrificed prisoners [crossed out],
237,0,,frequently [underlined] ?; may be taken,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,no war of this type,
243,0,,,
244,0,,God(s) [crossed out] - medicines yes,
245,0,,,
246,0,,Patron gods [crossed out]; lot of medicines for these things,
247,0,,god or spirit [crossed out] - medicine,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,0,,“Idols” – I don’t know what this means,
253,0,,supernatural beings [crossed out] - medicines yes,
254,0,,,
255,0,,medicines kept on platforms,
256,1,,,
257,0,,,
258,0,,not clear,
259,0,,not clear; medicine-men invested[?] by other medicine-men,
260,0,,priests [crossed out] - medicine-men yes,
261,0,,,
262,0,,No except for royal medicine-man taking care of royal ancestral cult that Raj [unreadable],
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,,,
278,0,,,
279,0,,clay pipes in animal/human shapes made,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,1,,for raphia cloth,
301,0,,,
302,1,,raphia,
303,1,,raphia,
304,0,,,
305,1,,but not full-time,
306,1,,,
307,1,,,
308,1,,,
309,1,,,
310,0,,,
311,0,,,
312,1,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,1,,,
318,0,,,
319,1,,"gilding, embossing, …, inlaying [crossed out]; engraving -> punching holes or depressions in a pattern",
320,1,,imported (pre-European),
321,0,,,
322,1,,,
323,1,,"predominant [underlined]; not clear – hoes, knives, axes, arrow points, yes",
324,0,,,
325,1,,e.g. decoration on shafts ceremonial axes,
326,0,,,
327,1,,not full-time,
328,1,,,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,1,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,,,
353,0,,,
354,0,,,
