Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Linton 1933: 37,(+),
003,0,,"slash and burn the dominant form – ""tavy""",
004,0,Linton 1933: 42,(tavy),
005,1,,spade [underlined],
006,0,,,
007,0,Linton 1933: 46,,
008,0,,,
009,1,,(+),
010,0,,,
011,1,Linton 1933: 37,(+); passing reference: no other is given,
012,0,,,
013,0,Linton 1933: 46,(-); rare; wet rice; not aboriginal,
014,0,Linton 1933: 43,(-); rare – only in areas of numerous wild pigs,
015,1,Linton 1933: 129,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,(+),
021,0,,(-),
022,1,Linton 1933: 46,Banana groves,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,Linton 1933: 136,(+),
030,0,,,
031,1,,,
032,0,Linton 1933: 135,(-); 50 to 80 families,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,Linton 1933: 124,,
045,0,,,
046,1,Linton 1933: 135,village assembly house,
047,0,,,
048,0,Linton 1933: 182-184,"memorial stones, of size appropriate to wealth of deceased, are dressed and raised but not marked for identification",
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,"Linton 1933: 128,135",palisades [underlined],
055,0,,,
056,0,,,
057,0,Linton 1933: 86,"one clan only, the Zafimaniry, imitating the Betsileo",
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,1,Linton 1933: 78,for memorial stones,
083,0,,,
084,1,Linton 1933: 129,Ikongo rice fields?,
085,0,,,
086,1,,(+),
087,0,Linton 1933: 130,,
088,1,,(+),
089,0,,(-),
090,1,,,
091,1,,,
092,1,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,Linton 1933: 125,,
100,0,,,
101,0,,,
102,0,,,
103,0,Linton 1933: 125,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,,(-),
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,,,
122,1,,,
123,1,,,
124,1,,,
125,1,Linton 1933: 133,patri-lineages,
126,1,,,
127,1,,"nobles, commoners, slaves [underlined]",
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,1,Linton 1933: 127,(+),
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,1,Linton 1933: 182,funerals,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,1,,,
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,(+),
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,appointed by him [underlined] - most influential of the gentile chiefs,
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,formal election [underlined],
166,0,Linton 1933: 153,,
167,0,,,
168,1,,,
169,0,,,
170,0,,,
171,0,,(-),
172,0,,,
173,0,,(-),
174,0,,,
175,1,Linton 1933: 151,(+),
176,0,,,
177,1,,,
178,1,,,
179,0,,,
180,1,,(+); carrying in a litter [underlined],
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,1,Linton 1933: 251,,
190,0,,(-),
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,,,
198,0,,,
199,0,,,
200,1,,,
201,0,,(-),
202,1,Linton 1933: 154,,
203,0,,,
204,0,,,
205,1,,,
206,1,,,
207,1,,,
208,1,,,
209,0,,,
210,1,,,
211,0,,(-),
212,0,,,
213,0,,,
214,1,,,
215,0,,,
216,0,,,
217,0,,,
218,1,Linton 1933: 251,,
219,1,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,Linton 1933: 251,appellations [underlined],
234,1,Linton 1933: 249,,
235,0,,,
236,0,,,
237,1,,,
238,0,,,
239,1,,,
240,1,,,
241,1,,,
242,1,Linton 1933: 251,,
243,0,,,
244,0,,,
245,1,,,
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,0,,,
255,1,Linton 1933: 191,,
256,1,,,
257,0,,(-),
258,1,,society-wide ancestral cults [underlined],
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,Linton 1933: 66,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,,,
294,1,Linton 1933: 83,axes [underlined],
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,1,,,
300,1,Linton 1933: 100,,
301,0,,"Tanala tradition identifies loom-weaving as a borrowed trait, from the Betsimisaraka. Formerly the Ikongo dressed in soft mats, the Menabe in bark cloth",
302,1,Linton 1933: 100,,
303,1,,,
304,0,,,
305,0,,(-),
306,1,,,
307,0,Linton 1933: 80,hematite pebbles picked from the soil,
308,1,Linton 1933: 80,,
309,1,Linton 1933: 80,"""Typically Malayan""",
310,0,Linton 1933: 80,,
311,0,,"no silver ore, but imported silver, apparently very old, is important in Tanala culture. Gold is found but ignored",
312,1,,mined [underlined],
313,0,,,
314,0,,,
315,0,Linton 1933: 82,,
316,0,,,
317,1,Linton 1933: 82,,
318,1,Linton 1933: 82,welding [underlined],
319,0,Linton 1933: 82-83,(-); twisting into spiral shape while iron is hot,
320,0,,,
321,0,,,
322,1,,,
323,0,,(-),
324,1,,silver [underlined],
325,1,,,
326,0,,,
327,1,,,
328,1,Linton 1933: 124,,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,1,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,Linton 1933: 75,,
353,0,,,
354,0,,,
