Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,0,,,
005,1,,,
006,0,,,
007,1,,"animal manure [underlined]; gardens only; esp. Tobacco, vegetables",
008,1,,,
009,1,,,
010,0,,,
011,1,,,
012,1,,,
013,1,,minimal,
014,1,,,
015,0,,,
016,0,,,
017,0,,,
018,1,,,
019,0,,,
020,1,,,
021,0,,,
022,0,,,
023,1,,,
024,1,,,
025,1,,,
026,0,,,
027,0,,,
028,1,,,
029,0,,,
030,0,,,
031,1,,(+) ?,
032,0,,(-) ?,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,cairns,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,1,,,
088,1,,,
089,0,,,
090,1,,,
091,1,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,1,,,
100,0,,,
101,1,,(cattle offspring),
102,1,,,
103,1,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,1,,(+); see [trait] 235,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,,
148,0,,,
149,1,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,1,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,1,,,
191,0,,,
192,0,,capital [circled]; (although youth cattle camps exist),
193,0,,,
194,0,,,
195,1,,state [underlined] - ?,
196,1,,,
197,1,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,recorded -> orally,
204,0,,,
205,1,,,
206,1,,,
207,1,,,
208,1,,"agent [underlined] - the agent being the councillors, members of the settlement, the aggrieved & his kin",
209,0,,,
210,1,,"agent [underlined] - the agent being the councillors, members of the settlement, the aggrieved & his kin",
211,0,,cf. [trait] 194,
212,0,,,
213,0,,,
214,1,,booty [circled] - cattle,
215,1,,,
216,0,,,
217,0,,,
218,1,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,1,,,
224,0,,,
225,0,,,
226,1,,,
227,0,,,
228,1,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,,,
234,0,,,
235,1,,cf. [trait] 126; social status [underlined] - but with no particular role in association [unreadable] status,
236,0,,,
237,0,,,
238,0,,,
239,1,,,
240,0,,,
241,0,,,
242,1,,,
243,0,,,
244,0,,,
245,1,,(+),
246,0,,,
247,1,,,
248,0,,,
249,1,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,0,,,
255,0,,,
256,1,,,
257,0,,,
258,1,,(+),
259,0,,,
260,1,,cf. [trait] 258,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,1,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,1,,,
276,0,,(magical + supplicatory formulae exist),
277,1,,,
278,0,,,
279,0,,"vessels [circled]; sorry! See [trait] 286; not vessels, but in effect terra cotta statues[?]",
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,1,,,
287,1,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,1,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,but not of local manufacture,
304,0,,,
305,0,,,
306,1,,,
307,1,,,
308,1,,,
309,1,,,
310,0,,,
311,0,,,
312,1,,,
313,0,,"don't know for sure, but likely not",
314,0,,"don't know for sure, but likely not",
315,1,,"(beads, labrets)",
316,0,,,
317,1,,"annealing accomplished but incidental to the handling of hot iron, which is plunge-cooled",
318,1,,,
319,1,,embossing [underlined],
320,0,,,
321,0,,,
322,1,,,
323,1,,,
324,0,,,
325,1,,decorative items for personal adornment,
326,0,,,
327,1,,,
328,0,,"(Baringo Pokot reported to have reed boats, but I suspect an origin from the Nyemps]",
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,1,,,
339,1,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,1,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,,,
353,0,,,
354,0,,,
