Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,,,
005,1,,,
006,0,,,
007,0,,,
008,0,,(-) ?,
009,1,,,
010,0,,,
011,1,,,
012,1,,,
013,0,,,
014,1,,,
015,1,,,
016,0,,(-); Most of the [Agricultural land] systematically [reapportioned from time to time…],
017,1,,,
018,1,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,some trees planted,
023,0,,"cattle, sheep, horses",
024,0,,,
025,0,,,
026,0,,horse drawn wagons,
027,0,,horses ridden,
028,1,,,
029,1,,,
030,1,,,
031,1,,,
032,1,,,
033,0,,,
034,0,,"""Colonies"" of Old Acoma - at least 2",
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,now,
043,0,,,
044,0,,"yes, a few - but due to US Gov",
045,0,,,
046,1,,,
047,0,,"a plaza, surrounded by houses",
048,0,,,
049,0,,,
050,0,,"They have natural cisterns, but not artificial",
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,1,,,
059,1,,,
060,1,,(+),
061,0,,,
062,1,,(+),
063,0,,,
064,0,,,
065,0,,,
066,1,,"(+) ?; yes, some use of stone in house walls",
067,1,,,
068,0,,,
069,0,,,
070,1,,Houses are plastered,
071,1,,Roofs w. beams covered w. earth[?],
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,1,,carved into living rock [underlined] - some,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,0,,,
088,0,,,
089,0,,,
090,1,,(+); cf. Driver,
091,1,,pottery[?] only,
092,0,,,
093,0,,political leader see [trait] no. 150,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,(-); They now use US money + have for a long time - spanish or US,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,0,,,
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,0,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,think - [minus] is ok; The A tribe lives in communities but all are Acoma,
144,0,,,
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,1,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,1,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,1,,?; am not sure about deposing,
167,0,,,
168,0,,,
169,1,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,1,,,
179,0,,,
180,0,,,
181,0,,,
182,1,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,0,,see [trait] 143,
197,1,,,
198,1,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,1,,sometimes,
207,0,,,
208,1,,occasionally,
209,0,,,
210,0,,openly [circled] - ?; People may be executed for witchcraft but don't know about openly,
211,0,,,
212,0,,,
213,0,,,
214,0,,,
215,1,,yes until about 1880,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,0,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,1,,up to 1880,
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,1,White 1932: 64,,
245,1,,,
246,1,White 1932: 64,of warriors,
247,0,,,
248,0,,,
249,1,,,
250,1,,,
251,1,,,
252,1,,I would say yes,
253,1,,,
254,0,,,
255,1,,,
256,1,,,
257,1,,,
258,1,,caciques,
259,1,,?; I think this could be yes,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,1,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,"The head priest-chief (cacique) fasts - but he is also called ""no different from another old man"" - in respect of deference to him or his own behaviour. His fasting is probably not extensive. ST",
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,,,
278,1,,,
279,1,,some,
280,0,,,
281,0,,,
282,0,,pottery is fired; not sure kiln is proper tho,
283,0,,,
284,0,,,
285,0,,,
286,1,,,
287,1,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,now; not aboriginally,
298,0,,,
299,1,,,
300,1,,(+); See Driver,
301,0,,wool [underlined]; This was done in 19th century,
302,1,,,
303,1,,,
304,1,,,
305,0,,,
306,0,,,
307,0,,,
308,0,,,
309,0,,,
310,0,,,
311,0,,,
312,0,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,0,,,
318,0,,,
319,0,,,
320,0,,,
321,0,,,
322,0,,"now, not formerly",
323,0,,"now, not formerly",
324,0,,"now, not formerly",
325,0,,,
326,1,,"?; yes, Turquoise",
327,0,,,
328,0,,,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,0,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,1,,"yes, for a long time",
347,1,,,
348,0,,,
349,0,,,
350,1,,(+) ?,
351,0,,,
352,0,,,
353,0,,,
354,0,,,
