Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,,,
002,0,Musil 1928: 90-93,"The Rwala do not themselves engage in cultivation, of course, but the cultivation of others provides a substantial part of their ""subsistence"", if you mean literally food: according to Musil (1928: 90-93), they consume a substantial amount of wheat or millet.",
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,"(-); This is a little difficult to be clear about in regard to the Rwala camel pastoralists. Musil and others (e.g. Raswan) have commented on the meager diet and persistent hunger of the Bedouin, especially the ""poor Bedouin."" Ups and downs of hunger seem to go with the milk supply, and that varies with the pasturage. Camel meat is eaten, but not as a staple of the diet. Nevertheless, the herds are large and camels that pass into the hands of the merchants become meat or work camels in the towns, especially in Egypt. Milking camels are never sold, however, but may be loaned to others who are short in supply (this is probably true of the Rwala, though I don't recall that Musil says so; it is true of all other Bedouin on whom there is such information.) Moreover, the section and tribal herds (special herds under the care of the chiefs) as well as the chief's herds are a ""surplus"". But I don't think the Rwala are explicitly aware of producing a food surplus, either for their own security or for the non-RwaIa settled populations. Perhaps their ""surplus"" is really an ""obligatory margin""! In their camps, however, they support a few non-Rwala, such as the blacksmiths, and are usually/always able to support guests and despoiled kinsmen for a time.",
021,0,,"(-); Can grazing territories and sectional camel herds be equated with granaries? Seems borderline, in the direction of, etc. Certainly, when a desert emirate appears, supported by the Bedouin tribes, the emir maintains a store of supplies to support his army. The Rwala chief (of tribe or of section, but functioning primarily in relation to the section or segment) maintains a commonly owned herd. The information is not clear or complete on this; there are just hints.",
022,0,,,
023,1,,,
024,1,,,
025,1,,,
026,0,,,
027,1,,,
028,0,,I expect you mean year-round agrarain or craft occupancy; the Rwala clans (or sections or segments) have returned summer after summer to the same traditional locations for the several months of dry season camping on the wells.,
029,0,,,
030,0,,,
031,1,,"The 1918 Arabian Handbook (British Admiralty) lists the Rwala sections by ""tents"" and the range is from 150 to 1000 tents. These sections or clans comprise a group of agnatic lineages who move together on the grazing round and camp together in summer. A particular lineage, or compoenet family of it, may move out either permanently or temporarily.",
032,1,,"If the ""tent"" averages 3 or 4 persons (Bedouin families are ""small"") then this should be plussed, and not [trait] #31, for the Rwala, the largest and most powerful (hence not typical) north Arabian Bedouin tribe.",
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,"Would well-beated caravan routes and tribal movement routes qualify, especially since more or less well-maintained wells, at least, mark them at intervals?; Since the Rwala had no 'settlements' properly speaking, and did not maintain their caravan tracks except by using them, the - [absent] holds",
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
