Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,Lhote 1955: 286,,
002,0,Lhote 1955: 262,,
003,0,Lhote 1955: 288,(-),
004,1,,(+),
005,1,Lhote 1955: 289,hoe [underlined],
006,0,Lhote 1955: 289,,
007,0,,,
008,0,,,
009,1,,irrigation [underlined],
010,0,,,
011,1,Lhote 1955: 288,,
012,0,,,
013,0,,,
014,0,,(-),
015,0,,(-),
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,1,Lhote 1955: 289,(+); marginal,
023,1,,,
024,1,Lhote 1955: 199,goats,
025,1,,dromedaries,
026,0,,(-),
027,1,,"dromedaries, horses",
028,0,,,
029,0,,,
030,0,,,
031,0,,?; 5 to 6 tents avg.,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,camel tracks,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,1,,(+),
088,1,,,
089,1,,(+),
090,1,,,
091,1,,,
092,1,Lhote 1955: 208,lapidary [underlined] - ?; smiths,
093,1,,(+); barber [underlined],
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,1,Lhote 1955: 362,(+); certain tribes specialize in caravan trips to the Sudan,
104,0,,,
105,0,Lhote 1955,(-); cf. the Rwala list. Lhote says nothing about markets,
106,0,,,
107,0,,,
108,0,,,
109,0,,(-),
110,0,,(-),
111,0,,(-),
112,1,,,
113,1,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,"""protection"" money sometimes claimed for right of passage thru territory",
120,1,Lhote 1955: 199,"(+); there is a class midway between serf and vassal, the Imrad. See Lhote’s (1955: 199) argument – also a slave class acting as serfs",
121,1,Lhote 1955: 204,,
122,0,,,
123,0,,(-) ?,
124,1,,lineages [underlined],
125,1,,,
126,1,Lhote 1955: 185,,
127,1,Lhote 1955: 186,,
128,0,,,
129,1,,,
130,0,,,
131,0,,,
132,1,Lhote 1955: 193,,
133,0,,,
134,1,Lhote 1955: 205,"so also do some who are ""vassal"" or ""religieux""",
135,0,Lhote 1955: 186,"monogamous, in spite of Islamic code and the polygamy practiced by their neighbors",
136,0,,,
137,0,,,
138,1,Lhote 1955: 182,(+),
