Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,0,,,
004,0,,,
005,1,"Hose and McDougall 1912, vol. 1: 103-104",hoe [underlined]; harvesting knife,
006,0,"Hose and McDougall 1912, vol. 1: 97",,
007,0,"Hose and McDougall 1912, vol. 1: 97",,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,"Hose and McDougall 1912, vol. 1: 103",fences to keep animals out,
015,0,"Hose and McDougall 1912, vol. 1: 99",,
016,0,"Hose and McDougall 1912, vol. 1: 99",,
017,0,"Hose and McDougall 1912, vol. 1: 99",,
018,0,"Hose and McDougall 1912, vol. 1: 105-108","""clerk-of-the-weather"" tells when to clear land",
019,0,,,
020,0,,,
021,0,,,
022,1,"Hose and McDougall 1912, vol. 1: opp. 116",,
023,1,"Hose and McDougall 1912, vol. 1: 61","fowls, goats, pigs",
024,1,"Hose and McDougall 1912, vol. 1: 61",?,
025,0,,,
026,0,,,
027,0,,,
028,1,"Hose and McDougall 1912, vol. 1: 55",,
029,0,"Hose and McDougall 1912, vol. 1: 54",,
030,0,,,
031,1,"Hose and McDougall 1912, vol. 1: 50",,
032,1,"Hose and McDougall 1912, vol. 1: 50",500 [underlined]; some long houses said to hold 500-600 persons,
033,0,"Hose and McDougall 1912, vol. 1: 54; Hose and McDougall 1912, vol. 2: 289","permanent [underlined]; the Kenyah had a village of 9 long houses with about 2000 inhabitants (Hose and McDougall 1912, vol. 2: 289)",
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,"Hose and McDougall 1912, vol. 1: 178",set up only upon news of an impeding attack,
055,0,,,
056,0,,,
057,1,"Hose and McDougall 1912, vol. 2: 233-236",,
058,0,,not functional; otherwise would qualify,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,1,"Hose and McDougall 1912, vol. 1: 52,176; Hose and McDougall 1912, vol. 2: 207","shingles of some sort (Hose and McDougall 1912, vol. 1: opp. 176); wooden shingles of ironwood (Hose and McDougall 1912, vol. 2: 207)",
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,1,"Hose and McDougall 1912, vol. 1: 83; Hose and McDougall 1912, vol. 2: 38-39",,
087,0,"Hose and McDougall 1912, vol. 1: 83; Hose and McDougall 1912, vol. 2: 38-39",(-),
088,1,"Hose and McDougall 1912, vol. 1: 68",,
089,1,"Hose and McDougall 1912, vol. 1: 68",(+),
090,1,,"boatmaking, forging",
091,0,,,
092,0,,"""clerk-of-the-weather"" is the only fully supported specialist",
093,1,"Hose and McDougall 1912, vol. 1: 106","""clerk-of-the-weather"" his work is so exacting that he is not expected to cultivate a crop of padi for himself and family, but is furnished with all the padi he needs by contributions from all the other members of the village",
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,1,"Hose and McDougall 1912, vol. 1: 60",brass gongs,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,"tally cords to record elapsed time, but no mention that it was used to record wealth",
111,0,,,
112,1,"Roth 1896, vol. 1: 87",,
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,"Hose and McDougall 1912, vol. 1: 70",,
122,1,"Hose and McDougall 1912, vol. 2: 200",an offender may be fined so much that he has to sell himself into slavery to pay the fine,
123,0,"Hose and McDougall 1912, vol. 1: 72","""it is generally possible for an energetic slave to buy his freedom""",
124,1,"Hose and McDougall 1912, vol. 1: 70",social classes,
125,0,,,
126,1,"Hose and McDougall 1912, vol. 1: 68",,
127,1,"Hose and McDougall 1912, vol. 1: 68-70",,
128,0,,,
129,0,"Hose and McDougall 1912, vol. 1: 68-70,72",apparently not qualitatively different ?; slaves not differentiated by dress either,
130,0,,,
131,0,,,
132,1,"Hose and McDougall 1912, vol. 1: 68",,
133,0,,,
134,1,"Hose and McDougall 1912, vol. 1: 69",slaves,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,1,"Hose and McDougall 1912, vol. 2: 35",,
140,0,"Hose and McDougall 1912, vol. 2: 36",,
141,0,"Hose and McDougall 1912, vol. 2: 34",perhaps formerly,
142,0,,,
143,0,"Hose and McDougall 1912, vol. 1: 64",,
144,0,,,
145,0,,,
146,0,,,
147,1,"Hose and McDougall 1912, vol. 1: 64-65",,
148,1,,,
149,1,,house chiefs,
150,0,"Hose and McDougall 1912, vol. 1: 66",,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,"Hose and McDougall 1912, vol. 1: 66",,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,1,,slaves,
171,0,,,
172,0,,,
173,0,"Hose and McDougall 1912, vol. 1: 65",,
174,0,,,
175,0,,,
176,0,,,
177,0,,(-),
178,0,,(-),
179,0,,,
180,0,,(-),
181,0,,,
182,1,"Hose and McDougall 1912, vol. 1: 65",,
183,0,,,
184,0,,,
185,0,"Hose and McDougall 1912, vol. 2: 35-36",,
186,0,"Hose and McDougall 1912, vol. 2: 34","""a bygone custom of killing slaves"" at the death of the owner",
187,0,,,
188,0,"Hose and McDougall 1912, vol. 2: 10",(-),
189,0,,,
190,1,"Hose and McDougall 1912, vol. 1: 180",with coastal villages who paid brass wire extorted from them by threat of attack,
191,0,,,
192,0,,,
193,0,,,
194,1,"Hose and McDougall 1912, vol. 1: 64-65",,
195,1,"Hose and McDougall 1912, vol. 1: 64-65",,
196,1,"Hose and McDougall 1912, vol. 2: 200",chief of village of offender sees to it that he compensates the offended village,
197,1,"Hose and McDougall 1912, vol. 1: 65",,
198,0,,,
199,0,,,
200,0,,"yes under the original definition, no under the new one",
201,0,,,
202,0,"Hose and McDougall 1912, vol. 1: 65",,
203,0,,,
204,1,"Hose and McDougall 1912, vol. 2: 200",upper class culprits are fined more,
205,0,"Hose and McDougall 1912, vol. 2: 195",,
206,1,"Hose and McDougall 1912, vol. 1: 65","so many gongs, swords, or spears",
207,0,"Hose and McDougall 1912, vol. 2: 195",,
208,0,"Hose and McDougall 1912, vol. 2: 195",,
209,0,"Hose and McDougall 1912, vol. 2: 195",,
210,0,"Hose and McDougall 1912, vol. 2: 195",,
211,0,"Hose and McDougall 1912, vol. 2: 23-24,204",,
212,0,,,
213,0,"Hose and McDougall 1912, vol. 2: 200",,
214,1,"Hose and McDougall 1912, vol. 1: 159","""the avenging of injuries and the necessity of possessing heads for use in the funeral rites are… the principal grounds of warfare""; ""nor do they attack others merely in order to sustain their prestige""",
215,0,"Hose and McDougall 1912, vol. 1: 65; Hose and McDougall 1912, vol. 2: 275",,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,scouts who spy on enemy from trees,
224,1,"Hose and McDougall 1912, vol. 1: 163","goat skin suit worn, but it would not afford much protection; wooden shields carried for this",
225,0,"Hose and McDougall 1912, vol. 1: 174,181","only if retreating attackers are caught up with; attack on a village might be, in a sense; ""the comparatively rare event, a stand-up fight in the open""",
226,1,"Hose and McDougall 1912, vol. 1: 181",,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,1,"Hose and McDougall 1912, vol. 1: 180","if defending village had been forewarned and the attacking group was large, it might try to starve the defenders into submission",
232,0,,,
233,0,"Hose and McDougall 1912, vol. 1: 175",head-takers adorn themselves with feathered sticks (hornbill feathers),
234,0,"Hose and McDougall 1912, vol. 1: 175",head-takers adorn themselves with feathered sticks (hornbill feathers),
235,0,,"distinctly high social status [underlined]; some prestige accrues, but apparently not",
236,1,"Hose and McDougall 1912, vol. 1: 52",heads,
237,1,"Hose and McDougall 1912, vol. 1: 70,184",,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,1,"Hose and McDougall 1912, vol. 1: 170",,
245,1,"Hose and McDougall 1912, vol. 2: 4",,
246,0,,,
247,0,,"plenty of omens and auguries, though",
248,0,,,
249,0,,,
250,1,"Hose and McDougall 1912, vol. 2: 5",,
251,1,"Hose and McDougall 1912, vol. 2: 5",,
252,0,"Hose and McDougall 1912, vol. 2: 14,18","the Kenyah, yes",
253,1,"Hose and McDougall 1912, vol. 1: 109; Hose and McDougall 1912, vol. 2: 9","pig and fowl sacrificed for propitious agricultural conditions (Hose and McDougall 1912, vol. 1: 109)",
254,0,,,
255,1,"Hose and McDougall 1912, vol. 2: 7-8",,
256,1,"Hose and McDougall 1912, vol. 2: 29","dyong, female soul-catcher",
257,0,,,
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,"Hose and McDougall 1912, vol. 1: 219",now pretty much replaced by metal pots,
278,0,"Hose and McDougall 1912, vol. 1: 220",,
279,0,"Hose and McDougall 1912, vol. 1: 220",,
280,0,"Hose and McDougall 1912, vol. 1: 220",,
281,0,"Hose and McDougall 1912, vol. 1: 220",,
282,0,"Hose and McDougall 1912, vol. 1: 220",,
283,0,,(-),
284,0,"Hose and McDougall 1912, vol. 1: 220",,
285,0,,,
286,0,,,
287,0,"Hose and McDougall 1912, vol. 2: 236","large wooden statues, though",
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,1,"Hose and McDougall 1912, vol. 1: 197",,
295,0,,,
296,0,,,
297,0,,,
298,0,,(-),
299,0,"Hose and McDougall 1912, vol. 1: 221",,
300,0,"Hose and McDougall 1912, vol. 1: 221",,
301,0,"Hose and McDougall 1912, vol. 1: 221",,
302,0,"Hose and McDougall 1912, vol. 1: 221",,
303,0,"Hose and McDougall 1912, vol. 1: 221",,
304,0,"Hose and McDougall 1912, vol. 1: 221",,
305,0,"Hose and McDougall 1912, vol. 1: 221",,
306,1,"Hose and McDougall 1912, vol. 1: 117,194",,
307,0,"Hose and McDougall 1912, vol. 1: 194","ore found in river beds, or meteoric iron used",
308,1,"Hose and McDougall 1912, vol. 1: 194",,
309,1,"Hose and McDougall 1912, vol. 1: 194",,
310,0,,,
311,0,,,
312,0,,not mined,
313,0,,(-),
314,0,"Hose and McDougall 1912, vol. 2: 253","(-); earrings made of brass, but brass itself probably imported",
315,1,"Hose and McDougall 1912, vol. 1: 197",,
316,0,,(-),
317,1,"Hose and McDougall 1912, vol. 1: 196",,
318,0,,(-),
319,1,"Hose and McDougall 1912, vol. 1: 196",,
320,0,,,
321,0,,,
322,1,"Hose and McDougall 1912, vol. 1: 117,197",,
323,1,"Hose and McDougall 1912, vol. 1: 117,197",,
324,0,,,
325,1,Hose 1926: 159,earrings for women,
326,0,,(-),
327,1,"Hose and McDougall 1912, vol. 1: 194",,
328,1,"Hose and McDougall 1912, vol. 2: 58",,
329,0,"Hose and McDougall 1912, vol. 1: 56",,
330,0,"Hose and McDougall 1912, vol. 1: 56",,
331,0,,,
332,0,"Hose and McDougall 1912, vol. 1: 56",arched roof of palm leaves,
333,0,"Hose and McDougall 1912, vol. 1: 56",one war boat holding 50-100 people,
334,1,"Hose and McDougall 1912, vol. 1: 70",part-time,
335,0,,,
336,0,,,
337,1,,,
338,0,"Hose and McDougall 1912, vol. 2: 212",,
339,1,"Hose and McDougall 1912, vol. 2: 209",numbers up to 1000,
340,0,"Hose and McDougall 1912, vol. 2: 211",,
341,0,"Hose and McDougall 1912, vol. 2: 172",(-); excluding simple records of elapsed time [underlined],
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,1,"Hose and McDougall 1912, vol. 1: 105-108",gnomon,
347,1,"Hose and McDougall 1912, vol. 1: 103-108; Hose and McDougall 1912, vol. 2: 213","no observation of stars, only of sun’s shadow",
348,0,"Hose and McDougall 1912, vol. 1: 106",,
349,0,,,
350,0,"Hose and McDougall 1912, vol. 2: 28,208-209",,
351,0,,,
352,1,"Hose and McDougall 1912, vol. 1: 114",,
353,0,,,
354,0,,,
