Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Junod 1913: 32,"cattle also important, but this is a firm +",
003,0,,,
004,1,,breaking of clods [underlined],
005,1,Junod 1913: 20,hoe [underlined],
006,0,,,
007,0,Junod 1913: 23,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,(-),
015,1,Junod 1913: 6,chief [underlined],
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,(+),
021,0,,(-),
022,0,Junod 1913: 15,,
023,1,Junod 1912: 308,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,0,Junod 1912: 289,,
030,0,,,
031,1,,,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,(-),
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,Junod 1912: 281,but a strong fence much heavier than the ordinary one is built around the chief’s village,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,Junod 1913: 7,,
085,0,,,
086,1,,,
087,0,,,
088,1,Junod 1912: 127-128,,
089,0,,(-),
090,1,,,
091,1,,,
092,1,,(+); smiths? potters?,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,1,Junod 1912: 379,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,Junod 1913: 127,,
114,0,,,
115,0,,,
116,1,Junod 1912: 378,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,(+); Council of chief’s kinfolk,
125,0,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,1,,chiefs buried in the sacred woods,
140,0,Junod 1912: 140,,
141,0,,,
142,0,,,
143,1,,,
144,1,,,
145,0,,,
146,0,,,
147,1,"Junod 1912: 300-301,355",,
148,1,,,
149,1,,,
150,1,,,
151,0,,,
152,0,,"only a village, like those of the headmen",
153,0,,,
154,1,Junod 1912: 396,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,1,Junod 1912: 394,,
160,0,,,
161,1,,,
162,0,,,
163,0,,,
164,0,,,
165,1,Junod 1912: 383,,
166,0,,,
167,0,,,
168,1,,(+),
169,0,,,
170,0,,,
171,1,Junod 1912: 270,up to 30,
172,0,,,
173,0,,"(-); not ordinarily, I think, but at his coronation",
174,0,,,
175,0,,,
176,0,,(-),
177,1,Junod 1912: 344,,
178,1,Junod 1912: 360,(+),
179,0,,,
180,0,,,
181,0,,,
182,0,Junod 1912: 421,,
183,0,Junod 1912: 421,,
184,0,,,
185,0,Junod 1912: 388,the place is kept secret,
186,0,,,
187,0,Junod 1912: 421,,
188,1,Junod 1912: 371,,
189,0,,(-),
190,0,,(-),
191,0,,,
