Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Jenks 1905: 93,Turning the soil,
005,0,Jenks 1905: 90,,
006,0,,,
007,1,Jenks 1905: 97,,
008,0,,(-),
009,1,,,
010,0,,,
011,1,,,
012,1,Jenks 1905: 92,,
013,1,,,
014,1,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,,
021,0,,,
022,0,,,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,1,Jenks 1905: 49,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,,,
049,0,,hollowed pine only,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,?; Is there a wall around the whole pueblo? I think not,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,1,,,
060,0,,,
061,0,,?,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,0,Jenks 1905: 165,,
088,1,,,
089,1,"Jenks 1905: 153,159","Gold earrings, obtained in trade for carabaos. From a gold-producing district in a neighboring province – Lepanto",
090,1,,,
091,1,,,
092,1,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,(-); probably of Spanish origin,
099,1,Jenks 1905: 156,palay – (unthreshed rice),
100,0,,"(colonial only, of course, which does circulate)",
101,0,Jenks 1905: 163,,
102,1,Jenks 1905: 163,pre-Spanish?,
103,0,Jenks 1905: 158,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,,rare because of head-hunting perils,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,0,,(-),
125,0,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,(-) ?; earrings,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,1,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,0,,,
145,0,,,
146,0,,,
147,0,Jenks 1905: 167,all old men,
148,0,,,
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,,,
196,1,,,
197,0,Jenks 1905: 169,ordeals,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,0,,feaud [underlined]; head-hunting,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,Jenks 1905: 179,rather formal head-taking contests,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,,head-taking tattoo (9/10 of all adult males are so marked),
234,0,,,
235,0,,,
236,1,,heads [underlined],
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,Jenks 1905: 200-201,,
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,0,,,
255,0,,,
256,1,,priests [underlined],
257,0,,,
258,1,,,
259,0,,,
260,1,Jenks 1905: 205-206,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,Jenks 1905: 115,,
294,1,Jenks 1905: 116,(+); made [underlined] - ?,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,Jenks 1905: 75,(-),
300,0,,,
301,0,,,
302,1,,,
303,1,,,
304,0,,,
305,0,,,
306,1,,,
307,0,,,
308,0,,,
309,1,,,
310,0,,,
311,0,,,
312,0,,,
313,0,,,
314,0,,,
315,1,,apparently of Chinese origin,
316,1,,apparently of Chinese origin,
317,1,,apparently of Chinese origin,
318,1,,riveting [underlined]; apparently of Chinese origin,
319,1,Jenks 1905: 150,,
320,0,,,
321,0,,,
322,1,,,
323,0,,and [underlined],
324,1,,gold [underlined]; earrings made in Lepanto,
325,0,,not by Bontoc – see [traits] above,
326,0,,,
327,1,,,
328,0,,,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,1,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,,,
353,0,,,
354,0,,,
