Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,0,,,
004,1,,(+),
005,1,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,,(+),
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,1,,plantains,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,II lines,
031,1,,,
032,1,,,
033,1,,,
034,0,,(-),
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,(-),
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,(-),
084,0,Weeks 1913: 109,,
085,0,,,
086,1,,,
087,0,,,
088,1,,,
089,0,,,
090,1,,,
091,1,,,
092,1,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,1,,brass rods,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,Weeks 1913: 114,,
106,0,Weeks 1913: 114,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,,(+),
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,Weeks 1913: 112,,
122,1,Weeks 1913: 112,,
123,1,,,
124,0,,(-),
125,0,,(-),
126,1,,,
127,0,,,
128,0,,,
129,0,Weeks 1913: 113,,
130,0,,,
131,0,,,
132,1,,property [underlined],
133,0,,,
134,1,,,
135,1,Weeks 1913: 125,,
136,0,,,
137,0,,,
138,0,,,
139,1,,,
140,1,Weeks 1913: 105-106,brass rods (currency),
141,1,Weeks 1913: 103-104,,
142,0,,,
143,0,Weeks 1913: 116,,
144,0,,,
145,0,,,
146,0,,,
147,1,,headman [underlined],
148,0,,,
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,1,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,Weeks 1913: 169,there is no para. chief,
185,0,,,
186,1,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,"Weeks 1913: 116,180",,
196,0,,,
197,1,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,0,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,1,Weeks 1913: 84,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,1,,,
237,1,,,
238,0,,,
239,1,Weeks 1913: 226,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,0,,,
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,1,Weeks 1913: 92,to make the Congo River subside,
255,0,,,
256,1,,,
257,0,,,
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,Weeks 1913: 87-88,,
278,1,Weeks 1913: 87-88,(+),
279,0,Weeks 1913: 87-88,,
280,0,Weeks 1913: 87-88,,
281,0,Weeks 1913: 87-88,,
282,0,Weeks 1913: 87-88,,
283,0,Weeks 1913: 87-88,,
284,0,Weeks 1913: 87-88,,
285,0,Weeks 1913: 87-88,,
286,0,Weeks 1913: 87-88,,
287,0,Weeks 1913: 87-88,,
288,0,Weeks 1913: 87-88,,
289,0,Weeks 1913: 87-88,,
290,0,Weeks 1913: 87-88,,
291,0,Weeks 1913: 87-88,,
292,0,Weeks 1913: 87-88,,
293,0,,(-),
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,1,,,
307,0,,(-),
308,1,Weeks 1913: 88,,
309,1,,,
310,0,,,
311,0,,,
312,0,Weeks 1913: 87,(-); mined [underlined] - ?,
313,0,,,
314,0,,,
315,1,,,
316,0,,,
317,0,,(-),
318,0,,,
319,0,,,
320,0,,,
321,1,,,
322,1,,,
323,0,,,
324,0,,,
325,1,,,
326,0,,,
327,1,,,
328,1,Weeks 1913: 94-95,hold up to 60 or 70 + cargo,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,1,Weeks 1913: 114,,
335,0,,,
336,0,,,
337,1,,(+),
338,0,,,
339,1,Weeks 1913: 142-143,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,Weeks 1913: 100-101,,
353,0,,,
354,1,Weeks 1913: 93,itinerant,
