Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,,,
002,0,,,
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,[+ gathered],
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,shore strip,
031,1,,,
032,1,,"(+) ?; Pre-European population difficult to estimate and archaeology insufficient. 500 is possible; [- according to Barbara’s source, 303]",
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,[why not +? Barbara also gives -]; large 50’×50’ wooden houses in which ceremonies were held for sizable gatherings of several hundred people,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,1,,[Barbara 9],
055,0,,,
056,0,,,
057,1,,and inside house posts and [unreadable] beams,
058,1,,(+); [Barbara gives -],
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,"again the houses were very large and substantive, though of wood",
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,1,,planks [underlined],
072,0,,,
073,0,,of great posts of cedar,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,Curtis 1915: 43,"clover [?]; over fishing grounds, berry-picking, mountain goat hunting sites – not “improved”",
085,0,,,
086,1,,,
087,0,,,
088,1,,but temporary i.e. before and after potlatching,
089,1,,"fur robes; [Barbara +, 5]",
090,1,,,
091,0,,economic [underlined] - > potlatch which economic in peculiar sense,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,(-); [Barbara -],
099,1,,in pre-contact times: cedar bark and fur wampums and canoes; [Barbara -],
100,0,,(The “coppers” are not coined money but have to be taken into consideration),
101,1,,pre-contact -?; [Barbara + (131)],
102,0,,,
103,0,,not specialized as full-time traders; [Barbara -],
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,Nootka,
113,0,,borderline. The Nootka route took more than a day often,
114,0,,,
115,0,,,
116,0,,"(-); seals, salmon etc. to numaym chief; [Barbara -]",
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,,,
122,0,,,
123,1,Curtis 1915: 239-240,[Barbara + 338 (13)],
124,1,,,
125,1,,,
126,1,,,
127,1,Codere 1957: 473-486,"See argument in Codere (1957: 473-486); [Barbara +, 137]",
128,0,,not groups but individual positions,
129,1,Curtis 1915: 5,,
130,0,,,
131,0,,,
132,1,,,
133,0,,,
134,1,,[Barbara +],
135,0,,(-),
136,0,,,
137,0,,,
138,1,,"if again, “pro” = full-time",
139,1,"Curtis 1915: 56,58",status not class,
140,1,Curtis 1915: 55,frequent placing of luxury goods in coffins – once burial,
141,0,,,
142,0,,,
143,0,"Forde 1948: 87; Curtis 1915: 132,141",[Barbara +],
144,0,"Forde 1948: 87; Curtis 1915: 132,141",[Barbara +],
145,0,,,
146,0,,,
147,1,,"[Barbara +, 141]",
148,0,,"[Barbara +, 141]",
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,"Curtis 1915: 138,141","[Barbara +, 155]",
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,1,Curtis 1915: 154,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,Curtis 1915: 57-58,"[Barbara +, 161]",
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,1,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,0,,,
196,0,,,
197,0,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,1,Forde 1948: 94,,
215,1,Curtis 1915: 139,"[Barbara -, 216a]",
216,0,,,
217,0,,,
218,0,Curtis 1915: 100,"[Barbara +, 219]",
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,1,,,
225,0,,,
226,0,Curtis 1915: 104,"[Barbara (+), 232]",
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,"(commendation by chiefs, recounting of enemies killed)",
234,0,,,
235,0,,supernatural power so attained; right to perform certain ceremonials so attained,
236,1,,,
237,1,Forde 1948: 91; Curtis 1915: 100,"[Barbara +, 239]",
238,0,,,
239,1,Forde 1948: 91,[Barbara -],
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,? meaning here. Certain supernatural beings having to do with war also had to do with ceremonialism[?],
245,0,,,
246,0,,,
247,0,,why omit animals – e.g. crows – how they behave and can foretells war etc.,
248,0,,,
