Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,0,,,
003,1,Massam 1927: 111-112,plots cultivated every 6th yr. on the average; but trees do grow up in the fields during fallow,
004,0,,,
005,1,Massam 1927: 113,hoes,
006,0,,,
007,0,,(-),
008,0,,(-),
009,1,Massam 1927: 20-21,irrigation [underlined]; probably would be formed anyway; irrigation used only during dry season,
010,0,,,
011,1,"Massam 1927: 20,134",,
012,0,,,
013,1,Massam 1927: 113,,
014,1,Massam 1927: 112-113,Fences are erected communally against animal depredation; to keep out bushbucks,
015,1,Massam 1927: 138,"(+); “Should there be no heirs, the property is divided among members of the deceased’s village”",
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,0,,,
029,0,,,
030,0,,,
031,0,"Massam 1927: 37,231","(-); war parties were of 20 to 30 men, never exceeded 100",
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,,,
084,1,,,
085,0,,,
086,1,,,
087,1,,,
088,1,Massam 1927: 132,"(+); some men may own hundreds of cattle, and others only 10 goats, but they wear clothing and live under conditions precisely alike",
089,0,,,
090,1,,,
091,1,,,
092,1,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,Massam 1927: 120,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,age grades,
125,0,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,(-),
144,0,,,
145,0,,,
146,0,,,
147,1,Massam 1927: 53,,
148,0,,,
149,1,Massam 1927: 53,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,1,,,
191,0,,,
192,0,,,
193,0,,,
194,0,"Massam 1927: 53,75ff,79","(-); in the event of murder or manslaughter, the elders fixed the compensation to be paid",
195,1,,,
196,1,,(+),
197,1,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,1,,,
206,0,,,
207,1,,,
208,0,,,
209,0,,,
210,0,,(-),
211,0,,,
212,0,,,
213,0,,,
214,1,,,
215,0,,evidently not,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,1,Massam 1927: 35,disguised as a lunatic!,
224,0,,,
225,0,,,
226,1,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,,,
234,0,,,
235,0,,,
236,0,,,
237,0,,,
238,0,,,
239,1,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,,,
246,0,,,
247,0,,,
248,0,,,
249,1,,,
250,1,,,
251,1,,,
252,0,,,
253,1,,,
254,0,,,
255,0,,,
256,1,,,
257,1,,(+),
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,1,,,
