Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,0,,(-),
003,0,Driberg 1923: 98,,
004,0,Driberg 1923: 97,,
005,1,Driberg 1923: 85,hoe [underlined],
006,0,,,
007,0,,,
008,0,Driberg 1923: 98,(-); “but the slightest knowledge of the theory of rotation of crops”,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,(-) ?; no info,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,Driberg 1923: 100,"“annually export large quantities of millet, semsem, beans and peas” to exchange for brass wire",
021,0,,,
022,0,,(-),
023,1,,,
024,1,Driberg 1923: 90-91,"cattle, goats, sheep",
025,0,,,
026,0,,,
027,0,,,
028,0,Driberg 1923: 98,(-),
029,0,,,
030,0,Driberg 1923: 72,,
031,1,Driberg 1923: 71,,
032,1,Driberg 1923: 71,"(+); “Ten to 150 huts,” formerly still larger",
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,Driberg 1923: 73,a girls’ house,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,Driberg 1923: 71,,
055,0,,,
056,0,,,
057,0,,,
058,0,Driberg 1923: 75,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,1,,(+) ?; prof. drum-makers. Full-time?,
084,0,Driberg 1923: 171,,
085,0,,,
086,1,Driberg 1923: 185,,
087,1,Driberg 1923: 173,"(+); Testamentary disposition [underlined] – subject to approval by the clan of the deceased, a severe limitation",
088,1,,(+),
089,0,,,
090,1,,,
091,1,,,
092,1,Driberg 1923: 87,,
093,0,,(-); Full-time [underlined]; “professional” dentist for tooth extraction could hardly have been full-time. But Lango witch-doctors might have been professional,
094,0,Driberg 1923: 87,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,Driberg 1923: 100,,
113,0,,(-),
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,"and usually not adopted, liberated, or killed [underlined] – usually adopted or married very soon",
122,0,,,
123,0,Driberg 1923: 173,(-); ref. to this – Driberg (1923: 173) – but must be quite rare,
124,1,Driberg 1923: 189,sibs [underlined],
125,1,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,(-),
130,0,,,
131,0,Driberg 1923: 72,,
132,0,,,
133,0,,,
134,0,,,
135,0,,"(-); there is free polygyny, each man taking as many as he can afford",
136,0,,,
137,0,,,
138,0,,celebrations of the upper classes [underlined]; highly skilled musicians perform at public ceremonies,
139,1,Driberg 1923: 166,"Chiefs and war-leaders are buried outside the village, ordinary persons inside it",
140,0,,,
141,0,,,
142,0,,,
143,0,Driberg 1923: 205,(-); some controversy on this point – Driberg (1923: 205) thinks there was nothing beyond temporary alliances in over 200 years.,
144,0,,,
145,0,,,
146,0,,,
147,1,Driberg 1923: 206,,
148,0,,,
149,0,,council [underlined],
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,Driberg 1923: 206,clan headmen +,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,(-),
172,0,,,
173,0,,,
174,0,,,
175,0,Driberg 1923: 72,,
176,0,,,
177,0,,(-),
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,(-),
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,Driberg 1923: 208,,
196,1,Driberg 1923: 106,,
197,0,,(-),
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,"certain offenses are compoundable, but only to the offended party",
207,0,,,
208,0,,,
209,0,,,
210,0,,(-); constituted agent [underlined],
211,0,,,
212,0,,,
213,0,,,
214,1,Driberg 1923: 107,,
215,1,"Driberg 1923: 166,206","(+); seemingly an informal role, but war-leaders are recognized at death by special burial practice",
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,Driberg 1923: 109,,
226,1,Driberg 1923: 109,"3 separate columns, each divided into companies",
227,0,,,
