Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,0,,,
003,0,,(-),
004,1,,mounds [underlined]; breaking of clods [underlined],
005,1,,hoe [underlined],
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,to whoever wants it,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,1,Fletcher and La Flesche 1911: 79-80,horses at an early date,
024,0,,,
025,1,,,
026,1,,,
027,1,,,
028,1,Fletcher and La Flesche 1911: 99,(+),
029,0,,,
030,0,,,
031,1,,,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,sacred tipis,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,1,,tipis painted,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,0,Fletcher and La Flesche 1911: 592,“personal belongings”,
087,0,,,
088,0,,,
089,0,,,
090,1,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,1,,(+),
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,Fletcher and La Flesche 1911: 139,,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,,
148,1,,,
149,1,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,1,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,?,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,(-),
191,0,,,
192,0,,,
193,0,,,
194,1,Fletcher and La Flesche 1911: 213-216,,
195,1,Fletcher and La Flesche 1911: 213-216,,
196,1,Fletcher and La Flesche 1911: 213-216,,
197,1,Fletcher and La Flesche 1911: 213-216,,
198,0,Fletcher and La Flesche 1911: 213-216,,
199,0,Fletcher and La Flesche 1911: 213-216,,
200,0,Fletcher and La Flesche 1911: 213-216,,
201,1,Fletcher and La Flesche 1911: 213-216,(+); Council,
202,0,Fletcher and La Flesche 1911: 213-216,,
203,0,Fletcher and La Flesche 1911: 213-216,,
204,0,Fletcher and La Flesche 1911: 213-216,,
205,0,Fletcher and La Flesche 1911: 213-216,,
206,0,Fletcher and La Flesche 1911: 213-216,(-),
207,1,Fletcher and La Flesche 1911: 213-216,,
208,1,Fletcher and La Flesche 1911: 213-216,,
209,0,Fletcher and La Flesche 1911: 213-216,,
210,0,Fletcher and La Flesche 1911: 213,"(-); openly [underlined]; with a special poisoned pole, by command of the chiefs; but apparently not openly",
211,0,Fletcher and La Flesche 1911: 213-216,,
212,0,Fletcher and La Flesche 1911: 213-216,,
213,0,Fletcher and La Flesche 1911: 213-216,,
214,1,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,Fletcher and La Flesche 1911: 79,"(-); used by Comanche, with whom they had some contact",
225,0,,(-),
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,Fletcher and La Flesche 1911: 351,,
234,0,,,
235,1,Fletcher and La Flesche 1911: 446,,
236,1,Fletcher and La Flesche 1911: 432,scalps [underlined],
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,1,Fletcher and La Flesche 1911: 402-403,,
245,1,,,
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
