Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Oliver 1955: 22,Taro alone provides 80% by weight,
003,0,Oliver 1955: 23-24,"6 yr. cycles: cultivated 1 yr. in [6?]. Small trees, suitable for fencemaking, grow in this period; but this secondary growth is sharply distinguished from virgin rainforest, none of which has been cleared within memory",
004,0,,(-) ?,
005,1,,rake [underlined],
006,0,,,
007,0,,plant rubbish burned and scattered over garden to enrich it,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,Oliver 1955: 130,"(+); fences [underlined]; primarily, I think, as protection against pigs, might also delimit property",
015,0,,ok,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,1,Oliver 1955: 28,coconut palms,
023,1,,pigs,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,(+),
030,0,,,
031,1,"Oliver 1955: 15,333-334","(+); which unit?; ""Aboriginal settlements consist of small, one- to nine-house hamlets scattered about the scrub."" Houses were for nuclear families; But ""neighborhoods"" - which may include hostile factions and the elements of which do not commonly co-operate - may have from 6 to 50 households. In these a minimal bond of co-residence is recognized, and free right of way given",
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,"built by rival native ""leaders"" at instigation of the Australian authorities",
043,0,,,
044,0,,,
045,0,,,
046,1,Oliver 1955: 17,men's club houses,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,Oliver 1955: 132-133,abandoned [underlined],
085,0,,,
086,1,Oliver 1955: 230,,
087,0,,,
088,1,,,
089,0,,,
090,1,Oliver 1955: 297,,
091,1,Oliver 1955: 346,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,1,Oliver 1955: 339,shell money,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,,(-),
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,Oliver 1955: 419-420,(+),
122,0,,,
123,0,,,
124,1,,,
125,1,,matri-sibs,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,1,,mumis are usually wealthy,
133,0,,,
134,1,,"usually - ""in olden days""",
135,1,,(+),
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,,
148,0,,,
149,1,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,,,
196,1,Oliver 1955: 411,,
197,0,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
