Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,Until approx 1850 in [north?],
002,0,,,
003,0,,,
004,0,,,
005,1,,hoe [underlined],
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,"no evidence on this point, really; re[?] planting, harvest",
019,0,,,
020,0,,"Bartered bison meat for vegetable food, as well as bartering hides[?]",
021,0,,,
022,0,,,
023,1,,"Horse, prob. by 1740-(1770?)",
024,0,,(only [unreadable] ritual or emergency use of dog),
025,1,,,
026,1,,"Travois only, not carts",
027,1,,,
028,0,,,
029,0,,,
030,0,,,
031,0,,"Bands hole up into camps (extended families) [unreadable] ""in touch""",
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,excluding structures built for specific occasions and later abandoned or destroyed [underlined],
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,excluding dry ditches [underlined],
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,0,,"Destroyed or ""given away""",
087,0,,(Post-reservation only),
088,0,,marked [underlined],
089,0,,,
090,1,,"excluding the making of [..] ceremonial objects by shamans or priests [underlined]; some men were skilled [arrow?] makers. Some women [unreadable], but not exclusive guild.",
091,0,,significant amount of [..] economic exchange [underlined],
092,0,,,
093,0,,,
094,0,,"Too rudimentary and ritual-oriented[?] (quillers]?], beaders) to be called true guilds.",
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,annual or more frequent visits to trading posts count[?]? The markets were extra-tribal,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,"Between tribes, + with Euroamerican traders",
113,0,,"?; Irregular, other than seasonal",
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,"warrior societies, ceremonial teams, craft guilds [underlined] - women's [craft guilds]",
125,0,,,
126,1,,"[unreadable], soldier[?], [unreadable], + chief's lodge",
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,status or class [underlined],
140,0,,,
141,0,,,
142,0,,,
143,1,,"""camps"" form bands, + within band fairly continuous contact. Not tribal.",
144,0,,,
145,0,,,
146,0,,,
147,1,,council [underlined],
148,1,,council of 44,
149,1,,?,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,Election based on concensus,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,0,,,
179,0,,"only verbal, a crier[?]",
180,0,,,
181,0,,,
182,0,,leader [underlined]; he [underlined],
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,1,,,
191,0,,,
192,0,,,
193,0,,,
194,1,,,
195,1,,,
196,1,,,
197,1,,[unreadable] Rudimentary,
198,0,,,
199,0,,,
200,0,,him [underlined],
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,1,,,
208,1,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,permanent [underlined]; charged with apprehension and detention of criminals [underlined]; military societies have ad hoc punitive task at direction of council,
213,0,,,
214,1,,"primarily [..] territorial acquisition, the capture of booty, the taking of slaves [underlined]; Horse raiding primarily",
215,1,,leader(s) [underlined],
216,0,,,
217,0,,,
218,0,,But included practically all able bodied males,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,1,,"Recorded, but a late development",
227,1,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,1,,"Counted [coups?], received new names",
234,0,,,
235,1,,"?; distinctly high social status [underlined]; yes, but no concept of nobility",
236,1,,minor,
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,,"Quarters[?] of the [unreadable], above, Below",
246,0,,,
247,0,,,
248,0,,not [unreadable] the Culture Hero,
249,0,,Ill[?] defined if at all,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,0,,,
255,0,,"not permanent, set up for specific rituals",
256,1,,,
257,0,,,
258,0,,,
259,0,,,
260,0,,,
261,0,,"[unreadable] priest had probably the [highest?] status, but no elaborate hierarchy",
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,to shrines or sacred places [unreadable],
276,0,,,
277,1,,"Well documented pre 1800. Probably made until almost 1830, sporadically, then none.",
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,,,
294,0,,made [underlined],
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,,,
302,0,,,
303,0,,,
304,0,,,
305,0,,,
306,0,,,
307,0,,,
308,0,,,
309,0,,,
310,0,,,
311,0,,,
312,0,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,0,,,
318,0,,,
319,0,,,
320,0,,,
321,0,,,
322,0,,,
323,0,,"For period circa 1850, [unreadable] metal projectile points",
324,0,,,
325,0,,,
326,0,,,
327,0,,,
328,1,,"Bullboat or coracle, but rare.",
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,0,,,
340,0,,,
341,1,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,"Tally of families at major rituals, but not individuals",
350,0,,,
351,0,,,
352,0,,,
353,0,,,
354,0,,,
