Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,,,
002,0,,,
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,Murdock 1935: 109,surplus in dairy products - traded with neighbors for agric. products - buying power evidenced by buying of cloth,
021,0,,,
022,0,,,
023,1,,,
024,1,Rivers 1906: 34,"only during rituals is meat used, otherwise - dairy product",
025,0,,,
026,0,,,
027,0,,,
028,1,Rivers 1906: 37,,
029,1,,,
030,0,"Rivers 1906: 24-25,27",settlements [underlined]; Rivers (1906: 27) shows a picture which seems [square]; Rivers (1906: 27) shows only houses. cf. pp. 24-25 for scattered houses village,
031,0,,,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,only paths are described,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,,
048,0,Rivers 1906: 439-440,although Rivers (1960: 440) shows a perfectly good shaped pile of stones as a marker,
049,0,,,
050,0,,(-); springs[?] are lined,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,Rivers 1906: 29,2 rooms,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,Marshall 1873: 165,,
067,1,Marshall 1873: 64,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,Marshall 1873: 206; Rivers 1906: 558; Murdock 1935: 115,families [underlined]; clans (Murdock 1935: 115); may be families (Rivers 1932: 558),
085,0,,,
086,1,,,
087,0,,,
088,1,,(+) ?,
089,0,,,
090,1,Rivers 1906: 584,?; architect,
091,0,,,
092,0,Rivers 1906: 31,certain men set aside to look after sacred buffaloes,
093,0,,priests,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,1,Rivers 1906: 566,,
099,0,,buffaloes?,
100,0,,use regular Indian coins,
101,0,,?,
102,0,Harkness 1832: 18,rent to other tribes,
103,0,,,
104,0,,,
105,0,,go to markets of other tribes,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,,(-) ?; 3 days one-way [underlined] - ?,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,Rivers 1906: 36,,
125,1,,,
126,0,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,property [circled] - buffalo; see [trait] 126,
133,0,,,
134,0,,,
135,0,,women have numerous husbands or lovers,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,1,Rivers 1906: 540,,
145,0,,,
146,0,,,
147,1,"Rivers 1906: 540,550",council [circled],
148,0,Murdock 1935: 116,council; cf. Murdock (1935: 116): No coercive power,
149,1,Rivers 1906: 553,,
150,0,,?,
151,0,,,
152,0,,city or town [underlined] - not enough population,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,This is a council,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,(-),
185,0,,(-),
186,0,,,
187,0,,,
188,0,,?,
189,1,Murdock 1935: 109-110,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,no crime,
195,1,,,
196,1,,,
197,1,,,
198,0,,,
199,0,Rivers 1906: 550,,
200,0,,council here exercises supreme judicial power; ie has the power or auth. to reverse decisions of inferior judges or courts in civil or criminal cases,
201,0,,,
202,0,,,
203,0,,,
204,0,,offenses [circled],
205,0,,offenses [circled],
206,0,,offenses [circled],
207,0,,offenses [circled],
208,0,,offenses [circled],
209,0,,offenses [circled],
210,0,,crimes [circled],
211,0,,,
212,0,,,
213,0,,offenders [circled],
214,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
215,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
216,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
217,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
218,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
219,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
220,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
221,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
222,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
223,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
224,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
225,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
226,0,Murdock 1935: 110,"""War is absolutelly unknown""; but have weapons",
