Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,0,,,
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,0,,,
026,0,,,
027,0,,,
028,0,,,
029,0,,,
030,0,,,
031,1,,,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,"?; The home dwelling of fathers of the ceremonial vute girls are considerably enlarged to entertain the youth of the other age class moiety. They are certainly twice the size that the family needs for itself, but there is no separate structure. I do not believe that the farinha roasting sheds of today were aboriginal, and the great size (permanent for the duration of the girls’ term of office) of the vute family houses must also be questioned. The rectangular houses are not aboriginal but are a 19th C. adaptation. Presumably, the houses earlier were round and small. I do not think we know their size.",
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,1,,,
087,0,,,
088,0,,,
089,0,,,
090,0,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,"1. Now there is still minimal and non-systematic trade between tribes. For instance, the Ramkokamekra-Canela may trade with the Apanyekra-Canela for arara feathers and chalk, and farinha or anything else. In the 19th C. they were hostile and unfriendly to the Apanyekra. They had no tamhak (visiting-privilege chief) in each others tribes so they could not have gone into each others villages easily. The Ramkokamekra were friendly with the Cakomekra and must have traded minimally with them for rare decorative artifacts. These tribes were aboriginally, politically and economically independent and self sufficient. They contacted each other to fight blood revenge skirmishes and for control of favorable parcels of land, and also for minimal non-sustenance trading. Even now they do not trade regularly with the local Brazilians because they have so little to trade. In the first part of the 20th C. it is known that they traded farinha and sweet potato flour to the local Brazilians for axes, machetes, and cloth quite regularly. Then they were economically on their feet; 2. I think you want a (-) score because you are scoring for the aboriginal set-up and for a significant economic relationship which they did not have. They did have some minimal non-subsistence inter-community tradings, I think, at least it is most reasonable to believe so.",
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,"the chieftainships are based on family, ability, age, and sex. Membership in the council is based on age and sex but influence comes through ability",
148,1,,,
149,1,,sub-chief and council,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,"I am thinking that they display “deference” to the chief mainly when he is carrying out his role but not to any “special” extent otherwise. In a council meetings, no one must sit behind him but they are not strict about this. Again, it is a question of degree – minimal in this case. Leaders march behind their troops. Maybe you can remove the question mark.",
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,"We know that aboriginally they were hostile to some tribes, with intermittent warfare, and friendly to others. We know that friendly tribes appointed and ceremonially established, in the other tribe, a particular person who would act as their protector, supplier, and representative should they come visiting. And it is evident that they did do some visiting. I do not know if you can use the words ""treaty"", “witnessed” or “sworn”, but you can say that formal inter-tribe relationships were established through rites and that the consequent visiting rights, protocol, and patterns was quite well defined. I think that a (+) is consistent with the intent of your question. Members of both tribes witnessed the performance of the rite of making a tamhak.",
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,,,
196,0,,,
197,1,,,
198,0,,,
199,0,,,
200,1,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
