Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,Kramer 1963: 340,"breaking of clods, plowing [underlined]",
005,1,"Kramer 1963: 102,342",threshing sledge; seeder,
006,1,Kramer 1963: 340,oxen,
007,0,,it seems that the earth was naturally fertile,
008,0,,there is no mention of this,
009,1,Childe 1966: 107-108,"drainage, irrigation [underlined]; Sumer was buiIt on marsh land and desert",
010,1,Childe 1966: 107-108,,
011,1,"Kramer 1963: 3-4,340","""Complete dependance on …""",
012,1,Kramer 1963: 105,dykes [underlined],
013,0,,I think that the land was pretty flat,
014,0,,(-); the fields were often surrounded by trees but more for shade than boundry,
015,1,,"(+); This is a guess from the general structure of Sumerian social and political structure; [altered definition to] Kinship Group or state or tribe (eg. lineage, sibs)",
016,0,,[altered definition to] Most of the agricultural lands systematically reapportioned,
017,1,Woolley 1928: 113,,
018,0,,determined by agri. callender,
019,1,,for the cultivation of temple lands,
020,1,,for tithes and export,
021,0,,,
022,1,Kramer 1963: 109,dates etc.,
023,1,Kramer 1963: 340,"oxen, sheep, pigs, donkeys",
024,1,Kramer 1963: 109,sheep etc.,
025,1,Kramer 1963: 104,"""by man or beast…"" donkeys",
026,1,Kramer 1963: 340,oxen,
027,1,Kramer 1963: 109,donkey,
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,1,,,
034,1,,,
035,1,,,
036,1,,,
037,1,Kramer 1963: 88,,
038,1,,,
039,0,Kramer 1963: 89,,
040,0,Kramer 1963: 89,,
041,0,,,
042,1,,,
043,0,,,
044,0,,there is no mention of bridges at all,
045,0,Childe 1966: 150,(-); most likely because of the extent of trade,
046,1,Kramer 1963: 73,,
047,0,,,
048,1,Kramer 1963: 55,of the vultures; [altered definition to] Not cairns,
049,1,Kramer 1963: 55,canals lined with brick for both irrigation and drinking water,
050,0,,,
051,0,,,
052,1,Woolley 1928: 156,"pipes, used to carry off rain water [underlined]; drains in the middle of the court yards of high class houses - pipes with seepedge holes",
053,1,,"(+); there were short drains from the lavatories of the better houses, but not real sewers",
054,1,,walled cities,
055,1,,,
056,1,,see illistration 7 nos. 17 and 18 are moats,
057,0,,,
058,1,Kramer 1963: 89,,
059,1,Kramer 1963: 89; Woolley 1928: 156,,
060,1,,(+); very little,
061,1,Kramer 1963: 290,stone foundations and platforms,
062,0,,,
063,0,,,
064,1,Kramer 1963: 73,,
065,0,,,
066,1,Kramer 1963: 290,[altered definition to] blocks of Cut Stone; Perkins [?]: 120-121,
067,0,,(-); mud bricks were sometimes used between outer layers of fired bricks,
068,1,,,
069,0,,mud and bitumen,
070,1,Kramer 1963: 73,plaster,
071,1,,,
072,0,,(-); there may have been some but most construction was entirely brick,
073,1,Kramer 1963: 290,[altered definition to] arches of cut stone or brick; corbeled or Key Stone,
074,1,Kramer 1963: 290,[altered definition to] Key Stone,
075,1,Kramer 1963: 73,,
076,1,,or [unreadable],
077,0,,,
078,0,,,
079,1,,,
080,1,,(+); gates? buttresses?,
081,1,Kramer 1963: 138,,
082,0,Kramer 1963: 101,Kramer (1963: 101) says that the lapidary could probably do stone masonry too; there were brick masons,
083,1,,,
084,1,,not all land (not land which had been given to a soldier as pay) but what was individually owned; [altered definition to] improved or worked,
085,1,Kramer 1963: 75,,
086,1,Kramer 1963: 78-79,,
087,1,Kramer 1963: 85,found in court records,
088,1,,There was a difference in affluence between upper class and middle class and middle class and slaves,
089,1,,,
090,1,Kramer 1963: 74,"smiths, carpenters, jewlers etc.",
091,1,,,
092,1,,"brewer, lapidary [..] tanner [underlined]",
093,1,,"physician [underlined]; mechant, scribe",
094,1,Kramer 1963: 82; Woolley 1928: 113,,
095,0,,,
096,1,,temple [underlined],
097,1,Frankfort 1951: 60,for the temple all worked no leisure class,
098,1,Woolley 1928: 113,hired by the year,
099,1,,(+); there is a set payment in silver or kind for most services or commodities,
100,0,,,
101,1,Childe 1966: 154,by the temple,
102,1,,land [underlined],
103,1,Kramer 1963: 74,,
104,0,,[altered definition to] outside the market area,
105,1,Kramer 1963: 74,,
106,1,Kramer 1963: 74,,
107,1,Woolley 1928: 119,,
108,1,Kramer 1963: 85,,
109,1,,,
110,1,,in temple store rooms,
111,1,,,
112,1,,,
113,1,Kramer 1963: 74,,
114,1,Kramer 1963: 74,for palace and temple,
115,1,Woolley 1928: 116,,
116,1,,,
117,0,,,
118,1,Kramer 1963: 81,sent out periodically by the central government [crossed out] - [altered definition to] excluding local chiefs,
119,0,,(-),
120,0,Frankfort 1951: 61,,
121,1,Kramer 1963: 78,,
122,1,Kramer 1963: 78,,
123,1,Kramer 1963: 78,,
124,1,,craft guilds [underlined]; guilds were connected to the temple,
125,1,,,
126,1,Woolley 1928: 95,"Patricians, Burghers, slaves (class differences in law matters and economic matters skill and rank but all under corvé)",
127,1,Woolley 1928: 95,"Patricians, Burghers, slaves (class differences in law matters and economic matters skill and rank but all under corvé)",
128,0,,,
129,0,,,
130,0,,,
131,1,Kramer 1963: 84,,
132,1,,[altered definition to] Moveable property,
133,0,,,
134,1,,slaves,
135,0,,(-); the king did but not the rest unless their first wife was barren,
136,0,,,
137,0,,,
138,1,,court musicians also public performers,
139,1,Kramer 1963: 28,royal tombs at Ur,
140,1,,Royal tombs at Ur; luxury [crossed out] - [altered definition to] articles of wealth,
141,0,,(-); perhaps in very early times but only real evedence of sacrificial burial was at Ur and that was royalty,
142,0,,,
143,1,,city state,
144,1,,city states,
145,1,Kramer 1963: 73,,
146,0,,"12 or more city states by third mil. BC; but did not comprise a ""considerable area""",
147,1,Kramer 1963: 74,"king, or council [underlined]",
148,1,,,
149,1,,"minister, council [underlined]; interpreter; Regular advisors(s) or assistant(s) to the principal political leader [crossed out] - [altered definition to] Secondary Leaders or functionaries;",
150,1,,,
151,1,Kramer 1963: 274,,
152,1,Kramer 1963: 73,city [underlined],
153,0,,,
154,1,Woolley 1928: 93,Ensi,
155,0,,State city village,
156,1,Woolley 1928: 93,Ensi,
157,0,,(-),
158,1,Woolley 1928: 145,,
159,1,,,
160,0,,and appointed by him [crossed out]; Ensi,
161,1,,"King, En, Ensi, ministers",
162,0,,(-),
163,0,Woolley 1928: 110,It's hard to say one or the other[?]. Social position probably had to do with it but they were also trained as scribes and specialists,
164,0,,,
165,1,,primogeniture except in cases of usurpation,
166,1,Woolley 1928: 138,at certain times,
167,1,Woolley 1928: 112,land given to soldiers,
168,1,Woolley 1928: 93,taken care of in court but ruler is also appealed to,
169,1,,and visa-versa,
170,1,,slaves,
171,1,Kramer 1963: 81,,
172,1,Kramer 1963: 81,,
173,1,Woolley 1928: 39,there were probably a number of soldiers for this purpose - as were found in the royal tombs of Ur,
174,1,Kramer 1963: 140,,
175,1,Kramer 1963: 81,,
176,0,,(-); royal lands,
177,0,,(-); I can find nothing to this effect and I [unreadable] usurpation [unreadable],
178,1,,"crown, scepter, seal [underlined]",
179,1,,seals [underlined],
180,1,Woolley 1928: 32,I would suppose so since [unreadable] deified,
181,0,,they were assumed faithful [unreadable],
182,1,Kramer 1963: 140,New Years ceremonial marriage between king and priestess of Inanna,
183,1,Woolley 1928: 31,,
184,1,,Tombs at Ur; luxury good [crossed out] - [altered definition to] articles of wealth (excluding weapons or utensils of everybody use),
185,1,Woolley 1928: 31,Brick lined shaft,
186,1,Kramer 1963: 129,(Ur),
187,0,,,
188,0,,,
189,1,,,
190,1,Kramer 1963: 57,,
191,0,,,
192,0,,,
193,1,,Edubba for training of scribery,
194,1,Woolley 1928: 94,permanent [crossed out] - [altered definition to] designated agent; (carried out by court officials),
195,1,Woolley 1928: 93,court; also an arbitrator called Mashkim,
196,1,,in court,
197,1,,court,
198,1,Kramer 1963: 86,,
199,1,Woolley 1928: 93,"Mashkim, court, king",
200,1,Woolley 1928: 93,"Political leader(s) exercise supreme judicial power; (decides guilt and decrees punishment, or settles cases appealed to him) [crossed out] - [altered definition to] ie had power or authority to reverse decisions of inferior judges or courts in civil criminal cases",
201,1,Woolley 1928: 93,(+); (I suppose so if he has supreme power),
202,1,,,
203,1,Kramer 1963: 85,,
204,1,Woolley 1928: 96,,
205,1,Kramer 1963: 84,,
206,1,Kramer 1963: 84,Lineage village or sib; including penalty feasts,
207,1,,,
208,1,Kramer 1963: 83; Woolley 1928: 94,,
209,1,,,
210,1,Kramer 1963: 83,I don't know that this was done openly but I guess so since other corporal punishments were,
211,0,,not necessarily; [altered definition to] by a formally designated agent of the society,
212,0,,,
213,0,,,
214,1,,[altered definition to] or prestige considerations,
215,0,,the Ensi is the leader,
216,0,,,
217,0,,,
218,1,Kramer 1963: 74,,
219,1,Woolley 1928: 97,For the middle class,
220,0,,I think there was no doubt of [unreadable] national[?] allegiances,
221,0,Kramer 1963: 74,,
222,1,Woolley 1928: 60,(Late),
223,0,,pass for natives in enemy territory [crossed out]- [altered definition to] who gather strategic information in enemy territory by [unreadable] person,
224,1,Kramer 1963: 74,,
225,1,Kramer 1963: 57,,
226,1,Kramer 1963: 74,Phalynx formation,
227,0,,,
228,1,,infantry and chariot,
229,1,Kramer 1963: 74,,
230,0,,,
231,1,Woolley 1928: 135,,
232,0,,,
233,0,,,
234,0,Woolley 1928: 112,(-); all professional soldiers were given land,
235,1,Kramer 1963: 45,"Gilgamesh became hero through war exploits, also mention of the drive for personal glory through bravery and success in war",
236,1,Woolley 1928: 135,,
237,1,,For slaves,
238,0,,,
239,1,Woolley 1928: 59,,
240,1,,,
241,1,,,
242,0,,,
243,1,,,
244,1,Kramer 1944: 80,"Ninurta, warrior god (Kramer 1944: 80, Summerian Mythology)",
245,1,,,
246,1,Kramer 1963: 114,(does this also include patron gods of cities?),
247,1,Woolley 1928: 127,,
248,1,Kramer 1963: 118-119,An and Enlil,
249,1,Kramer 1963: 122,Utu,
250,1,Kramer 1963: 113,,
251,1,,An- Enlil,
252,1,Kramer 1963: 135,(+); Each temple had a statue of its god to which sacrifices were made,
253,1,Kramer 1963: 135,,
254,0,,,
255,1,Kramer 1963: 135,,
256,1,,priests [underlined],
257,1,,"in the same way that the king was, by temple corvé, laborers + slaves",
258,1,,connected with the city god or gods,
259,1,,(+),
260,1,Kramer 1963: 141,"libation priest, Ishib singer, poet, Gala",
261,1,,"En, Guda, Mah, ishib, gala, mindinger",
262,1,,,
263,1,,,
264,1,Kramer 1963: 76,,
265,1,,priestesses [underlined]; prostitutes; Could be En for a male deity,
266,1,,,
267,1,,And vice-versa,
268,1,Kramer 1963: 264,,
269,1,,,
270,0,,all [underlined] - not of all lands,
271,0,,the only school seems have been that which trained in scribery for any job requiring it,
272,0,,,
273,0,,closed to laymen [underlined],
274,1,Kramer 1963: 137,Temple complex of Nanna at Ur,
275,0,,,
276,1,Kramer 1963: 137,,
277,1,,,
278,1,Woolley 1928: 10,,
279,0,,,
280,0,,,
281,1,Woolley 1928: 187,,
282,1,Kramer 1963: 3,,
283,1,Childe 1966: 125,"(+), an assumption from Childe (1966: 125)",
284,1,,(+),
285,1,,,
286,1,Kramer 1963: 10,"lions, picture",
287,1,,,
288,0,,dearth of stone,
289,1,Woolley 1928: 134; Frankfort 1951: 57,(+); Stelae,
290,1,Kramer 1963: 290,,
291,1,Childe 1966: 149,,
292,1,Kramer 1963: 290,,
293,0,,,
294,1,Kramer 1963: 103,,
295,1,Woolley 1928: 114,for threshing or grinding; mano + metate,
296,0,,(-); Pulley bucket and rope?,
297,1,Kramer 1963: 4,wagons and chariots,
298,1,Kramer 1963: 107,there must have been since there was a standard system of weights,
299,1,Kramer 1963: 104,,
300,1,Kramer 1963: 104,,
301,1,Kramer 1963: 104,wool [underlined],
302,1,Frankfort 1951: 66,,
303,1,,,
304,0,,(-); dyed thread before weaving,
305,1,,(+); primarily for exchange [underlined],
306,1,Kramer 1963: 193,"""Forged the sword…""",
307,0,,,
308,1,Childe 1966: 149,,
309,1,Kramer 1963: 103,,
310,0,Kramer 1963: 4,mined [crossed out]; [altered definition to] indigenous,
311,0,Kramer 1963: 4,mined [crossed out]; [altered definition to] indigenous,
312,0,,mined [crossed out]; [altered definition to] indigenous,
313,1,,"bronze, brass, solder",
314,1,,,
315,1,Kramer 1963: 4,,
316,1,Childe 1966: 149,,
317,1,Kramer 1963: 103,,
318,1,Kramer 1963: 4,Soldering [underlined]; brazing; riveting [underlined],
319,1,Kramer 1963: 103,,
320,1,,,
321,1,,,
322,0,,,
323,1,,,
324,1,,,
325,1,,,
326,1,Kramer 1963: 101,,
327,1,,,
328,1,,,
329,1,Kramer 1963: 104,,
330,1,Kramer 1963: 104,[altered definition to] Not Paddles,
331,1,Kramer 1963: 104,,
332,0,,(-),
333,0,,state [crossed out]; political unit[?],
334,1,Kramer 1963: 104,boat uards too,
335,1,,,
336,1,Kramer 1963: 104,,
337,1,,,
338,1,Kramer 1963: 107,,
339,1,Kramer 1963: 91,,
340,1,Kramer 1963: 91,,
341,1,Kramer 1963: 35,,
342,1,Kramer 1963: 4,,
343,1,,,
344,1,,,
345,1,,[altered definition to] or religious instructors; who are paid for their services; and [unreadable],
346,1,Kramer 1963: 105,,
347,0,,,
348,0,,,
349,0,,,
350,1,Woolley 1928: 111,,
