Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,?; (Including milk products and meat from domestic animals),
003,1,,,
004,1,,,
005,1,,,
006,1,,,
007,1,,"Animals pastured in fields after harvest to enrich soil, but in general, dung is needed for fuel",
008,1,,,
009,1,,,
010,0,,"In mountainous habitat, no need",
011,1,,,
012,0,,But carefully constructed channels to bring water from mountain streams,
013,0,,,
014,1,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,"Not so far as I know, except that most decisions are made through consultations among the village elders",
019,0,,,
020,1,,"Some sheep, milk products, and grain are sold or exchanged for manufactured goods, but arable land is so scarce that there is not much surplus",
021,0,,"If the chief needs anything, he sends out word and people contribute according to their means",
022,1,,"Some orchards reported for the south, but in general arable land is too scarce",
023,1,,,
024,1,,Mostly for milk products,
025,1,,,
026,1,,,
027,1,,,
028,1,,,
029,1,,,
030,1,,"Walled villages are rectangular; in others, houses cluster wall-to-wall along the curve of the lower mountain slope, with a watch tower at the top",
031,1,,"The villages I saw ranged in size from four or five to 80 families (it is customary in this area to count five persons per family). I was told of towns of over 2,000 inhabitants divided into wards, but these may have been in Turkestan, and a recent and uncharacteristic development. I would guess that most villages had fewer than 500 residents.",
032,0,,"The villages I saw ranged in size from four or five to 80 families (it is customary in this area to count five persons per family). I was told of towns of over 2,000 inhabitants divided into wards, but these may have been in Turkestan, and a recent and uncharacteristic development. I would guess that most villages had fewer than 500 residents.",
033,0,,"The villages I saw ranged in size from four or five to 80 families (it is customary in this area to count five persons per family). I was told of towns of over 2,000 inhabitants divided into wards, but these may have been in Turkestan, and a recent and uncharacteristic development. I would guess that most villages had fewer than 500 residents.",
034,0,,I do not think so.,
035,0,,,
036,0,,,
037,0,,,
038,0,,"According to information, a village of any size was divided into wards.",
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,Village mosque,
047,0,,,
048,0,,,
049,0,,[not marked with + nor -] ?; Not specifically for drinking water.,
050,0,,,
051,0,,,
052,0,,Drainpipes extending beyond house roof so that runoff will not erode mud walls of house. This may be recent.,
053,0,,,
054,1,,"Characteristically the village is walled, with dwellings backed against the inside walls. Often there are crenellated towers at the four corners or on each side of the entrance.",
055,1,,,
056,0,,Water too scarce,
057,0,,,
058,1,,"Prosperous families may have a storeroom and stable in addition the family living room. There is a fireplace in the stable, and in severe weather the family live there for the added warmth of the animal heat.",
059,0,,Those I saw were probably recent.,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,Except possibly for millstone,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,"Most buildings are flat-roofed. Dome-shaped roofs of sun-dried brick are reported for Besud, but no details are available concerning the principles of construction.",
074,0,,"Most buildings are flat-roofed. Dome-shaped roofs of sun-dried brick are reported for Besud, but no details are available concerning the principles of construction.",
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,1,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,1,,,
086,1,,,
087,0,,,
088,0,,,
089,1,,Probably less than 20 percent could afford riding horses or copper or brass plates,
090,1,,,
091,0,,,
092,1,,The blacksmith; potters could work only in the summer; carpenters often plied their craft chiefly in the winter months.,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,1,,"Paid in kind, usually at harvest",
099,0,,,
100,0,,,
101,0,,"Not among the Hazaras themselves. Usufruct of land given as security for a loan, usually with an Afghan the creditor.",
102,0,,,
103,1,,"One tribe only, members of whom buy produce in the Hazarajat for sale in Kabul. Most atinerant merchants are foreigners.",
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,1,,"Formal detailed legal contracts are limited to a few types of transactions. In general, the pressure of public opinion insures the honoring of agreements.",
109,0,,,
110,0,,,
111,0,,,
112,1,,The Timuri obtain felt and wool cloth from tribes in the interior instead of making their own. Otherwise there is little or no intercommunity trade within the Hazarajat.,
113,1,,The trips of the Timuri traders between the interior of the Hazarajat and Kabul take more than three days. Otherwise foreign merchants bring goods to the Hazaras.,
114,0,,,
115,0,,,
116,1,,,
117,0,,Only that imposed by the Afghan government.,
118,0,,"Chiefs made their needs known to subchiefs, and so on down the line to village headmen, who did the collecting",
119,0,,,
120,0,,"According to one informant, landless workers tended to stay put in the 19th century, but movement was possible and the relationship seems to have been a paternalistic one far from serfdom. In the 20th century landless workers have moved freely.",
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,1,,"Differences is social status are in general slight, based on economic stability or membership in a chiefly family. There is one group that stands a little apart, the seyyids or half-seyyids--descendants of Muhammed. They live like anyone else, but derive prestige both from their genealogies and from their responsibility of conforming to the Hazara ideal of ethical behavior. For this reason they, like priests, were often called on to arrange a truce between warring factions or otherwise act as intermediaries in situations where the integrity of the agent was essential.",
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,Prosperous families need workers to help in tilling the fields and herding livestock. These need not be permanent.,
135,0,,,
136,0,,,
137,0,,,
138,0,,"Although prosperous families are more likely to be able to hire itinerant Indian musicians for weddings, all members of the community would enjoy the music.",
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,1,,,
145,0,,"There was a more or less permanent organization of subtribes of various levels--a few tribes had tribal chiefs in the 19th century. Chiefs at the various levels could collect revenue, had some judicial functions, and acted as leaders in time of war or in dealing with outsiders. There was little centralized control, however, and the authority of a chief depended largely on his personality and his ability to contribute to the welfare of the group.",
146,0,,,
147,1,,But such decisions were effective only if they met with the approval of the elders.,
148,0,,,
149,1,,"It was pretty informal, but sub-chiefs and elders were consulted.",
150,0,,"The village headman works like any other villager. At higher levels, chiefs are chosen from prosperous families, so that relatives and hired workers can care for the family fields and herds when the chief is busy with his official duties.",
151,0,,,
152,0,,,
153,0,,,
154,1,,,
155,1,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,,
166,0,,,
167,0,,,
168,1,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,(-); Don't know.,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,(-),
191,0,,A principal function of the chief was to deal with relations with other Hazara groups or with the Afghan government,
192,0,,,
193,0,,,
194,0,,(-); It depends on the crime.,
195,1,,,
196,0,,"There was machinery for peaceful settlement of inter-community disputes, but it did not always work. Members of the Uruzgani tribe were particularly prone to fighting.",
197,1,,,
198,1,,"For Muslim law only. For customary law, chiefs hear the evidence and often arrive at a decision through mediation.",
199,1,,"For customary law, the chiefs brought in depend on the affiliations of parties immediately involved.",
200,1,,See [trait] 198 above.,
201,1,,"For first offense, sometimes a lecture instead of punishment.",
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,1,,"Offended party receives compensation, fine goes to chief.",
207,0,,,
208,1,,"For religious crime of drinking alcohol only, a specified number of lashes.",
209,0,,,
210,0,,"I do not think so. Death was the penalty for swearing falsely on the Koran, but supernatural forces took care of that. For murder, the ""family"" (extended kin group) of the victim exacted the penalty.",
211,0,,,
212,0,,,
213,0,,,
214,0,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,(-); Don't know.,
225,0,,"(-); Little hand-to-hand fighting; the Hazaras used firearms or, earlier, bows and arrows. Surprise attacks, but from prepared earthworks or protective rock formations. Having killed as many of the enemy as they could, the attackers retreated when the opportunity presented itself.",
226,0,,,
227,0,,No record of any.,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,0,,,
237,0,,,
238,0,,,
239,0,,"(-); Prisoners were returned, but I don't think that ransom was exacted.",
240,1,,"If the war was specifically over land, presumably the victors would take or keep the land at issue. But no territorial conquests in the usual sense.",
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,,"The Hazaras are Muslims. Prayers are directed to Allah; but I do not think that he is considered as very actively intervening in human affairs. The Hazaras, unlike the Persians, do not attribute every untoward event to ""the will of Allah.""",
246,0,,,
247,0,,,
248,1,,The Koran is the source of many rules of conduct.,
249,0,,,
250,0,,,
251,0,,,
252,0,,,
253,1,,,
254,0,,,
255,1,,,
256,1,,,
257,1,,,
258,1,,,
259,1,,"Priests trained and duly accredited in Meshed, Iran, outside the Hazara community.",
260,1,,"The only functional specialization is that of the qazi, who judges and administers religious law (Islamic law includes a good deal that we would not consider religious).",
261,0,,,
262,1,,,
263,0,,,
264,0,,,
265,0,,,
266,1,,,
267,0,,,
268,0,,,
269,1,,,
270,1,,,
271,1,,Outside the Hazara community,
272,0,,As far as I know the priest does not have rules of fasting or continence much more strict than those of laymen.,
273,0,,,
274,0,,,
275,1,,,
276,1,,,
277,1,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,Recent,
282,1,,,
283,1,,,
284,1,,"(+); Because of the climate, potters can not work in the winter. They are, however, considered professionals by the Hazaras; one potter will supply the needs of a whole village or valley.",
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,But polished stone lamps in decorative forms.,
294,1,,,
295,1,,Water-powered mills.,
296,0,,No need,
297,0,,Mountainous terrain would require excessive expenditure of energy for road-building. It is more efficient to ride or pack animals.,
298,0,,"(-); No specific information. But some measurements given in terms of weight, and balances are used in neighboring areas.",
299,0,,"A stone is used, swung down from roof to get spin.",
300,1,,,
301,1,,,
302,1,,"Not into cloth, but in grain bags and pileless rugs.",
303,1,,,
304,0,,The yarn is dyed before weaving.,
305,0,,,
306,1,,,
307,0,,,
308,0,,,
309,1,,,
310,0,,,
311,0,,Silver and gold worked but not mined.,
312,0,,Iron worked but not mined.,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,1,,,
318,1,,"(+); No specific information; ironsmith formerly made firearms, which would require some kind of joining.",
319,0,,,
320,0,,"Some utensils, but luxury items.",
321,0,,"Some utensils, but luxury items.",
322,1,,,
323,1,,"Among weapons, metal firearms are predominant; among utensils, metal used only for such essential items as adzes, knives, and plow tips; and for certain luxury items.",
324,1,,,
325,1,,The Hazaras have few non-utilitarian objects other than jewelry.,
326,1,,"(+); The only jewelry I saw was of silver, but the use of turquoise and coral is characteristic of the area, and the chief Asiatic sources of turquoise and lapis lazuli are quite near the Hazarajat.",
327,1,,,
328,0,,There is no navigable water in the Hazarajat.,
329,0,,There is no navigable water in the Hazarajat.,
330,0,,There is no navigable water in the Hazarajat.,
331,0,,There is no navigable water in the Hazarajat.,
332,0,,There is no navigable water in the Hazarajat.,
333,0,,There is no navigable water in the Hazarajat.,
334,0,,There is no navigable water in the Hazarajat.,
335,0,,There is no navigable water in the Hazarajat.,
336,0,,There is no navigable water in the Hazarajat.,
337,1,,,
338,0,,"Weight units vary regionally. Other measurements are variable by your definition. This is true of Iran and Afghanistan in general, which have state government, high specialization of occupation, etc., and so would rank much higher on your scale.",
339,1,,Arabic system followed,
340,0,,,
341,1,,,
342,1,,,
343,1,,Arabic script,
344,0,,I think that in the old days only priests knew how to write.,
345,0,,,
346,0,,Probably not,
347,0,,"(-); Since the Hazaras celebrated Nau Ruz (New Year) and several Muslim festivals, one would infer that some individuals--probably the priests--made the astronomical observations necessary to fix the dates of these festivals. Nau Ruz is based on the Persian solar calendar, and the animal cycle of years is attached to this. Muslim festivals are based on the Arabic lunar calendar.",
348,1,,"Persian and Arabic calendric systems present in culture, but not much used except for fixing religious festivals.",
349,0,,Census taking is not characteristic of this part of the world. The Afghan government has never attempted one.,
350,1,,,
351,0,,,
352,0,,Fermented beverages forbidden by Islamic religion.,
353,0,,"The Hazarajat never had a centralized administration. Within an area under a chief, whether tribal or subtribal, there was an effective system of communication, by drum signals and messengers, to alert the people and in times of crisis.",
354,0,,The professional musicians hired for weddings were itinerant aliens.,
