Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,Kenyon 1957: 76,(+),
002,1,Kenyon 1957: 74,(+),
003,1,Kenyon 1957: 74-75,(+),
004,0,,(-) ?,
005,1,Kenyon 1957: 56-57,"Flint Sickle blades - No axes, adzes, picks or hoes; possible stone weights for digging",
006,0,,,
007,0,,(-) ?,
008,0,,(-) ?,
009,1,Kenyon 1957: 74-75,(+),
010,0,,,
011,1,Kenyon 1957: 74-75,(+),
012,0,Kenyon 1957: 55-56,,
013,0,,,
014,1,,(+) ?,
015,0,,"(-); kinship group, tribe",
016,0,,(-),
017,0,,(-),
018,0,,(-),
019,0,,(-),
020,0,,(-),
021,0,,(-),
022,0,,(-) ?,
023,1,Kenyon 1960: 50,(+); evidence for goat domesticated,
024,1,,(+),
025,0,,(-),
026,0,,(-),
027,0,,(-),
028,1,,,
029,1,,,
030,0,,(-) ?,
031,1,,,
032,1,,,
033,1,Kenyon 1957: 65,town - 8 acres - modern 8 acre town averages 3000 people,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,(-),
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,Kenyon 1957: 59,(+),
047,0,,,
048,0,,,
049,0,,,
050,0,Kenyon 1957: 56,"?; ""One house had a line of narrow, deep vats along its outer wall, which probably served to store rain-water."" (not [unreadable])",
051,0,,,
052,1,Kenyon 1957: 52,,
053,0,,,
054,1,Kenyon 1957: 66-67,,
055,1,,,
056,0,,,
057,0,,,
058,1,Kenyon 1957: 54,,
059,0,Kenyon 1957: 55,,
060,0,,,
061,1,Kenyon 1957: 55,,
062,0,,,
063,0,,,
064,1,"Kenyon 1957: 66,68",wall tower,
065,0,,,
066,0,,,
067,1,"Kenyon 1957: 55,67","(+); most walls have, [unreadable]",
068,0,Kenyon 1957: 55,,
069,0,Kenyon 1957: 55,,
070,1,Kenyon 1957: 55,,
071,0,"Kenyon 1957: 55,57",?; [unreadable],
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,1,Kenyon 1957: 68,in tower,
077,0,,,
078,1,Kenyon 1957: 68,ditch [unreadable],
079,1,,,
080,1,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,(+),
085,0,,,
086,1,,(+),
087,0,,,
088,0,,,
089,0,,,
090,1,,(+),
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,?,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,Kenyon 1957: 76,,
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,1,,(+),
122,0,,,
123,0,,,
124,1,,(+),
125,0,,,
126,1,,(+),
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,1,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,(+),
148,1,,,
149,1,,(+),
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,(+),
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,1,,permanent [crossed out] - designated agent,
195,1,,,
196,0,,,
197,1,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,1,,,
207,1,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,1,Kenyon 1957: 75,(+); (defending town - [unreadable]),
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,0,,,
237,1,,,
238,0,,,
239,0,,,
240,0,Kenyon 1957: 75,?; [unreadable],
241,0,,,
242,0,,,
243,0,,,
244,0,,,
