Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,Drucker 1951: 57,only agriculture of European introduction,
002,0,Drucker 1951: 57,,
003,0,,(-),
004,0,Drucker 1951: 57,,
005,0,Drucker 1951: 57,"potatoes dug ""like any other root"" with digging stick",
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,Drucker 1951: 40,"Political [underlined]; agricultural [underlined]; chiefs in fishing, yes, for migrations, yes",
019,0,,,
020,0,,[not marked with + nor -],
021,0,,,
022,0,Drucker 1951: 57,,
023,1,Drucker 1951: 109,"?; pets crows, seagulls",
024,0,Drucker 1951: 109,rarely were animals used – dogs,
025,0,Drucker 1951: 109,rarely were animals used – dogs,
026,0,Drucker 1951: 109,rarely were animals used – dogs,
027,0,Drucker 1951: 109,rarely were animals used – dogs,
028,1,Drucker 1951: 59,seasonal changes of residence between permanent communities,
029,1,Drucker 1951: 59,"not year-round but otherwise, yes",
030,0,Sproat 1868: 39; Bancroft 1875: 183,[not marked with + nor -] ?; a row of dwellings (Sproat 1868: 39); houses placed regularly along streets (Bancroft 1875: 183),
031,1,,,
032,0,,[not marked with + nor -] ?,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,chief mode of travel was canoe,
043,0,,chief mode of travel was canoe,
044,0,,chief mode of travel was canoe,
045,0,,,
046,0,Sproat 1868: 271,"secret fraternity ""in a house covered round in the inside with mats""",
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,1,Drucker 1951: 69; Service 1958: 210,"extensively [underlined]; carved [underlined]; steel ax, knife, adz from Ocean trade w/ whites created ""a great efflorescence"" of wood carving (Service 1958: 210)",
058,0,Sproat 1868: 42; Drucker 1951: 72,functional differentiation [underlined]; separation of nuclear family units (Sproat 1868: 42); de emphasized by Drucker (1951: 72),
059,0,,,
060,0,,,
061,0,,,
062,0,Drucker 1951: 69,wood,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,Drucker 1951: 70,planks [underlined],
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,Drucker 1951: 273,full-time [underlined]; discussion of specialists in Drucker (1951: 273),
084,0,,"?; improved [underlined]; no ""improvement"" of land; Inherited jurisdiction over economic resources – fishing, hunting, gathering grounds – but kinsmen may[?] use the resource",
085,0,Sproat 1868: 259,"personal effects given away before death or buried with corpse except best canoes, house plank, tools, weapons",
086,1,Service 1958: 221,"gradual ""inheriting"" of ceremonial privileges by means of potlatches",
087,0,Service 1958: 221,"gradual ""inheriting"" of ceremonial privileges by means of potlatches",
088,1,,,
089,1,Drucker 1963: 89,"slaves, extra wives, p. ?",
090,1,Drucker 1951: 273,,
091,1,Drucker 1951: 273,"exchange [underlined]; most men had a craft, were ""specialists"" of some sort",
092,0,Drucker 1951: 273,full-time [underlined],
093,0,,,
094,0,Drucker 1951: 273,,
095,0,Drucker 1963: 42,State [underlined],
096,0,Drucker 1951: 272,"regular [underlined]; ""pay in kind for labor""",
097,0,Drucker 1951: 253-254,chief may send commoner out to hunt if he needs game for a feast,
098,0,,pre-arranged rates and intervals [underlined],
099,1,Bancroft 1875: 191,blankets,
100,0,,no,
101,0,,(-),
102,0,,,
103,0,Service 1958: 217-218; Sproat 1868: 78,"Not markets but gift-giving is the mode of exchange (Service 1958: 217-218); exchange of slaves, canoes, food, clothing ornament (Sproat 1868: 78)",
104,0,Service 1958: 217-218; Sproat 1868: 78,"Not markets but gift-giving is the mode of exchange (Service 1958: 217-218); exchange of slaves, canoes, food, clothing ornament (Sproat 1868: 78)",
105,0,Service 1958: 217-218; Sproat 1868: 78,"Not markets but gift-giving is the mode of exchange (Service 1958: 217-218); exchange of slaves, canoes, food, clothing ornament (Sproat 1868: 78)",
106,0,Service 1958: 217-218; Sproat 1868: 78,"Not markets but gift-giving is the mode of exchange (Service 1958: 217-218); exchange of slaves, canoes, food, clothing ornament (Sproat 1868: 78)",
107,0,Service 1958: 217-218; Sproat 1868: 78,"Not markets but gift-giving is the mode of exchange (Service 1958: 217-218); exchange of slaves, canoes, food, clothing ornament (Sproat 1868: 78)",
108,0,,,
109,0,,,
110,0,Drucker 1951: 177,"for hair seals killed, wealth not mentioned specifically",
111,0,,(-),
112,1,Drucker 1951: 272; Sproat 1868: 19,of slaves (Drucker 1951: 272); of articles made especially by other tribes (Sproat 1868: 19),
113,0,,[not marked with + nor -] ?,
114,0,,,
115,0,,,
116,1,"Drucker 1951: 42,252; Bancroft 1875: 194",?; Drucker (1951: 42)?; state [underlined]; no taxes (Bancroft 1875: 194),
117,0,Bancroft 1875: 194,no money,
118,0,Bancroft 1875: 194,,
119,0,,,
120,0,,,
121,1,Drucker 1951: 272,,
122,0,Service 1958: 215; Drucker 1951: 391,Nootkans captured in inter-tribal wars (Drucker 1951: 391),
123,1,Drucker 1951: 272,,
124,1,Drucker 1951: 73,segments [underlined]; lineages [underlined]; tribes,
125,1,"Drucker 1951: 73,220-221,274","not distinguished terminologically in Nootka. Simpler polities; lineage ""local group"" – family of chiefs who owned territorial rights, houses, privileges. Not usually autonomous – descent from common ancestor according to tradition but hard to trace; tribe – formally united group of lineages at a single winter site – great houses – important ceremonies; confederacy – union of tribes at summer site – war + ceremonies",
126,1,Drucker 1951: 243; Service 1958: 215,"yes, slavery",
127,1,Service 1958: 215; Drucker 1951: 244; Sproat 1868: 115,"Service (1958: 215): not strata  but series of individual status positions in ranked order; Drucker (1951: 244): chiefs, commoners, slaves; among chiefs some are called ""high chiefs"" others ""half chiefs"" or ""small chiefs"" (Sproat 1868: 115)",
128,1,Drucker 1951: 245,?,
129,1,"Drucker 1951: 101,139",,
130,0,Service 1958: 216; Bancroft 1875: 180-182; Sproat 1868: 25; Drucker 1951: 101,"paint, robe color (Bancroft 1875: 180-182); wool only for chiefs (Drucker 1951: 101) – on ordinary occasions no class differences in dress (Sproat 1868: 25)",
131,0,Drucker 1951: 279,,
132,1,Drucker 1951: 247,,
133,0,Service 1958: 216,"?; ""tributes"" by lower status kinsmen who use resources ""owned"" by higher status kinsman but the latter has no power to enforce ""tribute."" He will redistribute such wealth",
134,1,Drucker 1951: 272,?; slave assigned as companion to chief’s child,
135,0,Drucker 1951: 301; Sproat 1868: 100; Service 1958: 221,"usually [underlined]; ""Polygyny is sometimes practiced by important chiefs"" (Service 1958: 221); see Drucker (1951: 301): ""all his wives"" – ""several"";  ""seldom more than one"" (Sproat 1868: 100)",
136,0,,(-),
137,0,Drucker 1951: 271,clowns? at feasts,
138,0,,(-),
139,1,Drucker 1951: 149,,
140,0,Service 1958: 221; Bancroft 1875: 205,"?; possessions of deceased are given away or destroyed (Service 1958: 221); chiefs buried w/ skins, blankets and large amounts of other property – or these are burned w/ him or hung about his box (Bancroft 1875: 205)",
141,0,"Drucker 1951: 147,272-273",?; slaves [underlined],
142,0,Drucker 1951: 147,,
143,0,Drucker 1951: 220,"year-round < - no; ""tribe based"" on winter residence, confederacy based on common summer residence – unit for war",
144,0,,,
145,0,,centralized control [underlined],
146,0,,,
147,1,Drucker 1951: 244,policy [underlined]; a [underlined] formally recognized agent - chiefs,
148,1,Drucker 1951: 265,,
