Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,Pospisil 1963: 376-377,,
003,1,Pospisil 1963: 181; Pospisil 1958: 68,harvest – 8+ yrs fallow – for mountains[?] (Pospisil 1963: 181),
004,1,Pospisil 1963: 110ff,planting in rows,
005,0,"Pospisil 1963: 97,101,103",spade like tool,
006,0,,,
007,1,Pospisil 1963: 81,compost [underlined],
008,1,"Pospisil 1963: 83,120-122",,
009,0,Pospisil 1958: 69,"drainage but not to increase area, seemingly – to keep crop from rotting",
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,"Pospisil 1963: 86,93ff",,
015,0,,,
016,0,,,
017,0,,,
018,0,,landlord does,
019,0,,,
020,0,Pospisil 1963: 374,mostly for pig fodder,
021,0,,,
022,0,Pospisil 1963: 108,"fruit trees, but seemingly not separate",
023,1,Pospisil 1963: 203ff,pig,
024,1,Pospisil 1963: 203ff,pig,
025,0,,,
026,0,,,
027,0,,,
028,1,Pospisil 1963: 37,,
029,1,Pospisil 1963: 37,,
030,0,Pospisil 1963: 37,,
031,1,Pospisil 1963: 37,,
032,0,Pospisil 1963: 57,Botukebo is the largest village in the confederacy (181 residents),
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,"Pospisil 1963: 86,264",rattan vines,
045,0,,,
046,1,Pospisil 1963: 329-330,feast houses,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
061,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
062,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
063,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
064,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
065,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
066,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
067,0,Pospisil 1963: 251,"no stone, mud or turf for construction",
068,0,,,
069,0,,,
070,0,,,
071,0,Pospisil 1963: 251-252,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,Pospisil 1963: 315-316,,
085,0,,,
086,1,,,
087,1,Pospisil 1963: 359; Pospisil 1958: 60,,
088,1,Pospisil 1963: 385-386,,
089,0,,,
090,0,Pospisil 1963: 298,?,
091,0,,,
092,0,Pospisil 1963: 298,semi-specialists,
093,0,Pospisil 1963: 326,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,"Pospisil 1963: 154,325",,
099,1,"Pospisil 1963: 190,291",,
100,0,Pospisil 1963: 190,,
101,1,"Pospisil 1963: 215,297",interest not legally collectable on pure monetary loans,
102,1,Pospisil 1963: 191,,
103,1,"Pospisil 1963: 334-335,337-338",intertribal trade,
104,0,,,
105,1,Pospisil 1963: 329,pig feast markets,
106,0,,,
107,0,,,
108,1,"Pospisil 1963: 213,217",contractual breeding of pigs,
109,0,,,
110,0,,,
111,0,,,
112,1,"Pospisil 1963: 249,300",,
113,1,"Pospisil 1963: 308,338-339,401",?,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,Pospisil 1963: 403,,
121,0,Pospisil 1963: 403,,
122,0,Pospisil 1963: 403,,
123,0,Pospisil 1963: 403,,
124,1,,"lineages, sibs [underlined]",
125,1,,,
126,1,,by wealth,
127,0,,,
128,0,,,
129,0,Pospisil 1963: 361,,
130,0,,moral sumptuary laws but not maintaining class distinctions,
131,0,Pospisil 1963: 259,,
132,0,,,
133,0,,,
134,0,,,
135,0,Pospisil 1958: 59,no,
136,0,,,
137,0,,,
138,0,,,
139,1,Pospisil 1963: 265; Pospisil 1958: 20,Burial proportional to importance (Pospisil 1958: 20),
140,0,,,
141,0,,,
142,0,Pospisil 1958: 21,plank houses on stilts,
143,1,,,
144,0,,,
145,0,,,
146,0,,,
147,1,Pospisil 1958: 82,,
148,0,,,
149,1,Pospisil 1958: 59,don’t seem regular; as[?] to be revised,
150,0,,?,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,1,Pospisil 1963: 37; Pospisil 1958: 107,"?; other wealthy men do, too",
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,Pospisil 1963: 265; Pospisil 1958: 21,seems general to rich men,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,1,,,
196,1,"Pospisil 1958: 191,193",between villages; war with Wa-Ti confed. enemy,
197,1,Pospisil 1958: 152ff,,
198,0,,,
199,0,,,
200,1,"Pospisil 1958: 154,160; Pospisil 1963: 393","or family? (Pospisil 1958: 154,160)",
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,1,,,
206,0,Pospisil 1958: 153,paid to defendant directly,
207,0,"Pospisil 1958: 97,198; Pospisil 1963: 360","seizure of property, but not by a central agency (Pospisil 1963: 360)",
208,0,Pospisil 1958: 77,?,
209,0,,,
210,0,"Pospisil 1958: 77,146",?; family,
211,0,Pospisil 1958: 157,?,
212,0,,,
213,0,,,
214,0,Pospisil 1958: 56,,
215,0,Pospisil 1958: 90,?; regular [underlined] - doesn’t seem regular,
216,0,,,
217,0,,,
218,0,Pospisil 1958: 42,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,Pospisil 1958: 284,body shield,
225,1,Pospisil 1963: 92,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,0,,,
237,0,Pospisil 1963: 403,,
238,0,Pospisil 1963: 403,,
239,0,Pospisil 1963: 403,,
240,0,Pospisil 1958: 93,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,Pospisil 1963: 389; Pospisil 1958: 26,intervene (Pospisil 1963: 389); prayers of shaman to creator (Pospisil 1958: 26),
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,Pospisil 1963: 389,"only to the extent of water spirits, sun + moon dual deity",
251,0,,,
252,0,,,
253,1,Pospisil 1958: 25-26,,
254,0,,,
255,0,,,
256,1,Pospisil 1958: 24,,
257,0,"Pospisil 1958: 25,29",?; wealthy already,
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,0,Pospisil 1958: 256,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,"Pospisil 1963: 277,279",chipped flint knife; polished stone tools,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,0,Pospisil 1963: 256,,
302,0,Pospisil 1963: 256,,
303,0,Pospisil 1963: 256,,
304,0,Pospisil 1963: 256,,
305,0,Pospisil 1963: 256,,
306,0,Pospisil 1963: 256,,
307,0,Pospisil 1963: 256,,
308,0,Pospisil 1963: 256,,
309,0,Pospisil 1963: 256,,
310,0,Pospisil 1963: 256,,
311,0,Pospisil 1963: 256,,
312,0,Pospisil 1963: 256,,
313,0,Pospisil 1963: 256,,
314,0,Pospisil 1963: 256,,
315,0,Pospisil 1963: 256,,
316,0,Pospisil 1963: 256,,
317,0,Pospisil 1963: 256,,
318,0,Pospisil 1963: 256,,
319,0,Pospisil 1963: 256,,
320,0,Pospisil 1963: 256,,
321,0,Pospisil 1963: 256,,
322,0,Pospisil 1963: 256,,
323,0,Pospisil 1963: 256,,
324,0,Pospisil 1963: 256,,
325,0,Pospisil 1963: 256,,
326,0,"Pospisil 1963: 256,275-276",shells + bone,
327,0,Pospisil 1963: 256,,
328,1,Pospisil 1963: 222,canoe,
329,0,,dugout canoe,
330,0,Pospisil 1958: 43,,
331,0,Pospisil 1958: 43,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,0,Pospisil 1963: 364,seems no need to boil it,
338,0,,,
339,1,Pospisil 1963: 402,,
340,0,,,
341,0,,simple [tick],
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,Pospisil 1963: 278,"removal of arrows, bloodletting [underlined]",
351,0,,,
352,0,,,
353,0,,,
354,0,,,
