Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,,,
002,1,,,
003,1,,,
004,1,,,
005,0,,spades recently introduced. Recent traits (since 1933) not scored,
006,0,,,
007,1,,,
008,1,,,
009,1,,some,
010,1,,some,
011,0,,,
012,0,,,
013,0,,,
014,1,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,1,,"the surplus is consumed by pigs. Any people who live in some kind of occasional, unpredictable, climate-crisis environment and who do not produce some regular surplus are in for trouble.",
021,0,,,
022,1,,,
023,1,,,
024,1,,,
025,0,,,
026,0,,,
027,0,,,
028,1,,,
029,1,,,
030,0,,,
031,1,,,
032,1,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,1,,,
047,0,,a dance ground where spectators watch from the edge?,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,1,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,1,,,
085,0,,,
086,1,,,
087,0,,,
088,1,,,
089,0,,,
090,1,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,very slight,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
113,0,,infrequent,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,,
125,1,,,
126,1,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,1,,,
144,0,,,
145,0,,,
146,0,,,
147,0,,,
148,0,,,
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,"Some important men have as many as 10 wives but their position does not correspond completely with the accepted sense of ""chief"".",
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,0,,,
196,0,,,
197,0,,,
198,0,,,
199,0,,,
200,0,,,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,1,,Non-economic considerations likely to trigger war only where acquisition of territory is involved.,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,Although occasionally someone would capture and keep a woman.,
235,0,,,
236,0,,,
237,0,,,
238,0,,,
239,0,,,
240,1,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,0,,,
246,0,,,
247,0,,,
248,0,,,
249,0,,,
250,0,,,
251,0,,"But one supernatural being, more effective than others, is propitiated because she can intercede with or reach the ancestors.",
252,0,,,
253,1,,,
254,0,,,
255,1,,,
256,1,,,
257,0,,,
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,1,,Not a full-time specialist,
273,0,,,
274,0,,"Only on a clan-wide basis, not society-wide",
275,1,,,
276,0,,,
277,0,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,1,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,1,,"Fur is induced into the fiber to form a pattern, i.e., stripes. Fabric-making process however is not true weaving but is netting -- one yarn.",
302,1,,See note [trait] 301.,
303,0,,"See note [trait] 301. These garments very scanty--wig covers, apron-like pieces looped over the belt in front, carrying bags.",
304,0,,,
305,0,,,
306,0,,,
307,0,,,
308,0,,,
309,0,,,
310,0,,,
311,0,,,
312,0,,,
313,0,,,
314,0,,,
315,0,,,
316,0,,,
317,0,,,
318,0,,,
319,0,,,
320,0,,,
321,0,,,
322,0,,,
323,0,,,
324,0,,,
325,0,,,
326,0,,,
327,0,,,
328,0,,,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,0,,Neither. Water is not boiled.,
338,0,,,
339,1,,"Extendable, with basic units of ""42"" and ""24""--thus, separate lexemes for ""24"", ""48"", ""72""--no theoretical limitations of system but for very high numbers would get awkward.",
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,0,,,
353,0,,,
354,0,,,
