Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,Newcomb 1956: 13,,
002,0,"Newcomb 1956: 13,21",,
003,0,Newcomb 1956: 14,(-),
004,1,Newcomb 1956: 13,"""hoe culture""",
005,1,Newcomb 1956: 13,,
006,0,Newcomb 1956: 13,,
007,1,Newcomb 1956: 14,fish fertilizer,
008,0,Newcomb 1956: 14,"""garden plots moved after soil exhausted""",
009,0,Newcomb 1956: 14,(-),
010,0,Newcomb 1956: 14,(-),
011,0,Newcomb 1956: 14,(-),
012,0,Newcomb 1956: 14,(-),
013,0,Newcomb 1956: 14,(-),
014,0,,no info; [not marked with + nor -],
015,0,,(-),
016,0,Driver [?]: 254,,
017,0,Driver [?]: 254,(-),
018,0,,(-),
019,0,,(-),
020,0,Newcomb 1956: 19,,
021,0,Newcomb 1956: 20,,
022,0,Newcomb 1956: 13,,
023,0,Newcomb 1956: 22,,
024,0,Newcomb 1956: 22,,
025,0,Newcomb 1956: 22,,
026,0,Newcomb 1956: 22,,
027,0,Newcomb 1956: 22,,
028,1,Newcomb 1956: 24,,
029,0,Newcomb 1956: 24,,
030,0,Newcomb 1956: 24,(-),
031,1,Newcomb 1956: 24,"""several hundred men strong""",
032,1,Newcomb 1956: 24,,
033,0,Newcomb 1956: 24,,
034,0,Newcomb 1956: 24,,
035,0,Newcomb 1956: 24,,
036,0,Newcomb 1956: 24,,
037,0,Newcomb 1956: 24,,
038,0,Newcomb 1956: 24,,
039,0,Newcomb 1956: 24,,
040,0,Newcomb 1956: 24,,
041,0,Newcomb 1956: 24,,
042,0,Newcomb 1956: 24,,
043,0,Newcomb 1956: 24,,
044,0,Newcomb 1956: 24,,
045,0,Newcomb 1956: 24,,
046,1,Harrington 1921: 130,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,Newcomb 1956: 24,,
055,0,,,
056,0,Newcomb 1956: 24,,
057,0,Newcomb 1956: 25,,
