Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,Blackwood 1935: 4,cultivation of gardens,
002,1,"Blackwood 1935: 27,298","taro mainly; relish of fish, etc.",
003,0,Blackwood 1935: 298,shifting cultivation,
004,0,,,
005,0,Blackwood 1935: 298,stick,
006,0,,,
007,0,Blackwood 1935: 298,,
008,0,Blackwood 1935: 298,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,1,"Blackwood 1935: 272,299,453","fencing around total garden plot, logs between parts",
015,0,,(-),
016,0,Blackwood 1935: 452,,
017,0,,?,
018,0,"Blackwood 1935: 30,302",no real agricultural cycle – plant use[?] as needed[?]; new taro garden ceremony - ?,
019,0,,,
020,0,Blackwood 1935: 298,at certain times; prepared taro – not kept beyond 24 hrs,
021,0,,,
022,1,"Blackwood 1935: 11,280-281,311","cultivate coco-nut palms, etc.; gathering of fruit; bananas-plant in clearings",
023,1,Blackwood 1935: 13,pigs,
024,1,,"wild pigs generally used for food, domesticated pigs used mainly as status symbol",
025,0,Blackwood 1935: 13,,
026,0,Blackwood 1935: 13,,
027,0,Blackwood 1935: 13,,
028,1,,(+),
029,0,Blackwood 1935: 18,apt to be changed,
030,0,Blackwood 1935: 19n,apt to be changed,
031,1,Blackwood 1935: 24,Kurtatchi – 136 people,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,(-),
043,0,,,
044,0,,,
045,0,,,
046,1,Blackwood 1935: 21,men’s house [tick],
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,Blackwood 1935: 21,"fences around, except where face shore; recent",
055,0,,,
056,0,,,
057,0,,,
058,0,Blackwood 1935: 23,,
059,0,,,
060,0,Blackwood 1935: 382ff,,
061,0,Blackwood 1935: 382ff,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,Blackwood 1935: 22,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,"Blackwood 1935: 302,452",village ownership[?]; personal property for shifting cultivation,
085,0,,,
086,0,"Blackwood 1935: 81,458,460,486",ceremonial currency often inherited,
087,0,Blackwood 1935: 81,Blackwood (1935: 81) ?,
088,0,,(-),
089,0,,,
090,0,,,
091,0,,,
092,0,,,
093,0,"Blackwood 1935: 52,312-313,336,426ff,467",rain-maker; doesn’t seem full time; medicine man; cicatrization; “doctor man”,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,Blackwood 1935: 452,seems post-contact,
099,0,"Blackwood 1935: 90,95,97,428,441,445,449","trade beads, once dogs’ teeth; fish-taro rates[?]; ceremonial shell currency (beroan), pig; buying and selling –  usually by barter; imun?; variety",
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,"Blackwood 1935: 16,26,439",,
113,0,"Blackwood 1935: 17,381-382",but Kurtatchi?,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,Blackwood 1935: 43,only war captives are children -> adopted,
122,0,,,
123,0,,,
124,1,Blackwood 1935: 32ff,,
125,1,"Blackwood 1935: 16,45-46,81","exogamous village – but ... children often with mother’s brother >>[?] power; matrilocal [unreadable]; heredity in female line; succession by matrilineal, inheritance by both",
126,1,"78-79,198,426",cicatrization; tsunaun + commoners; puberty ceremonies of tsunaun; appoint amro,
127,0,Blackwood 1935: 2,,
