Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,Speck 1940: 91,,
002,0,Speck 1940: 91-92,,
003,0,,(-); ground turned only,
004,1,,,
005,0,,ground turned only,
006,0,,,
007,1,Speck 1940: 92,dead fish + refuse,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,Speck 1940: 104,,
016,0,Speck 1940: 104,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,0,,,
026,0,,,
027,0,,,
028,1,Speck 1940: 25,,
029,1,Speck 1940: 25,,
030,0,,,
031,1,,(+),
032,0,,(-),
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,Speck 1940: 28,,
058,0,Speck 1940: 28,,
059,0,Speck 1940: 28,,
060,0,Speck 1940: 28,,
061,0,Speck 1940: 28,,
062,0,Speck 1940: 28,,
063,0,Speck 1940: 28,,
064,0,Speck 1940: 28,,
065,0,Speck 1940: 28,,
066,0,Speck 1940: 28,,
067,0,Speck 1940: 28,,
068,0,Speck 1940: 28,,
069,0,Speck 1940: 28,,
070,0,Speck 1940: 28,,
071,0,Speck 1940: 28,,
072,0,Speck 1940: 28,,
073,0,Speck 1940: 28,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,1,,(+),
087,0,,,
088,0,,,
089,0,,,
090,0,,(-),
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,Speck 1940: 255,,
100,0,Speck 1940: 255,,
101,0,Speck 1940: 255,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,0,,[not marked with + nor -]; no info,
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,0,Speck 1940: 203,,
125,0,Speck 1940: 203,,
126,0,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,Speck 1940: 239,,
148,1,Speck 1940: 239,,
149,1,Speck 1940: 239,,
150,0,,(-),
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,Speck 1940: 239,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,Speck 1940: 239,hereditary,
166,0,Speck 1940: 239,[not marked with + nor -]; no info on deposes,
167,0,,(-),
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,1,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,1,Speck 1940: 202[?],(+),
191,0,,,
192,0,,,
193,0,,,
194,0,Speck 1940: 239,crime occasionally referred to chief,
195,1,Speck 1940: 239,chief settles disputes,
196,0,,customarily [underlined] - ?,
197,1,,,
198,0,,,
199,0,,,
200,1,Speck 1940: 239,,
201,0,Speck 1940: 239,,
202,0,,,
203,0,,,
204,0,,(-),
205,0,,[not marked with + nor -]; no info; chief,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,0,Speck 1940: 188,(-),
215,0,Speck 1940: 190,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,Speck 1940: 189-194,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,[not marked with + nor -]; no info,
234,0,,,
235,0,,,
236,1,Speck 1940: 189,"head, scalps",
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,Vetromile 1866: 60,,
246,0,,,
247,0,,,
248,0,,,
249,1,Vetromile 1866: 61,,
250,0,Vetromile 1866: 60,pantheon of spirits,
251,0,,(-),
252,0,,,
253,1,Vetromile 1866: 63,,
254,0,,,
255,0,,,
256,1,,,
257,0,,,
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,0,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,[not marked with + nor -]; no info,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,,,
300,0,,,
301,1,Speck 1940: 134,,
302,0,,,
303,0,,,
304,0,Speck 1940: 137,,
305,0,,,
306,0,Speck 1940: 154,no pre-European metalworking,
307,0,,no pre-European metalworking,
308,0,,no pre-European metalworking,
309,0,,no pre-European metalworking,
310,0,,no pre-European metalworking,
311,0,,no pre-European metalworking,
312,0,,no pre-European metalworking,
313,0,,no pre-European metalworking,
314,0,,no pre-European metalworking,
315,0,,no pre-European metalworking,
316,0,,no pre-European metalworking,
317,0,,no pre-European metalworking,
318,0,,no pre-European metalworking,
319,0,,no pre-European metalworking,
320,0,,no pre-European metalworking,
321,0,,no pre-European metalworking,
322,0,,no pre-European metalworking,
323,0,,no pre-European metalworking,
324,0,,no pre-European metalworking,
325,0,,no pre-European metalworking,
326,0,,no pre-European metalworking,
327,0,,no pre-European metalworking,
328,1,,birch bark canoes,
329,0,,,
330,0,,,
331,0,,,
332,0,,,
333,0,,,
334,0,,,
335,0,,,
336,0,,,
337,0,Speck 1940: 102,,
338,0,,,
339,0,Speck 1940: 266,,
340,0,Speck 1940: 266,,
341,1,Speck 1940: 198,Wampum records,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,0,,,
353,0,,,
354,0,,,
