Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,Gatschet 1891: 59,,
002,0,Gatschet 1891: 59,,
003,0,Gatschet 1891: 59,,
004,0,Gatschet 1891: 59,,
005,0,,,
006,0,Gatschet 1891: 59-60,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,no agricultural land,
016,0,,no agricultural land,
017,0,,no agricultural land,
018,0,,no such cycle,
019,0,,no seeds nor tools,
020,0,Newcomb 1961: 66-67,,
021,0,Newcomb 1961: 66-67,,
022,0,Schaedel 1949: 135,no mention of planting,
023,0,Gatschet 1891: 60; Schaedel 1949: 135,used horses 1670 but did not build economy around them (Schaedel 1949: 135),
024,0,Gatschet 1891: 60,,
025,0,Gatschet 1891: 60,,
026,0,Gatschet 1891: 60,,
027,0,Gatschet 1891: 60,,
028,0,Newcomb 1961: 66,"nomadic, though returning year after year to same campsite",
029,0,Newcomb 1961: 66,,
030,0,,no settlements,
031,0,Newcomb 1961: 70,,
032,0,Newcomb 1961: 70,,
033,0,Newcomb 1961: 70,,
034,0,Newcomb 1961: 70,,
035,0,Newcomb 1961: 70,,
036,0,Newcomb 1961: 70,,
037,0,Newcomb 1961: 70,,
038,0,Newcomb 1961: 70,,
039,0,Newcomb 1961: 70,,
040,0,,,
041,0,,,
042,0,Schaedel 1949: 122; Gatschet 1891: 60,mobility based on canoe,
043,0,Schaedel 1949: 122; Gatschet 1891: 60,mobility based on canoe,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,,
049,0,,,
050,0,,asphaltum used to waterproof pottery,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,Gatschet 1891: 62,,
058,0,Schaedel 1949: 122,description of construction of dwelling – no mention of separation,
059,0,Schaedel 1949: 122,description of construction of dwelling – no mention of separation,
060,0,Gatschet 1891: 62-63,,
061,0,Gatschet 1891: 62-63,,
062,0,Gatschet 1891: 62-63,,
063,0,Gatschet 1891: 62-63,,
064,0,Gatschet 1891: 62-63,,
065,0,Gatschet 1891: 62-63,,
066,0,Gatschet 1891: 62-63,,
067,0,Gatschet 1891: 62-63,,
068,0,Gatschet 1891: 62-63,,
069,0,Gatschet 1891: 62-63,,
070,0,Gatschet 1891: 62-63,,
071,0,Gatschet 1891: 62-63,,
072,0,Gatschet 1891: 62-63,,
073,0,Gatschet 1891: 62-63,,
074,0,Gatschet 1891: 62-63,,
075,0,Gatschet 1891: 62-63,,
076,0,Gatschet 1891: 62-63,,
077,0,Gatschet 1891: 62-63,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,Schaedel 1949: 126,?; some woodworking; doubt full-time,
084,0,,no mention,
085,0,,no writing?,
086,0,Newcomb 1961: 75,(-); few ornaments buried with the person,
087,0,,,
088,0,,,
089,0,,,
090,0,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,not large enough group of artisans,
095,0,,doubt existence of such institutions,
096,0,,doubt existence of such institutions,
097,0,,,
098,0,,no mention of money,
099,0,,no mention of money,
100,0,,no mention of money,
101,0,,no mention of money,
102,0,,[not marked with + nor -]; no evidence of land owning,
103,0,,[not marked with + nor -]; ?,
104,0,,?; not enough accumulation of goods,
105,0,,?; not enough accumulation of goods,
106,0,,?; not enough accumulation of goods,
107,0,,[not marked with + nor -],
108,0,,?; no writing?,
109,0,,?; no writing?,
110,0,,[not marked with + nor -]; ?,
111,0,,?; what wealth?,
112,0,,(-),
113,0,Newcomb 1961: 70,unfriendly relations w/ inland tribes prohibited it – Cabeza de Vaca asked to act as trader,
114,0,,,
115,0,Schaedel 1949: 130-131,,
116,0,,,
117,0,,no money?,
118,0,,,
119,0,,no roads and bridges,
120,0,,nomadic – no permanency,
121,0,Gatschet 1891: 67,,
122,0,,,
123,0,,,
124,0,Newcomb 1961: 70,lineages [underlined],
125,0,,,
126,0,,(-),
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,,
143,0,Newcomb 1961: 70; Gatschet 1891: 63,tribal government – totemic gentes? (Gatschet 1891: 63),
144,0,Newcomb 1961: 70,,
145,0,Newcomb 1961: 70,,
146,0,Newcomb 1961: 70,,
147,1,,,
148,0,Schaedel 1949: 133; Newcomb 1961: 71,developed between Cabeza de Vaca and 1687? (Schaedel 1949: 133); Maybe the ordeals were puberty rites – mistake of Spanish (Newcomb 1961: 71),
149,0,,(-),
150,0,,,
151,0,Gatschet 1891: 63; Schaedel 1949: 124,warchief separate from political chief,
152,0,Schaedel 1949: 125,,
153,0,,,
154,0,,,
155,0,Newcomb 1961: 70,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,1,,(+),
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,Schaedel 1949: 130,medicine men do,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,(-),
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,Newcomb 1961: 75,but Shamans cremated w/ ceremonial dance – others merely buried,
186,0,,,
187,0,Newcomb 1961: 75,,
188,0,Newcomb 1961: 75,,
189,0,Newcomb 1961: 70,,
190,0,,no writing,
191,0,,,
192,0,,,
193,0,,,
194,0,Schaedel 1949: 130,,
195,0,Schaedel 1949: 130,(-),
196,0,Schaedel 1949: 130,(-),
197,0,Schaedel 1949: 130,(-),
198,0,Schaedel 1949: 130,,
199,0,Schaedel 1949: 130,,
200,0,Schaedel 1949: 130,(-),
201,0,Schaedel 1949: 130,,
202,0,Schaedel 1949: 130,,
203,0,Schaedel 1949: 130,,
204,0,Schaedel 1949: 130,,
205,0,Schaedel 1949: 130,,
206,0,Schaedel 1949: 130,,
207,0,Schaedel 1949: 130,,
208,0,Schaedel 1949: 130,,
209,0,Schaedel 1949: 130,,
210,0,Schaedel 1949: 130,,
211,0,Schaedel 1949: 130,(-),
212,0,Schaedel 1949: 130,,
213,0,Schaedel 1949: 130,,
214,0,,,
215,1,Gatschet 1891: 63; Schaedel 1949: 124,(+); regularly [underlined],
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,0,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,(-),
234,0,,,
235,0,,,
236,0,,(-); pending; see De Solis [?],
237,1,Schaedel 1949: 132,"?; pending; eating of captives Cabeza de Vaca captured and enslaved, later, no captures nor slaves; see De Solis [?]",
238,1,,pending; see De Solis [?],
239,0,Atkinson 1935: 148,from De Solis [?],
240,0,,from De Solis [?],
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,1,Newcomb 1961: 78-79; Schaedel 1949: 133,,
246,0,,,
247,0,,,
248,0,,,
249,0,Atkinson 1935: 145-147,(-),
250,0,,,
251,0,Newcomb 1961: 78-79; Schaedel 1949: 133; Atkinson 1935: 146,,
252,0,,(-),
253,0,,mitote – dance of thanks giving and celebration??,
254,0,Driver [?]: 378; Atkinson 1935: 148,no mention of why; from De Solis (Atkinson 1935: 148),
255,0,,,
256,1,Schaedel 1949: 133,,
257,0,,(-),
258,0,,,
259,0,,,
260,0,,,
261,0,,,
262,0,,,
263,0,,,
264,0,,,
265,0,,,
266,0,,,
267,0,,,
268,0,,no church,
269,0,,,
270,0,,,
271,0,,,
272,0,,,
273,0,,,
274,0,,,
275,0,,,
276,0,,,
277,1,Gatschet 1891: 59,,
278,1,Gatschet 1891: 59,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,Gatschet 1891: 59,(-); at least once,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,(-),
294,0,Schaedel 1949: 135,adopted from settlers,
295,0,Gatschet 1891: 59,nowhere is grain mentioned as food; fruit and nuts crushed by women w/ “cylindric low stones”,
296,0,,,
297,0,,,
298,0,,,
299,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
300,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
301,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
302,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
303,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
304,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
305,0,Gatschet 1891: 60,"no weaving mentioned, only deerskin skirts or breechcloths, Calico begged from settlers",
306,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
307,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
308,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
309,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
310,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
311,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
312,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
313,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
314,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
315,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
316,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
317,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
318,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
319,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
320,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
321,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
322,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
323,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
324,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
325,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
326,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
327,0,Schaedel 1949: 135,none mentioned – arrowheads obtained from settlers,
328,1,Gatschet 1891: 60,,
329,0,,only canoes except for those got from settlers,
330,0,"Gatschet 1891: 10,60; Newcomb 1961: 66","only by poles; [Hammond ""The Carancahua Tribe of Indians"" in Gatschet 1891:10]",
331,0,Schaedel 1949: 135,only flat-bottoms obtained from settlers,
332,0,Newcomb 1961: 67,just big enough for family-canoe,
333,0,,canoes mentioned only with relation to family,
334,0,,canoes mentioned only with relation to family,
335,0,,canoes mentioned only with relation to family,
336,0,Gatschet 1891: 60,,
337,1,Schaedel 1949: 123,food sometimes cooked in container,
338,0,,,
339,0,,,
340,0,Schaedel 1949: 126,,
341,0,Gatschet 1891: 68-69,,
342,0,,no mention of writing,
343,0,,no mention of writing,
344,0,,no mention of writing,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,0,,no cultivated plants,
353,0,Newcomb 1961: 70; Schaedel 1949: 124; Atkinson 1935: 145,smoke signals,
354,0,,,
