Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,1,"Steward 1938: 32-33,104,122,128,253",pre Caucasian horticulture; sowing wild seeds is native; some wild seeds sowed - E. central Nevada; in early post-Caucasian times; horticulture introduced from S.,
002,0,,"gatherers, fishing, hunting",
003,0,Harris 1940: 40; Lowie 1924: 200,none - White Knives (Harris 1940: 40); agriculture wholly lacking among Plateau Shoshones except Paiute (Lowie 1924: 200),
004,0,Steward 1938: 89,"borrow planting in rows, more than digging stick from S. Paiute - ownerships too?",
005,1,Steward 1938: 32,harvesting [underlined]; winnowing [underlined],
006,0,Harris 1940: 84,white contact,
007,0,,"burn, when work land",
008,0,,,
009,0,,,
010,0,,,
011,0,"Harris 1940: 84; [?]: 221,236",in Owens Valley? ([?]: 231); Paiute? ([?]: 236); white contact (Harris 1940: 84),
012,0,,,
013,0,,,
014,0,Steward 1938: 105,natural boundaries when ownership,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,Steward 1938: 231,,
021,0,,,
022,0,,,
023,0,Lowie 1924: 216,,
024,0,Lowie 1924: 216,,
025,1,Lowie 1924: 216; Harris 1940: 73,(+); used dogs for packing (Lowie 1924: 216),
026,0,,,
027,0,Harris 1940: 71,,
028,0,Steward 1938: 232-233,villages - depend on food in area (Steward 1938: 232); sometime 15-20 families; winter + summer villages (Steward 1938: 233),
029,0,Harris 1940: 44,Summer nomadism,
030,0,,,
031,0,Steward 1938: 81,50-60 person - one of the largest villages in area,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,Lowie 1909: 183,feasts + dances - N.,
047,0,,,
048,0,,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,Lowie 1924: 211,,
059,0,Lowie 1924: 211,,
060,0,,,
061,0,Lowie 1909: 182,log cabins,
062,0,Harris 1940: 44,"Summer - conical wind breaks; winter - willow, grass huts",
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,"Steward 1938: 74,105,233","habitual use of same land often, not owned; landowned village-family - but was Paiute[?]; burned property at death; Owens Valley, Snake R. Shoshone?",
085,0,,,
086,0,Steward 1938: 253; Harris 1940: 67,no individual properly (Steward 1938: 253),
087,0,,,
088,0,Harris 1940: 70,so few articles to be owned,
089,0,,,
090,0,"Harris 1940: 41; Steward 1938: 44,230",limited [underlined]; rare (Steward 1938: 230); some skilled workers - slight specialization (Harris 1940: 41),
091,0,Harris 1940: 41,rare,
092,0,Steward 1938: 44,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,Harris 1940: 118,imitation of Whites,
099,0,Steward 1938: 45,(-); Death Valley - bead money but measured around the hand - from S. -pre-Caucasian; ropes of twisted rabbit skins,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,"Harris 1940: 46; Steward 1938: 45,230; Lowie 1909: 184","infrequent trade with Bannock, Flathead, etc. (Harris 1940: 46); commerce virtually unknown aboriginal (Steward 1938: 230); Death valley - some trade (Steward 1938: 45)",
113,0,Steward 1938: 45; Lowie 1909: 191,Beatty Shoshoni trade with Paiute,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,Steward 1938: 236,slavery very rare,
122,0,,,
123,0,,,
124,0,"Harris 1940: 51,117; Steward 1938: 236","no clan, age-clan, societies, or other groupings (Harris 1940: 51); no localized lineage, or clan (Steward 1938: 236); social organization scarcely beyond biological family (Harris 1940: 117)",
125,0,"Harris 1940: 49; Steward 1938: 148,180,260","extended [underlined]; Kin groupings not consistent - often ignore lateral[?] extension of relatives if no contact (Harris 1940: 49); family only stable social unit (+political) ( Steward 1938: 260); chieftainship preferably patrilineal ( Steward 1938: 148,180)",
126,0,Steward 1938: 236,not by wealth,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,Lowie 1924: 282,,
140,0,,,
141,0,,,
142,0,,,
143,0,Steward 1938: 246,Single[?] household is independent political unit for most of yr.,
144,0,"Steward 1938: 75,169",only groupings for dances + festivals; distinct groupings of villages - but permanent?,
145,0,,,
146,0,,,
147,1,"Steward 1938: 76,98,113",(+); a formally [stricken] - generally; chief in E. Cal.?; not absolute; Beatty; in larger villages - headmen - help arrange who harvests where + travel; chief,
148,0,"Steward 1938: 108,126,247",mainly festival chiefs; pine-nut director,
149,0,Steward 1938: 170,chief's talker,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,"Steward 1938: 85,100",improbable that any important communal activities; 1 single persuasive chief in area - not in native times,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,,
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,Lowie 1924: 182,,
185,0,Lowie 1924: 182,,
186,0,Lowie 1924: 182,,
187,0,Lowie 1924: 182,,
188,0,,,
189,0,,,
190,0,Steward 1938: 249,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,0,,,
196,0,,,
197,0,,,
198,0,,,
199,0,,,
200,0,Steward 1938: 246,kin,
201,0,,,
202,0,,,
203,0,,,
204,0,,,
205,0,,,
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,,
211,0,,,
212,0,,,
213,0,,,
214,0,"Steward 1938: 46,83,98,238",E groups  - attach some importance to warfare; Kuhwiji seems no aggressive warfare; prestige - stealing horses; unknown 1 area,
215,0,Steward 1938: 107,lack of leader - 1 case; lack of specific war procedure,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,Harris 1940: 78,,
224,0,Steward 1938: 46,N. Shoshone had shields,
225,0,,,
