Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,,,
002,0,,,
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,,
011,0,,,
012,0,,,
013,0,,,
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,0,,,
026,0,,,
027,0,,,
028,0,,,
029,0,,,
030,0,,,
031,0,,settled [crossed out]; some may be less others more: see item #143 for my definition of a community,
032,0,,,
033,0,,,
034,0,,,
035,0,,,
036,0,,,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,,wood grave posts -> to mark or commemorate all persons [underlined] except very young infants,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,0,,not now however,
087,0,,,
088,0,Hart and Pilling 1960,"real property = wives; livestock, precious metals, slaves [crossed out]; cf. Hart-Pilling (1960)",
089,0,,,
090,0,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,"only at funerals. ""Workers"" are hired (from designated kin groups in reference to deceased EGO[?]) to cut poles + perform services. Are not ""specialists"". Paid in kind (pre-contact days) + now in money + goods",
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,"?; mo-in-law + son-in-law contract = son in law ""Feeds"" m. in. l. (gives unlimited food + services + goods) for promised wife(s). Throughout life of m. or s. in law is a legal contract",
109,0,,,
110,0,,,
111,0,,,
112,0,,"No formal trade – rare resources (i.e. ochre deposits) can be mined by outsiders + an obligation results[?], but obligation unspecified",
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,1,,"marriage classes, castes [..], men’s clubs, secret societies, warrior societies [..], craft guilds [crossed out]; (ceremonial teams) not permanent",
125,1,,,
126,1,,"""Big"" men have many wives. But every male Tiwi has the expectation of becoming a Big man – although few may realize[?] it. They concive the society as one of equals (same as our conception of American society!)",
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,"""classes""; more land [crossed out]; wives",
133,0,,,
134,0,,,
135,0,,"""classes""; or concubines [crossed out]",
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,0,,,
141,0,,,
142,0,,They may have a few more poles indicating that their kin group is larger + therefore can afford to hire more workers. But no significant difference in ceremony,
143,0,,This depends on definitions. The Tiwi tribe is not a political unit. 10 Countries make up the tribe – these are social + political units – continuous group. X – number of communities in each country are social and political units – generally continuous group. X – number of camps in each community are social and political units – not continuously grouped,
144,0,,This depends on definitions. The Tiwi tribe is not a political unit. 10 Countries make up the tribe – these are social + political units – continuous group. X – number of communities in each country are social and political units – generally continuous group. X – number of camps in each community are social and political units – not continuously grouped,
145,0,,,
146,0,,,
147,0,,"chief, king or council in which [crossed out]; prestige + personality + ability; not elected, nor appointed but acknowledged",
148,0,,,
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,0,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,0,,,
164,0,,,
165,0,,,
166,0,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,0,,or concubines [crossed out],
172,0,,,
173,0,,,
174,0,,,
175,0,,,
176,0,,,
177,0,,,
178,0,,,
179,0,,,
180,0,,,
181,0,,,
182,0,,,
183,0,,,
184,0,,,
185,0,,,
186,0,,,
187,0,,,
188,0,,,
189,0,,,
190,0,,,
191,0,,,
192,0,,,
193,0,,,
194,0,,,
195,0,,,
196,0,,official decrees [crossed out]; sometimes,
197,0,,"often a group(s) involved, but leader also exercises power alone, circumstances dictate which",
198,0,,,
199,0,,,
200,0,,"often a group(s) involved, but leader also exercises power alone, circumstances dictate which",
201,0,,,
202,0,,,
203,0,,not recorded,
204,0,,,
205,0,,"or fines specified by a central agency of the society (e.g., tribal council, ruler, legislature) [crossed out] specified by public opinion",
206,0,,,
207,0,,,
208,0,,,
209,0,,,
210,0,,openly ?; they have to catch the offender after death penalty is decreed,
211,0,,,
212,0,,,
213,0,,exile accomplishes same purpose,
214,0,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,1,,sometimes,
226,0,,(-); sometimes (ambushes + hit-and-run are more frequent),
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,a good fighter is remembered in name + deed + often song about which is high praise for the Tiwi + may bring him more wives i.e. status,
236,0,,,
237,0,,,
238,0,,,
239,0,,,
240,0,,they don’t fight over land,
241,0,,,
