Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
1,0,Lothrop 1928: 48,,
2,0,Lothrop 1928: 48,,
3,0,Lothrop 1928: 48,,
4,0,Lothrop 1928: 48,,
5,0,Lothrop 1928: 37,,
6,0,Lothrop 1928: 48,,
7,0,Lothrop 1928: 48,,
8,0,Lothrop 1928: 48,,
9,0,Lothrop 1928: 48,,
10,0,Lothrop 1928: 48,,
11,0,Lothrop 1928: 48,,
12,0,Lothrop 1928: 48,,
13,0,Lothrop 1928: 48,,
14,0,"Lothrop 1928: 48,87",territoriality for hunting,
15,0,Lothrop 1928: 48,,
16,0,Lothrop 1928: 48,,
17,0,Lothrop 1928: 48,,
18,0,Lothrop 1928: 48,,
19,0,Lothrop 1928: 48,,
20,0,Lothrop 1928: 87,,
21,0,Lothrop 1928: 48,,
22,0,Lothrop 1928: 48,,
23,0,Lothrop 1928: 48,,
24,0,Lothrop 1928: 48,,
25,0,Lothrop 1928: 62,,
26,0,Lothrop 1928: 62,,
27,0,Lothrop 1928: 48,,
28,0,Lothrop 1928: 60,,
29,0,Lothrop 1928: 60,,
30,0,Lothrop 1928: 59,(-),
31,0,Lothrop 1928: 48,"""small family groups""",
32,0,Lothrop 1928: 48,,
33,0,Lothrop 1928: 48,,
34,0,Lothrop 1928: 48,,
35,0,Lothrop 1928: 48,,
36,0,Lothrop 1928: 48,,
37,0,Lothrop 1928: 48,,
38,0,Lothrop 1928: 48,,
39,0,Lothrop 1928: 48,,
40,0,Lothrop 1928: 48,,
41,0,Lothrop 1928: 48,,
42,0,Lothrop 1928: 48,,
43,0,Lothrop 1928: 48,,
44,0,Lothrop 1928: 48,,
45,0,Lothrop 1928: 48,,
46,0,Lothrop 1928: 93,(-); possibly initiation lodge is + [presence],
47,0,Lothrop 1928: 48,,
48,0,Lothrop 1928: 97,"""destruction of houses after death of an occupant""",
49,0,Lothrop 1928: 36,,
50,0,Lothrop 1928: 36,,
51,0,Lothrop 1928: 36,,
52,0,Lothrop 1928: 36,,
53,0,Lothrop 1928: 36,,
54,0,Lothrop 1928: 88,,
55,0,Lothrop 1928: 88,,
56,0,Lothrop 1928: 88,,
57,0,Lothrop 1928: 60,,
58,0,Lothrop 1928: 60,,
59,0,Lothrop 1928: 60,,
60,0,Lothrop 1928: 60,,
61,0,Lothrop 1928: 60,,
62,0,Lothrop 1928: 60,,
63,0,Lothrop 1928: 60,,
64,0,Lothrop 1928: 60,,
65,0,Lothrop 1928: 60,,
66,0,Lothrop 1928: 60,,
67,0,Lothrop 1928: 60,,
68,0,Lothrop 1928: 60,,
69,0,Lothrop 1928: 60,,
70,0,Lothrop 1928: 60,,
71,0,Lothrop 1928: 60,,
72,0,Lothrop 1928: 60,,
73,0,Lothrop 1928: 60,,
74,0,Lothrop 1928: 60,,
75,0,Lothrop 1928: 60,,
76,0,Lothrop 1928: 60,,
77,0,,,
78,0,Lothrop 1928: 60,,
79,0,Lothrop 1928: 88,,
80,0,Lothrop 1928: 88,,
81,0,"Lothrop 1928: 60,88",,
82,0,"Lothrop 1928: 60,81",,
83,0,"Lothrop 1928: 60,81",,
84,0,Lothrop 1928: 48,(-); family group controls an unimproved territory,
85,0,Lothrop 1928: 48,,
86,0,Lothrop 1928: 48,no individual property,
87,0,"Lothrop 1928: 48,97","destruction of dead man’s property, except dogs",
88,0,Lothrop 1928: 48,,
89,0,Lothrop 1928: 36-37,,
90,0,"Lothrop 1928: 36-37,81",,
91,0,Lothrop 1928: 36-37,,
92,0,Lothrop 1928: 36-37,,
93,0,Lothrop 1928: 96,,
94,0,Lothrop 1928: 36-37,,
95,0,Lothrop 1928: 48,,
96,0,"Lothrop 1928: 36-37,48",,
97,0,Lothrop 1928: 48,,
98,0,Lothrop 1928: 36-37,,
99,0,Lothrop 1928: 48,,
100,0,Lothrop 1928: 48,,
101,0,Lothrop 1928: 48,,
102,0,Lothrop 1928: 48,,
103,0,Lothrop 1928: 48,,
104,0,Lothrop 1928: 48,,
105,0,Lothrop 1928: 48,,
106,0,Lothrop 1928: 48,,
107,0,Lothrop 1928: 48,,
108,0,Lothrop 1928: 48,,
109,0,Lothrop 1928: 48,,
110,0,"Lothrop 1928: 48,84",,
111,0,Lothrop 1928: 84,,
112,1,Lothrop 1928: 92,,
113,0,Lothrop 1928: 92,,
114,0,Lothrop 1928: 92,,
115,0,Lothrop 1928: 92,,
116,0,Lothrop 1928: 48,,
117,0,Lothrop 1928: 48,,
118,0,Lothrop 1928: 48,,
119,0,Lothrop 1928: 48,,
120,0,Lothrop 1928: 48,,
121,0,"Lothrop 1928: 48,88",women war captives incorporated,
122,0,Lothrop 1928: 88,,
123,0,Lothrop 1928: 88,,
124,0,"Lothrop 1928: 48,84",,
125,0,Lothrop 1928: 84,,
126,0,Lothrop 1928: 84,,
127,0,Lothrop 1928: 84,,
128,0,Lothrop 1928: 84,,
129,0,Lothrop 1928: 84,,
130,0,Lothrop 1928: 84,,
131,0,Lothrop 1928: 84,,
132,0,Lothrop 1928: 84,,
133,0,Lothrop 1928: 84,,
134,0,Lothrop 1928: 84,,
135,0,Lothrop 1928: 84,,
136,0,Lothrop 1928: 84,,
137,0,Lothrop 1928: 84,,
138,0,Lothrop 1928: 84,,
139,0,Lothrop 1928: 84,,
140,0,Lothrop 1928: 84,,
141,0,Lothrop 1928: 84,,
142,0,"Lothrop 1928: 84,97",,
143,0,Lothrop 1928: 48,(-),
144,0,Lothrop 1928: 48,,
145,0,Lothrop 1928: 48,,
146,0,Lothrop 1928: 48,,
147,1,Lothrop 1928: 48,"""informally governed by ablest member""",
148,0,Lothrop 1928: 48,,
149,0,Lothrop 1928: 48,,
150,0,Lothrop 1928: 84,,
151,0,Lothrop 1928: 84,,
152,0,"Lothrop 1928: 48,84",,
153,0,Lothrop 1928: 48,,
154,0,Lothrop 1928: 48,,
155,0,Lothrop 1928: 48,,
156,0,Lothrop 1928: 48,,
157,0,Lothrop 1928: 84,,
158,0,Lothrop 1928: 84,,
159,0,Lothrop 1928: 84,,
160,0,Lothrop 1928: 84,,
161,0,Lothrop 1928: 84,,
162,0,Lothrop 1928: 84,,
163,0,Lothrop 1928: 84,,
164,0,Lothrop 1928: 48,,
165,0,Lothrop 1928: 84,,
166,0,Lothrop 1928: 84,,
167,0,Lothrop 1928: 84,,
168,0,Lothrop 1928: 84,,
169,0,Lothrop 1928: 84,,
170,0,Lothrop 1928: 84,,
171,0,Lothrop 1928: 86; Cooper 1946: 116,"(-); ""had 7 wives, looking for 8th"" (Lothrop 1928: 86); ""a very rare man, 3 wives, but a famous shaman had 5 or 8"" (Cooper 1946: 116)",
172,0,Lothrop 1928: 86,,
173,0,Lothrop 1928: 84,,
174,0,Lothrop 1928: 84,,
175,0,Lothrop 1928: 84,,
176,0,Lothrop 1928: 84,,
177,0,Cooper 1946: 117,(-); no info,
178,0,Lothrop 1928: 84,,
179,0,Lothrop 1928: 84,,
180,0,Lothrop 1928: 84,,
181,0,Lothrop 1928: 84,,
182,0,"Lothrop 1928: 84,96",,
183,0,Lothrop 1928: 84,,
184,0,Lothrop 1928: 97,,
185,0,Lothrop 1928: 97,,
186,0,Lothrop 1928: 98,,
187,0,Lothrop 1928: 98,,
188,0,"Lothrop 1928: 84,98",,
189,0,Lothrop 1928: 48,,
190,0,Lothrop 1928: 90,making peace by duels; (Lothrop 1928: 90)?,
191,0,Lothrop 1928: 90,old women made peace?,
192,0,Lothrop 1928: 48,,
193,0,Lothrop 1928: 84,,
194,0,Lothrop 1928: 90,,
195,0,Lothrop 1928: 90,(-),
196,0,Lothrop 1928: 88,wrestling,
197,0,Lothrop 1928: 84,,
198,0,Lothrop 1928: 90,,
199,0,Lothrop 1928: 90,,
200,0,"Lothrop 1928: 84,90",,
201,0,Lothrop 1928: 84; Cooper 1946: 117,?,
202,0,Lothrop 1928: 84; Cooper 1946: 117,?,
203,0,,,
204,0,Lothrop 1928: 84,,
205,0,Lothrop 1928: 88-90,,
206,0,Lothrop 1928: 88,,
207,0,Lothrop 1928: 88,,
208,0,Lothrop 1928: 91,(-),
209,0,Lothrop 1928: 89,,
210,0,Lothrop 1928: 89,,
211,0,Cooper 1946: 121,(-),
212,0,Lothrop 1928: 48,,
213,0,Lothrop 1928: 89-91,,
214,0,Lothrop 1928: 86-87,marriage,
215,0,Lothrop 1928: 89,,
216,0,Lothrop 1928: 48,,
217,0,Lothrop 1928: 48,,
218,0,Lothrop 1928: 48,,
219,0,Lothrop 1928: 48,,
220,0,Lothrop 1928: 48,,
221,0,Lothrop 1928: 48,,
222,0,Lothrop 1928: 48,,
223,0,Lothrop 1928: 48,,
224,0,Lothrop 1928: 37,,
225,0,"Lothrop 1928: 87,90",,
226,0,"Lothrop 1928: 87,90",,
227,0,"Lothrop 1928: 87,90",,
228,0,Lothrop 1928: 48,,
229,0,Lothrop 1928: 48,,
230,0,Lothrop 1928: 88,,
231,0,Lothrop 1928: 88,,
232,0,"Lothrop 1928: 37,88",,
233,0,"Lothrop 1928: 87,91",,
234,0,Lothrop 1928: 84,,
235,0,Lothrop 1928: 84,,
236,0,Lothrop 1928: 37,,
237,0,Lothrop 1928: 88,,
238,0,Lothrop 1928: 88,,
239,0,Lothrop 1928: 88,,
240,0,Lothrop 1928: 48,(-),
241,0,Lothrop 1928: 88-90,,
242,0,Lothrop 1928: 88-91,,
243,0,"Lothrop 1928: 48,84",,
244,0,Lothrop 1928: 96,,
245,1,Lothrop 1928: 96; Cooper 1946: 123,"Die Selknam, pp. 488-515",
246,0,Lothrop 1928: 96,,
247,0,Lothrop 1928: 96,,
248,0,Lothrop 1928: 96,,
249,0,Lothrop 1928: 96,,
250,0,Lothrop 1928: 96,,
251,0,Lothrop 1928: 96,,
252,0,Lothrop 1928: 37,,
253,1,Cooper 1946: 123,,
254,0,"Lothrop 1928: 88,96",,
255,0,Lothrop 1928: 96; Cooper 1946: 123,,
256,1,Lothrop 1928: 96,,
257,0,Lothrop 1928: 48,(-),
258,0,Lothrop 1928: 96,,
259,0,Lothrop 1928: 96,,
260,0,Lothrop 1928: 96,,
261,0,Lothrop 1928: 96,,
262,0,Lothrop 1928: 96,,
263,0,Lothrop 1928: 96,,
264,0,Lothrop 1928: 96,,
265,0,Lothrop 1928: 96,,
266,0,Lothrop 1928: 96,,
267,0,Lothrop 1928: 96,,
268,0,Lothrop 1928: 96,,
269,0,Lothrop 1928: 96,,
