Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
001,0,Jenness 1937: 68,,
002,0,Jenness 1937: 68,,
003,0,Jenness 1937: 68,,
004,0,Jenness 1937: 68,,
005,0,Jenness 1937: 68,,
006,0,Jenness 1937: 68,,
007,0,Jenness 1937: 68,,
008,0,Jenness 1937: 68,,
009,0,Jenness 1937: 68,,
010,0,Jenness 1937: 68,,
011,0,Jenness 1937: 68,,
012,0,Jenness 1937: 68,,
013,0,Jenness 1937: 68,,
014,0,Jenness 1937: 68,,
015,0,Jenness 1937: 68,,
016,0,Jenness 1937: 68,,
017,0,Jenness 1937: 68,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,0,,,
026,0,,,
027,0,,,
028,0,Jenness 1937: 44,,
029,0,Jenness 1937: 44,,
030,0,Jenness 1937: 44,,
031,0,Jenness 1937: 44,,
032,0,Jenness 1937: 44,,
033,0,Jenness 1937: 44,,
034,0,Jenness 1937: 44,,
035,0,Jenness 1937: 44,,
036,0,Jenness 1937: 44,,
037,0,Jenness 1937: 44,,
038,0,Jenness 1937: 44,,
039,0,Jenness 1937: 44,,
040,0,Jenness 1937: 44,,
041,0,Jenness 1937: 44,,
042,0,Jenness 1937: 44,,
043,0,Jenness 1937: 44,,
044,0,Jenness 1937: 44,,
045,0,Jenness 1937: 44,,
046,0,Jenness 1937: 44,,
047,0,Jenness 1937: 44,,
048,0,Jenness 1937: 44,,
049,0,Jenness 1937: 44,,
050,0,Jenness 1937: 44,,
051,0,Jenness 1937: 44,,
052,0,Jenness 1937: 44,,
053,0,Jenness 1937: 44,,
054,0,Jenness 1937: 44,,
055,0,Jenness 1937: 44,,
056,0,Jenness 1937: 44,,
057,0,Jenness 1937: 32,,
058,0,Jenness 1937: 32,,
059,0,Jenness 1937: 32,,
060,0,Jenness 1937: 32,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,0,,,
070,0,,,
071,0,,,
072,0,,,
073,0,,,
074,0,,,
075,0,,,
076,0,,,
077,0,,,
078,0,Jenness 1937: 44,,
079,0,Jenness 1937: 44,,
080,0,Jenness 1937: 44,,
081,0,Jenness 1937: 44,,
082,0,Jenness 1937: 44,,
083,0,Jenness 1937: 44,,
084,0,,,
085,0,,,
086,0,,,
087,0,,,
088,0,,,
089,0,,,
090,0,,,
091,0,,,
092,0,,,
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,0,,,
106,0,,,
107,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,0,,[not marked with + nor -],
113,0,,[not marked with + nor -],
114,0,,,
115,0,,,
116,0,,,
117,0,,,
118,0,,,
119,0,,,
120,0,,,
121,0,,,
122,0,,,
123,0,,,
124,0,Jenness 1937: 44,,
125,0,"Jenness 1937: 44,51",,
126,0,Jenness 1937: 44,,
127,0,Jenness 1937: 44,,
128,0,Jenness 1937: 44,,
129,0,Jenness 1937: 44,,
130,0,Jenness 1937: 44,,
131,0,Jenness 1937: 44,,
132,0,Jenness 1937: 44,,
133,0,Jenness 1937: 44,,
134,0,Jenness 1937: 44,,
135,0,Jenness 1937: 44,,
136,0,Jenness 1937: 44,,
137,0,Jenness 1937: 44,,
138,0,Jenness 1937: 44,,
139,1,Jenness 1937: 59,,
140,0,Jenness 1937: 60,,
141,0,Jenness 1937: 44,,
142,0,Jenness 1937: 60,,
143,0,Jenness 1937: 44,,
144,0,Jenness 1937: 44,,
145,0,Jenness 1937: 44,,
146,0,Jenness 1937: 44,,
147,1,Jenness 1937: 44,"cf. [?]: 177; a generally recognized leader but as weak as we can imagine, Marginal + [presence]?",
148,0,Jenness 1937: 44,,
149,0,Jenness 1937: 44,,
150,0,Jenness 1937: 44,,
151,0,Jenness 1937: 44,,
152,0,Jenness 1937: 44,,
153,0,Jenness 1937: 44,,
154,0,Jenness 1937: 44,,
155,0,Jenness 1937: 44,,
156,0,Jenness 1937: 44,,
157,0,Jenness 1937: 44,,
158,0,Jenness 1937: 44,,
159,0,Jenness 1937: 44,,
160,0,Jenness 1937: 44,,
161,0,Jenness 1937: 44,,
162,0,Jenness 1937: 44,,
163,0,Jenness 1937: 44,,
164,0,Jenness 1937: 44,,
165,0,Jenness 1937: 44,,
166,0,Jenness 1937: 44,,
167,0,Jenness 1937: 44,,
168,0,Jenness 1937: 44,,
169,0,Jenness 1937: 44,,
170,0,Jenness 1937: 44,,
171,0,Jenness 1937: 44,,
172,0,Jenness 1937: 44,,
173,0,Jenness 1937: 44,,
174,0,Jenness 1937: 44,,
175,0,Jenness 1937: 44,,
176,0,Jenness 1937: 44,,
177,0,Jenness 1937: 50,"""at the potlach to appoint a new chief""; potlach a competition not an installation",
178,0,Jenness 1937: 44,,
179,0,Jenness 1937: 44,,
180,0,Jenness 1937: 44,,
181,0,Jenness 1937: 44,,
182,0,Jenness 1937: 44,,
183,0,Jenness 1937: 44,,
184,0,Jenness 1937: 44,,
185,0,Jenness 1937: 44,,
186,0,Jenness 1937: 44,,
187,0,Jenness 1937: 44,,
188,0,Jenness 1937: 44,,
189,0,Jenness 1937: 44,,
190,0,Jenness 1937: 44,,
191,0,Jenness 1937: 44,,
192,0,Jenness 1937: 44,,
193,0,Jenness 1937: 44,,
194,0,Jenness 1937: 46,Vide section on feuds,
195,0,Jenness 1937: 46,,
196,0,Jenness 1937: 46,,
197,0,Jenness 1937: 46,,
198,0,Jenness 1937: 46,,
199,0,Jenness 1937: 46,,
200,0,Jenness 1937: 46,,
201,0,Jenness 1937: 46,,
202,0,Jenness 1937: 46,,
203,0,Jenness 1937: 46,,
204,0,Jenness 1937: 46,,
205,0,Jenness 1937: 46,,
206,0,Jenness 1937: 46,,
207,0,Jenness 1937: 46,,
208,0,Jenness 1937: 46,,
209,0,Jenness 1937: 46,,
210,0,Jenness 1937: 46,,
211,0,Jenness 1937: 46,,
212,0,Jenness 1937: 46,,
213,0,Jenness 1937: 46,,
214,0,,,
215,0,,,
216,0,,,
217,0,,,
218,0,,,
219,0,,,
220,0,,,
221,0,,,
222,0,,,
223,0,,,
224,0,,,
225,0,,,
226,0,,,
227,0,,,
228,0,,,
229,0,,,
230,0,,,
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,0,,,
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,0,Jenness 1937: 67,"""In the old Sekani religion there seem to have been no deities",
246,0,Jenness 1937: 67,,
247,0,Jenness 1937: 67,,
248,0,Jenness 1937: 67,,
249,0,Jenness 1937: 67,,
250,0,Jenness 1937: 67,,
251,0,Jenness 1937: 67,,
252,0,Jenness 1937: 67,,
253,0,Jenness 1937: 67,,
254,0,Jenness 1937: 67,,
255,0,Jenness 1937: 67,,
256,0,Jenness 1937: 67,,
257,0,Jenness 1937: 67,,
258,0,Jenness 1937: 67,,
259,0,Jenness 1937: 67,,
260,0,Jenness 1937: 67,,
261,0,Jenness 1937: 67,,
262,0,Jenness 1937: 67,,
263,0,Jenness 1937: 67,,
264,0,Jenness 1937: 67,,
265,0,Jenness 1937: 67,,
266,0,Jenness 1937: 67,,
267,0,Jenness 1937: 67,,
268,0,Jenness 1937: 67,,
269,0,Jenness 1937: 67,,
270,0,Jenness 1937: 67,,
271,0,Jenness 1937: 67,,
272,0,Jenness 1937: 67,,
273,0,Jenness 1937: 67,,
274,0,Jenness 1937: 67,,
275,0,Jenness 1937: 67,,
276,0,Jenness 1937: 67,,
277,0,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
